Original Pruning Rate,Deterministic performance,Soup then Prune accuracy,Prune then Soup accuracy,Original with new pruning rate,New pruning rate,Dense soup then prune,Dense original
0.95,2.42,1.71,2.14,9.65,0.877449095249176,76.88,76.93
0.95,2.42,2.22,1.86,9.67,0.87746262550354,76.82,76.93
0.95,2.42,1.95,1.92,9.67,0.8774209022521973,76.8,76.93
0.95,2.42,2.37,1.82,9.67,0.8774631023406982,77.01,76.93
0.95,2.42,1.81,1.73,9.74,0.8774909377098083,76.9,76.93
0.95,2.42,1.93,1.67,9.74,0.8775545358657837,76.79,76.93
0.95,2.42,1.84,1.58,9.77,0.8775083422660828,76.97,76.93
0.95,2.42,2.01,2.15,9.65,0.8774605989456177,76.72,76.93
0.95,2.42,2.16,1.96,9.66,0.8774362802505493,76.87,76.93
0.95,2.42,2.22,1.49,9.77,0.8774946331977844,76.82,76.93
