Original Pruning Rate,Deterministic performance,Soup then Prune accuracy,Prune then Soup accuracy,Original with new pruning rate,New pruning rate,Dense soup then prune,Dense original
0.8,94.2,94.19,94.19,94.82,0.7046172618865967,95.06,95.1
0.8,94.2,94.23,94.22,94.82,0.7046275734901428,95.07,95.1
0.8,94.2,94.18,94.21,94.82,0.7046189308166504,95.0,95.1
0.8,94.2,94.23,94.32,94.82,0.7046006321907043,95.06,95.1
0.8,94.2,94.15,94.27,94.82,0.7047162055969238,95.01,95.1
0.8,94.2,94.12,94.27,94.82,0.7046391367912292,95.05,95.1
0.8,94.2,94.21,94.22,94.81,0.7046052813529968,95.07,95.1
0.8,94.2,94.06,94.13,94.8,0.704576849937439,95.04,95.1
0.8,94.2,94.17,94.28,94.82,0.7046767473220825,95.07,95.1
0.8,94.2,94.15,94.21,94.81,0.7045990228652954,95.08,95.1
