Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy
-1,237659872.0,0.26083722710609436,98.64,0.2341320514678955,93.24
0,28756844512.0,0.15388928353786469,99.04,0.1900828629732132,93.66
10,313948690912.0,0.06177192181348801,99.44,0.1152973473072052,94.0
20,599140537312.0,0.04705437645316124,99.28,0.11801618337631226,93.94
30,884332383712.0,0.03990383818745613,99.48,0.12968668341636658,94.02
40,1169524230112.0,0.046521034091711044,99.4,0.12376502901315689,94.05
50,1454716076512.0,0.03890287131071091,99.52,0.12165191769599915,94.09
60,1739907922912.0,0.03464725613594055,99.34,0.12242601811885834,94.04
70,2025099769312.0,0.028190843760967255,99.54,0.14697271585464478,94.05
80,2310291615712.0,0.03042934089899063,99.62,0.13991104066371918,94.04
90,2595483462112.0,0.03219201788306236,99.64,0.14047399163246155,94.07
100,2880675308512.0,0.03905352205038071,99.66,0.15018317103385925,94.06
101,2880675308512.0,0.03680538386106491,99.62,0.15018311142921448,94.06
