;name;train_acc;eval_acc
0;train-conv1;0.052863714354887945;0.0553
1;train-layer1-0-conv1_1x1;0.09520100211581174;0.1017
2;train-layer1-0-conv2_1x1;0.0945694165201739;0.1006
3;train-layer1-0-conv3_3x3;0.061726965547005755;0.0655
4;train-layer1-0-conv4_1x1;0.05719007568500721;0.062
5;train-layer1-0-conv5_1x1;0.056200591585174584;0.0604
6;train-layer1-0-shortcut-0;0.16009642206760072;0.1735
7;train-layer2-0-conv1_1x1;0.220781271381804;0.2122
8;train-layer2-0-conv2_1x1;0.22144443625722376;0.2108
9;train-layer2-0-conv3_3x3;0.209044305729534;0.2117
10;train-layer2-0-conv4_1x1;0.20150738428825565;0.2019
11;train-layer2-0-conv5_1x1;0.19612838029874;0.1992
12;train-layer2-0-shortcut-0;0.13738039347782607;0.1427
13;train-layer3-0-conv1_1x1;0.005094790471478647;0.005
14;train-layer3-0-conv2_1x1;0.004936894072569185;0.005
15;train-layer3-0-conv3_3x3;0.005084264044884683;0.005
16;train-layer3-0-conv4_1x1;0.0049263676459752204;0.005
17;train-layer3-0-conv5_1x1;0.005042158338508827;0.005
18;train-layer3-0-shortcut-0;0.2713081190328319;0.2558
19;train-layer3-1-conv1_1x1;0.004989526205539005;0.005
20;train-layer3-1-conv2_1x1;0.004989526205539005;0.005
21;train-layer3-1-conv3_3x3;0.00505268476510279;0.005
22;train-layer3-1-conv4_1x1;0.004957946925757113;0.005
23;train-layer3-1-conv5_1x1;0.004978999778945042;0.005
24;train-layer4-0-conv1_1x1;0.18568616511752756;0.1825
25;train-layer4-0-conv2_1x1;0.005357951136327751;0.005
26;train-layer4-0-conv3_3x3;0.005294792576763966;0.0047
27;train-layer4-0-conv4_1x1;0.008515879114516995;0.0088
28;train-layer4-0-conv5_1x1;0.010936957231128749;0.0115
