;name;train_acc;eval_acc
0;train-conv1;0.3589777777777778;0.384
1;train-layer1-0-conv1;0.48004444444444444;0.5042
2;train-layer1-0-conv2;0.46168888888888887;0.4854
3;train-layer1-0-conv3;0.4049111111111111;0.4165
4;train-layer1-0-shortcut-0;0.5518666666666666;0.5873
5;train-layer1-1-conv1;0.5071555555555556;0.5456
6;train-layer1-1-conv2;0.3884222222222222;0.4196
7;train-layer1-1-conv3;0.24673333333333333;0.222
8;train-layer1-2-conv1;0.5354888888888889;0.5688
9;train-layer1-2-conv2;0.4847111111111111;0.5265
10;train-layer1-2-conv3;0.4214888888888889;0.4449
11;train-layer2-0-conv1;0.5587333333333333;0.5887
12;train-layer2-0-conv2;0.4994;0.5322
13;train-layer2-0-conv3;0.5381777777777778;0.5701
14;train-layer2-0-shortcut-0;0.6181555555555556;0.6384
15;train-layer2-1-conv1;0.6524666666666666;0.6774
16;train-layer2-1-conv2;0.6416;0.6722
17;train-layer2-1-conv3;0.6255333333333334;0.6592
18;train-layer2-2-conv1;0.6705111111111111;0.6876
19;train-layer2-2-conv2;0.5789111111111112;0.6134
20;train-layer2-2-conv3;0.5122;0.5464
21;train-layer2-3-conv1;0.7123777777777778;0.7246
22;train-layer2-3-conv2;0.6651111111111111;0.6956
23;train-layer2-3-conv3;0.6195333333333334;0.6498
24;train-layer3-0-conv1;0.8033555555555556;0.8008
25;train-layer3-0-conv2;0.8501111111111112;0.8219
26;train-layer3-0-conv3;0.8487111111111111;0.8335
27;train-layer3-0-shortcut-0;0.7991333333333334;0.7811
28;train-layer3-1-conv1;0.8509777777777778;0.8362
29;train-layer3-1-conv2;0.8371555555555555;0.8271
30;train-layer3-1-conv3;0.8095555555555556;0.8127
31;train-layer3-2-conv1;0.8914444444444445;0.8601
32;train-layer3-2-conv2;0.8698444444444444;0.8498
33;train-layer3-2-conv3;0.8413333333333334;0.8294
34;train-layer3-3-conv1;0.9292222222222222;0.8833
35;train-layer3-3-conv2;0.9034222222222222;0.8694
36;train-layer3-3-conv3;0.8812888888888889;0.8529
37;train-layer3-4-conv1;0.9476444444444444;0.8997
38;train-layer3-4-conv2;0.8904888888888889;0.8633
39;train-layer3-4-conv3;0.8424666666666667;0.8201
40;train-layer3-5-conv1;0.9683777777777778;0.9139
41;train-layer3-5-conv2;0.9315333333333333;0.8843
42;train-layer3-5-conv3;0.9046444444444445;0.8602
43;train-layer4-0-conv1;0.9980666666666667;0.9373
44;train-layer4-0-conv2;0.9998222222222222;0.9441
45;train-layer4-0-conv3;0.9997111111111111;0.9461
46;train-layer4-0-shortcut-0;0.9884666666666667;0.9233
47;train-layer4-1-conv1;1.0;0.9464
48;train-layer4-1-conv2;0.9998444444444444;0.9454
49;train-layer4-1-conv3;0.9998666666666667;0.9471
50;train-layer4-2-conv1;1.0;0.9469
51;train-layer4-2-conv2;0.9998666666666667;0.9472
52;train-layer4-2-conv3;0.9997333333333334;0.9458
53;train-linear;0.9999777777777777;0.9482
