Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy
-1,230088928.0,3.9117841720581055,10.22,4.000799179077148,10.51
0,27840760288.0,1.000504732131958,43.26,1.0400868654251099,40.49
10,303947473888.0,0.5872519016265869,63.86,0.9026882648468018,57.18
20,580054187488.0,0.720257043838501,70.78,0.9959871172904968,61.36
30,856160901088.0,0.8520161509513855,74.5,1.2566447257995605,62.69
40,1132267614688.0,0.7123478055000305,77.64,1.039105772972107,64.76
50,1408374328288.0,0.785837709903717,80.12,1.2321573495864868,65.44
60,1684481041888.0,0.9239853024482727,82.46,1.4062914848327637,66.22
70,1960587755488.0,0.811643660068512,84.76,1.238165020942688,67.0
80,2236694469088.0,0.8357226848602295,86.24,1.645126223564148,66.66
90,2512801182688.0,0.9674094319343567,86.64,1.3151953220367432,67.62
100,2788907896288.0,0.6743239164352417,88.9,1.250887393951416,67.64
101,2788907896288.0,0.6500557661056519,88.36,1.250887393951416,67.64
