Epoch,sparse_flops,val_set_gradient_magnintude,val_set_Hg_magnitude,val_accuracy,test_set_gradient_magnitude,test_set_Hg_magnitude,test_accuracy
-1,131646304.0,0.5854828953742981,2.361365432079765e-07,31.98,0.5665382742881775,2.916169989930495e-07,32.34
0,4081035424.0,0.5775607824325562,2.6437243150212453e-07,32.88,0.5592873096466064,2.906839995375776e-07,32.97
10,43574926624.0,0.46098339557647705,2.7328925966685347e-07,55.34,0.44635140895843506,3.6408110304364527e-07,56.19
20,83068817824.0,0.4420456886291504,3.4559801065370266e-07,61.06,0.4267887771129608,3.8337358887474693e-07,61.2
30,122562709024.0,0.40771615505218506,3.595574185055739e-07,69.56,0.3932044506072998,4.236933079937444e-07,69.2
40,162056600224.0,0.3101443946361542,6.334331033031049e-07,83.9,0.3076161742210388,7.837915063646506e-07,82.39
50,201550491424.0,0.2892440855503082,1.7246895822609076e-06,86.72,0.29991623759269714,2.0531242626020685e-06,84.32
60,241044382624.0,0.28543731570243835,2.6857519515033346e-06,87.46,0.3006162941455841,2.485609684299561e-06,84.32
70,280538273824.0,0.28143641352653503,2.7465600851428462e-06,86.7,0.30102428793907166,3.4000456707872218e-06,84.17
80,320032165024.0,0.26406535506248474,6.332235443551326e-06,86.3,0.2978697121143341,9.629256965126842e-06,83.81
90,359526056224.0,0.2262917011976242,1.4784339327889029e-05,85.66,0.26632359623908997,1.8948241631733254e-05,84.29
