;name;train_acc;eval_acc
0;train-classifier;0.9926666666666667;0.9093
1;train-features-0;0.36173333333333335;0.383
2;train-features-11;0.8538222222222223;0.8033
3;train-features-15;0.9461111111111111;0.8581
4;train-features-18;0.9814;0.8972
5;train-features-21;0.9869555555555556;0.9093
6;train-features-24;0.9884444444444445;0.9078
7;train-features-28;0.9932888888888889;0.9097
8;train-features-31;0.9931111111111111;0.9075
9;train-features-34;0.993;0.9085
10;train-features-37;0.9929777777777777;0.9087
11;train-features-4;0.6524666666666666;0.6601
12;train-features-40;0.9930222222222223;0.9083
13;train-features-43;0.9927333333333334;0.9081
14;train-features-46;0.9929777777777777;0.9081
15;train-features-49;0.9929555555555556;0.9085
16;train-features-8;0.7685777777777778;0.7412
