Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy
-1,69406784.0,1.7783502340316772,1.42,1.772362470626831,1.33
0,8398220864.0,0.9082787036895752,3.44,0.8720877170562744,3.39
10,91686361664.0,0.41539767384529114,11.58,0.48376965522766113,11.48
20,174974502464.0,0.37501072883605957,19.16,0.5329973697662354,19.14
30,258262643264.0,0.33156731724739075,24.22,0.5667791366577148,23.52
40,341550784064.0,0.37827542424201965,28.34,0.5884584784507751,27.22
50,424838924864.0,0.38316380977630615,32.32,0.7423922419548035,29.9
60,508127065664.0,0.5434672236442566,34.9,0.766440749168396,32.45
70,591415206464.0,0.6018167734146118,38.46,0.8858002424240112,34.68
80,674703347264.0,0.5845685005187988,40.76,0.9708491563796997,36.75
90,757991488064.0,0.6512712240219116,43.46,0.9367321133613586,38.85
100,841279628864.0,0.9141780138015747,45.78,1.229113221168518,40.61
101,841279628864.0,0.9112005829811096,44.94,1.229113221168518,40.61
