Epsilon,Population,Type,Pruning Rate,sigma
1.9200000000000017,10,Stochastic GMP,0.72,0.001
2.0,10,Stochastic GMP,0.72,0.001
1.970000000000013,10,Stochastic GMP,0.72,0.001
1.6300000000000097,10,Stochastic GMP,0.72,0.001
2.1100000000000136,10,Stochastic GMP,0.72,0.001
2.180000000000007,10,Stochastic GMP,0.72,0.001
2.160000000000011,10,Stochastic GMP,0.72,0.001
1.990000000000009,10,Stochastic GMP,0.72,0.001
2.0700000000000074,10,Stochastic GMP,0.72,0.001
1.970000000000013,10,Stochastic GMP,0.72,0.001
2.8100000000000023,10,Sto. mask original weights,0.72,0.001
2.8200000000000074,10,Sto. mask original weights,0.72,0.001
2.970000000000013,10,Sto. mask original weights,0.72,0.001
2.720000000000013,10,Sto. mask original weights,0.72,0.001
2.8200000000000074,10,Sto. mask original weights,0.72,0.001
2.8500000000000085,10,Sto. mask original weights,0.72,0.001
2.8000000000000114,10,Sto. mask original weights,0.72,0.001
2.7900000000000063,10,Sto. mask original weights,0.72,0.001
2.6700000000000017,10,Sto. mask original weights,0.72,0.001
2.6700000000000017,10,Sto. mask original weights,0.72,0.001
1.990000000000009,10,Det. mask sto. weights,0.72,0.001
2.0500000000000114,10,Det. mask sto. weights,0.72,0.001
1.8900000000000006,10,Det. mask sto. weights,0.72,0.001
1.8200000000000074,10,Det. mask sto. weights,0.72,0.001
2.0700000000000074,10,Det. mask sto. weights,0.72,0.001
2.240000000000009,10,Det. mask sto. weights,0.72,0.001
2.1000000000000085,10,Det. mask sto. weights,0.72,0.001
1.9300000000000068,10,Det. mask sto. weights,0.72,0.001
2.0700000000000074,10,Det. mask sto. weights,0.72,0.001
2.010000000000005,10,Det. mask sto. weights,0.72,0.001
69.62,10,Stochastic GMP,0.88,0.001
69.64,10,Stochastic GMP,0.88,0.001
69.69000000000001,10,Stochastic GMP,0.88,0.001
69.78,10,Stochastic GMP,0.88,0.001
70.06,10,Stochastic GMP,0.88,0.001
69.99000000000001,10,Stochastic GMP,0.88,0.001
69.92,10,Stochastic GMP,0.88,0.001
69.85000000000001,10,Stochastic GMP,0.88,0.001
69.9,10,Stochastic GMP,0.88,0.001
69.9,10,Stochastic GMP,0.88,0.001
69.74000000000001,10,Sto. mask original weights,0.88,0.001
69.63000000000001,10,Sto. mask original weights,0.88,0.001
69.61000000000001,10,Sto. mask original weights,0.88,0.001
69.78,10,Sto. mask original weights,0.88,0.001
70.24000000000001,10,Sto. mask original weights,0.88,0.001
69.98,10,Sto. mask original weights,0.88,0.001
69.79,10,Sto. mask original weights,0.88,0.001
69.74000000000001,10,Sto. mask original weights,0.88,0.001
69.80000000000001,10,Sto. mask original weights,0.88,0.001
69.92,10,Sto. mask original weights,0.88,0.001
69.73,10,Det. mask sto. weights,0.88,0.001
69.83000000000001,10,Det. mask sto. weights,0.88,0.001
