Epsilon,Population,Type,Pruning Rate,sigma
0.060000000000002274,10,Stochastic Pruning,0.5,0.001
0.020000000000010232,10,Stochastic Pruning,0.5,0.001
0.010000000000005116,10,Stochastic Pruning,0.5,0.001
0.04000000000000625,10,Stochastic Pruning,0.5,0.001
0.19000000000001194,10,Stochastic Pruning,0.5,0.001
0.0800000000000125,10,Stochastic Pruning,0.5,0.001
0.14000000000000057,10,Stochastic Pruning,0.5,0.001
0.060000000000002274,10,Stochastic Pruning,0.5,0.001
0.18000000000000682,10,Stochastic Pruning,0.5,0.001
0.04000000000000625,10,Stochastic Pruning,0.5,0.001
0.09000000000000341,10,Sto. Mask -> Original Weights,0.5,0.001
0.05000000000001137,10,Sto. Mask -> Original Weights,0.5,0.001
0.10000000000000853,10,Sto. Mask -> Original Weights,0.5,0.001
0.10000000000000853,10,Sto. Mask -> Original Weights,0.5,0.001
0.14000000000000057,10,Sto. Mask -> Original Weights,0.5,0.001
0.0800000000000125,10,Sto. Mask -> Original Weights,0.5,0.001
0.020000000000010232,10,Sto. Mask -> Original Weights,0.5,0.001
0.10000000000000853,10,Sto. Mask -> Original Weights,0.5,0.001
0.1700000000000017,10,Sto. Mask -> Original Weights,0.5,0.001
0.10000000000000853,10,Sto. Mask -> Original Weights,0.5,0.001
0.15000000000000568,10,Det. Mask -> Sto. Weights,0.5,0.001
0.14000000000000057,10,Det. Mask -> Sto. Weights,0.5,0.001
0.1700000000000017,10,Det. Mask -> Sto. Weights,0.5,0.001
0.10999999999999943,10,Det. Mask -> Sto. Weights,0.5,0.001
0.14000000000000057,10,Det. Mask -> Sto. Weights,0.5,0.001
0.0800000000000125,10,Det. Mask -> Sto. Weights,0.5,0.001
0.23000000000000398,10,Det. Mask -> Sto. Weights,0.5,0.001
0.1600000000000108,10,Det. Mask -> Sto. Weights,0.5,0.001
0.19000000000001194,10,Det. Mask -> Sto. Weights,0.5,0.001
-0.04999999999999716,10,Det. Mask -> Sto. Weights,0.5,0.001
3.680000000000007,10,Stochastic Pruning,0.8,0.001
3.5900000000000034,10,Stochastic Pruning,0.8,0.001
3.5,10,Stochastic Pruning,0.8,0.001
3.9000000000000057,10,Stochastic Pruning,0.8,0.001
4.560000000000002,10,Stochastic Pruning,0.8,0.001
3.980000000000004,10,Stochastic Pruning,0.8,0.001
4.3300000000000125,10,Stochastic Pruning,0.8,0.001
3.930000000000007,10,Stochastic Pruning,0.8,0.001
4.1000000000000085,10,Stochastic Pruning,0.8,0.001
4.530000000000001,10,Stochastic Pruning,0.8,0.001
4.859999999999999,10,Sto. Mask -> Original Weights,0.8,0.001
4.740000000000009,10,Sto. Mask -> Original Weights,0.8,0.001
4.780000000000001,10,Sto. Mask -> Original Weights,0.8,0.001
4.969999999999999,10,Sto. Mask -> Original Weights,0.8,0.001
5.400000000000006,10,Sto. Mask -> Original Weights,0.8,0.001
5.280000000000001,10,Sto. Mask -> Original Weights,0.8,0.001
5.38000000000001,10,Sto. Mask -> Original Weights,0.8,0.001
5.060000000000002,10,Sto. Mask -> Original Weights,0.8,0.001
5.320000000000007,10,Sto. Mask -> Original Weights,0.8,0.001
5.650000000000006,10,Sto. Mask -> Original Weights,0.8,0.001
5.5800000000000125,10,Det. Mask -> Sto. Weights,0.8,0.001
5.400000000000006,10,Det. Mask -> Sto. Weights,0.8,0.001
5.280000000000001,10,Det. Mask -> Sto. Weights,0.8,0.001
5.540000000000006,10,Det. Mask -> Sto. Weights,0.8,0.001
5.690000000000012,10,Det. Mask -> Sto. Weights,0.8,0.001
