Ranks,Rf_level,jacob_cov
3,3,(-32465.471483661633-241.90263432641407j)
2,4,(-32619.49620709988-223.05307840487532j)
1,5,(-35104.90013994725-204.20352248333657j)
4,6,(-32258.511852700598-188.4955592153876j)
5,7,(-35835.13718246568-235.61944901923448j)
6,8,(-28246.480956887885-260.75219024795285j)
7,9,(-35313.83406659403-194.77874452256714j)
8,10,(-28850.092978159057-185.3539665617978j)
