Ranks,Rf_level,snip,synflow
3,3,919.596435546875,127821904212.9195
2,4,876.771240234375,128180673076.15067
1,5,840.3612060546875,106756629429.8561
4,6,899.4130859375,88012248876.74017
5,7,849.79052734375,47910777076.63832
6,8,831.768798828125,37481308629.41117
7,9,1242.2415771484375,33773990050.43885
8,10,1289.8970947265625,21358382888.195705
