Epoch,sparse_flops,val_set_gradient_magnintude,val_set_Hg_magnitude,val_accuracy,test_set_gradient_magnitude,test_set_Hg_magnitude,test_accuracy,individual,sigma,Pruner,Architecture,Dataset,Pruning Rate
40,177590332320.0,0.0720925778150558,7.81827202445129e-06,97.1,0.127368077635765,6.776354439352872e-06,92.44,3,0,LAMP,resnet18,cifar10,0.9
50,220905047520.0,0.0654487088322639,8.514982255292125e-06,97.76,0.1247632205486297,8.334185622516088e-06,92.68,3,0,LAMP,resnet18,cifar10,0.9
60,264219762720.0,0.0703706815838813,9.929291081789415e-06,97.58,0.1307409703731537,8.570205864089075e-06,92.64,3,0,LAMP,resnet18,cifar10,0.9
70,307534477920.0,0.0571424327790737,8.944129149313085e-06,97.22,0.1305304169654846,9.016787771543022e-06,92.68,3,0,LAMP,resnet18,cifar10,0.9
80,350849193120.0,0.068971961736679,1.1800903848779852e-05,97.78,0.1348330378532409,1.1130025086458772e-05,92.83,3,0,LAMP,resnet18,cifar10,0.9
90,394163908320.0,0.0624340400099754,1.556939423608128e-05,97.9,0.1335063576698303,1.225191863341024e-05,92.89,3,0,LAMP,resnet18,cifar10,0.9
-1,0.0,0.93878436088562,3.1389329251396703e-06,77.02,0.8445048332214355,3.4559282084956067e-06,77.8,4,0,LAMP,resnet18,cifar10,0.9
0,4331471520.0,0.5303693413734436,2.899986384363729e-06,90.5,0.4520454406738281,2.5683675630716607e-06,87.11,4,0,LAMP,resnet18,cifar10,0.9
10,47646186720.0,0.1132629290223121,6.266072432481451e-06,96.44,0.1757426410913467,4.429832642927067e-06,91.8,4,0,LAMP,resnet18,cifar10,0.9
20,90960901920.0,0.1219175457954406,6.120206307969056e-06,96.36,0.1707935482263565,4.608259587257635e-06,91.91,4,0,LAMP,resnet18,cifar10,0.9
30,134275617120.0,0.1025424301624298,5.921628599026008e-06,96.74,0.1681205332279205,5.019173840992153e-06,92.11,4,0,LAMP,resnet18,cifar10,0.9
40,177590332320.0,0.0770491436123848,8.266035365522839e-06,97.28,0.1501518934965133,6.398404821084114e-06,92.45,4,0,LAMP,resnet18,cifar10,0.9
50,220905047520.0,0.0638957545161247,9.948436854756436e-06,97.68,0.1543782949447631,7.444564744218951e-06,92.55,4,0,LAMP,resnet18,cifar10,0.9
60,264219762720.0,0.0624889992177486,1.0922152796410955e-05,97.04,0.162503182888031,7.3862534009094816e-06,92.6,4,0,LAMP,resnet18,cifar10,0.9
70,307534477920.0,0.0611441507935524,8.31361558084609e-06,97.34,0.1523387432098388,7.843669663998298e-06,92.65,4,0,LAMP,resnet18,cifar10,0.9
80,350849193120.0,0.0570171289145946,9.439032510272227e-06,97.84,0.1535902917385101,9.420706192031504e-06,92.77,4,0,LAMP,resnet18,cifar10,0.9
90,394163908320.0,0.0559341832995414,1.197984784084838e-05,97.9,0.1648115515708923,1.0693558579077944e-05,92.86,4,0,LAMP,resnet18,cifar10,0.9
-1,0.0,0.9209316968917848,2.934247959274217e-06,77.96,0.8445047736167908,3.4559282084956067e-06,77.8,5,0,LAMP,resnet18,cifar10,0.9
0,4331471520.0,0.5177187323570251,3.3145661291200668e-06,90.5,0.4549736380577087,2.615252924442757e-06,87.2,5,0,LAMP,resnet18,cifar10,0.9
10,47646186720.0,0.1197555214166641,5.198581220611231e-06,96.54,0.1521516293287277,4.607516984833637e-06,91.96,5,0,LAMP,resnet18,cifar10,0.9
20,90960901920.0,0.1119138523936271,7.789863957441412e-06,96.6,0.1504815518856048,4.793153493665159e-06,92.01,5,0,LAMP,resnet18,cifar10,0.9
30,134275617120.0,0.1057968288660049,6.716255029459717e-06,96.92,0.1461131423711776,5.18400656801532e-06,92.18,5,0,LAMP,resnet18,cifar10,0.9
40,177590332320.0,0.0834476575255394,8.631365744804498e-06,97.36,0.1270222812891006,6.763321380276466e-06,92.52,5,0,LAMP,resnet18,cifar10,0.9
50,220905047520.0,0.0656791776418685,8.92566458787769e-06,97.28,0.1380919218063354,7.591921985294903e-06,92.58,5,0,LAMP,resnet18,cifar10,0.9
60,264219762720.0,0.0637549236416816,8.57727718539536e-06,97.4,0.1351503133773803,7.88673605711665e-06,92.61,5,0,LAMP,resnet18,cifar10,0.9
70,307534477920.0,0.0567836798727512,1.021253046928905e-05,97.9,0.1406420916318893,8.289078323286958e-06,92.59,5,0,LAMP,resnet18,cifar10,0.9
80,350849193120.0,0.0565912164747715,1.137312483479036e-05,97.94,0.1462909132242202,9.563430467096625e-06,92.7,5,0,LAMP,resnet18,cifar10,0.9
90,394163908320.0,0.0490539781749248,1.1914470633200835e-05,98.3,0.1483687758445739,1.0971392839564942e-05,92.73,5,0,LAMP,resnet18,cifar10,0.9
-1,0.0,0.9097278118133544,3.4580302781250798e-06,78.46,0.8445047736167908,3.4559282084956067e-06,77.8,6,0,LAMP,resnet18,cifar10,0.9
