Pruning rate,Stochastic performance,Fitness,Sigma,Difference with deterministic,F2
0.9217364708072745,3.02,0.11060837649687263,0.0003131341372964422,0.11999999999999966,0.9217364708072745
0.649852974123897,94.04,0.012997059482484589,0.0002368022154208989,0.020000000000010232,0.649852974123897
0.9447029125916135,2.46,-0.3799999999999999,0.0009060428383582981,-0.3799999999999999,0.9447029125916135
0.6214901599290862,95.58,0.1056533271879457,0.00011877059796589811,0.1700000000000017,0.6214901599290862
0.6730829545443539,92.52,0.013461659090893963,0.00012895370812963873,0.020000000000010232,0.6730829545443539
0.7783159021767974,64.92,0.35802531500132745,0.0004373095356699156,0.46000000000000085,0.7783159021767974
0.851250356621303,24.58,-0.3099999999999987,0.00012345111809066727,-0.3099999999999987,0.851250356621303
0.7748015142115965,66.74,0.6663293022219725,0.0004172529581031134,0.8599999999999994,0.7748015142115965
0.3433689364104194,99.18,0.017168446820519993,0.0004172529581031134,0.04999999999999716,0.3433689364104194
0.8186967576900035,43.46,-1.6199999999999974,0.00042891706418922665,-1.6199999999999974,0.8186967576900035
0.6209319422355666,95.76,-0.04000000000000625,0.00012051061260170014,-0.04000000000000625,0.6209319422355666
0.4856317893266193,98.56,-0.029999999999986926,0.00035807891178153554,-0.029999999999986926,0.4856317893266193
0.01015383063646465,99.32,0.0,0.00011877059796589811,0.0,0.01015383063646465
0.37917447333747456,99.12,-0.0800000000000125,0.0003030570577642407,-0.0800000000000125,0.37917447333747456
0.6962746139228707,89.86,0.18103139961994005,0.000838012763624347,0.2599999999999909,0.6962746139228707
0.4832868197323838,98.66,-0.030000000000001137,0.00018239601078912264,-0.030000000000001137,0.4832868197323838
0.6456093165030671,94.18,0.05810483848527824,0.0002456786185519255,0.09000000000000341,0.6456093165030671
0.6851257133907105,91.52,0.08221508560688838,0.0002778072276828789,0.12000000000000455,0.6851257133907105
0.4925084944052954,98.52,0.08865152899295653,0.00035807891178153554,0.18000000000000682,0.4925084944052954
0.8570119894935545,21.14,-0.6900000000000013,0.0020395969159767136,-0.6900000000000013,0.8570119894935545
0.9275518729895261,2.96,-1.18,0.00409246855637498,-1.18,0.9275518729895261
0.9775626230427827,1.24,0.009775626230427836,0.00028855496839562785,0.010000000000000009,0.9775626230427827
0.3934310440994067,98.94,0.011802931322982648,0.0001879329290175816,0.030000000000001137,0.3934310440994067
0.8801100711356611,8.7,1.7426179408486078,0.0012625225197177544,1.9799999999999986,0.8801100711356611
0.6913805733695692,90.94,-0.030000000000001137,0.00011877059796589811,-0.030000000000001137,0.6913805733695692
0.874296961842531,12.2,0.017485939236850247,0.0001848322405938583,0.019999999999999574,0.874296961842531
0.6963683087998451,89.78,0.10445524631998072,0.0003131341372964422,0.15000000000000568,0.6963683087998451
0.8786846854678516,9.74,0.37783441475117596,0.00035957181526776887,0.4299999999999997,0.8786846854678516
0.6403073310883708,94.56,-0.030000000000001137,0.0015282082348927813,-0.030000000000001137,0.6403073310883708
0.6111331163518727,96.0,-0.37000000000000455,0.0013840594140940958,-0.37000000000000455,0.6111331163518727
0.8076842925389824,49.7,-0.3200000000000003,0.00017838520781755245,-0.3200000000000003,0.8076842925389824
0.6514289375073188,94.02,0.08468576187594848,0.0006576195944056966,0.12999999999999545,0.6514289375073188
0.5330860488769229,98.02,-0.25,0.0013340318888854616,-0.25,0.5330860488769229
0.8226484932502028,40.6,0.32083291236757955,0.00013687529834038918,0.39000000000000057,0.8226484932502028
0.4433762515778756,98.74,0.017735050063111494,0.00012051061260170014,0.03999999999999204,0.4433762515778756
0.5340724860703132,97.9,0.08011087291054243,0.0001879329290175816,0.14999999999999147,0.5340724860703132
0.7257433320768356,85.42,-0.03999999999999204,0.0002641519632843284,-0.03999999999999204,0.7257433320768356
0.9712852271396508,2.1,-0.16000000000000014,0.0004373095356699156,-0.16000000000000014,0.9712852271396508
0.5750735520732901,97.44,-0.010000000000005116,0.00013597496372046248,-0.010000000000005116,0.5750735520732901
0.914538134211635,3.24,-0.04999999999999982,0.0003131341372964422,-0.04999999999999982,0.914538134211635
0.4057790253679098,98.82,0.012173370761037755,0.00018239601078912264,0.030000000000001137,0.4057790253679098
0.8451283175050278,29.0,-2.59,0.0013138463345641173,-2.59,0.8451283175050278
0.7794341656553703,64.88,-0.00999999999999801,0.00044347437309179305,-0.00999999999999801,0.7794341656553703
0.8661774545610698,15.54,0.19922081454904642,0.0001848322405938583,0.23000000000000043,0.8661774545610698
0.9112993753039288,3.34,0.009112993753039499,0.0027243349400632826,0.010000000000000231,0.9112993753039288
0.7062342626733122,88.96,-0.39000000000000057,0.00013597496372046248,-0.39000000000000057,0.7062342626733122
0.7870509780070097,61.96,-1.4299999999999997,0.0008557963392529255,-1.4299999999999997,0.7870509780070097
0.5923140387816467,97.04,0.08292396542943087,0.00016652727507885797,0.14000000000000057,0.5923140387816467
0.6637275056023098,92.92,-0.03999999999999204,0.0013840594140940958,-0.03999999999999204,0.6637275056023098
0.8842657027613519,6.86,-0.3600000000000003,0.00012051061260170014,-0.3600000000000003,0.8842657027613519
0.6710125961357661,92.8,-0.10000000000000853,0.00042891706418922665,-0.10000000000000853,0.6710125961357661
0.44491260457205783,98.72,0.013347378137162242,0.0004172529581031134,0.030000000000001137,0.44491260457205783
0.8122468352273339,47.02,0.17057183539774082,0.00032543179698373643,0.21000000000000085,0.8122468352273339
0.8804962113642427,8.12,0.2553439012956304,0.00012051061260170014,0.29000000000000004,0.8804962113642427
0.8282831036919283,37.72,0.13252529659071158,0.00022431297761141156,0.1600000000000037,0.8282831036919283
