"Step","vgg19_normal_small_imagenet_1714153876.0891523_rf_level_4_recording_200 - Test Accuracy","vgg19_normal_small_imagenet_1714153876.0891523_rf_level_4_recording_200 - Test Accuracy__MIN","vgg19_normal_small_imagenet_1714153876.0891523_rf_level_4_recording_200 - Test Accuracy__MAX"
"0","4.3","4.3","4.3"
"1","5.75","5.75","5.75"
"2","7.17","7.17","7.17"
"3","11.03","11.03","11.03"
"4","5.47","5.47","5.47"
"5","14.53","14.53","14.53"
"6","11.34","11.34","11.34"
"7","14.16","14.16","14.16"
"8","17.02","17.02","17.02"
"9","17.56","17.56","17.56"
"10","18.51","18.51","18.51"
"11","24.52","24.52","24.52"
"12","22.97","22.97","22.97"
"13","19.92","19.92","19.92"
"14","22.96","22.96","22.96"
"15","22.84","22.84","22.84"
"16","24.92","24.92","24.92"
"17","25.71","25.71","25.71"
"18","26.25","26.25","26.25"
"19","27.13","27.13","27.13"
"20","26.78","26.78","26.78"
"21","25.94","25.94","25.94"
"22","29.28","29.28","29.28"
"23","26.03","26.03","26.03"
"24","30.83","30.83","30.83"
"25","28.95","28.95","28.95"
"26","30.01","30.01","30.01"
"27","29.29","29.29","29.29"
"28","31.72","31.72","31.72"
"29","24.56","24.56","24.56"
"30","33.04","33.04","33.04"
"31","32.54","32.54","32.54"
"32","35.38","35.38","35.38"
"33","24.29","24.29","24.29"
"34","31.13","31.13","31.13"
"35","31.79","31.79","31.79"
"36","31.18","31.18","31.18"
"37","34.04","34.04","34.04"
"38","36.3","36.3","36.3"
"39","34.51","34.51","34.51"
"40","37.02","37.02","37.02"
"41","33.33","33.33","33.33"
"42","33.87","33.87","33.87"
"43","37.34","37.34","37.34"
"44","37.03","37.03","37.03"
"45","39.34","39.34","39.34"
"46","36.51","36.51","36.51"
"47","34.05","34.05","34.05"
"48","34.95","34.95","34.95"
"49","29.67","29.67","29.67"
"50","32.68","32.68","32.68"
"51","32.62","32.62","32.62"
"52","36.47","36.47","36.47"
"53","35.83","35.83","35.83"
"54","37.83","37.83","37.83"
"55","38.41","38.41","38.41"
"56","38.32","38.32","38.32"
"57","39.32","39.32","39.32"
"58","33.41","33.41","33.41"
"59","39.63","39.63","39.63"
"60","37.87","37.87","37.87"
"61","38.59","38.59","38.59"
"62","43.12","43.12","43.12"
"63","34.51","34.51","34.51"
"64","38.87","38.87","38.87"
"65","40.84","40.84","40.84"
"66","40.98","40.98","40.98"
"67","44.3","44.3","44.3"
"68","41.37","41.37","41.37"
"69","40.88","40.88","40.88"
"70","43.11","43.11","43.11"
"71","36.65","36.65","36.65"
"72","37.71","37.71","37.71"
"73","40.49","40.49","40.49"
"74","38.73","38.73","38.73"
"75","43.75","43.75","43.75"
"76","39.75","39.75","39.75"
"77","42.72","42.72","42.72"
"78","35.65","35.65","35.65"
"79","41.34","41.34","41.34"
"80","42.03","42.03","42.03"
"81","41.26","41.26","41.26"
"82","44.03","44.03","44.03"
"83","45.01","45.01","45.01"
"84","42.08","42.08","42.08"
"85","42.48","42.48","42.48"
"86","42.57","42.57","42.57"
"87","45.9","45.9","45.9"
"88","41.72","41.72","41.72"
"89","43.74","43.74","43.74"
"90","43.73","43.73","43.73"
"91","47.68","47.68","47.68"
"92","45.21","45.21","45.21"
"93","47.76","47.76","47.76"
"94","46.13","46.13","46.13"
"95","46.71","46.71","46.71"
"96","49.18","49.18","49.18"
"97","44.35","44.35","44.35"
"98","46.85","46.85","46.85"
"99","49.71","49.71","49.71"
"100","49.68","49.68","49.68"
"101","44.41","44.41","44.41"
"102","51.06","51.06","51.06"
"103","49.99","49.99","49.99"
"104","47.45","47.45","47.45"
"105","49.1","49.1","49.1"
"106","49.48","49.48","49.48"
"107","50.67","50.67","50.67"
"108","49.24","49.24","49.24"
"109","51.23","51.23","51.23"
"110","51.61","51.61","51.61"
"111","53.62","53.62","53.62"
"112","50.7","50.7","50.7"
"113","53.13","53.13","53.13"
"114","52.71","52.71","52.71"
"115","55.02","55.02","55.02"
"116","53.81","53.81","53.81"
"117","52.82","52.82","52.82"
"118","54.13","54.13","54.13"
