Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy,individual,sigma,Architecture,Pruner,Dataset,Pruning Rate
-1,43390512.0,0.9316609501838684,4.58,0.9318253397941588,4.89,0,0.005,resnet18,GMP,cifar100,0.95
0,5250251952.0,0.5561695694923401,11.3,0.564871609210968,11.01,0,0.005,resnet18,GMP,cifar100,0.95
10,57318866352.0,0.6395629644393921,30.12,0.833639919757843,29.73,0,0.005,resnet18,GMP,cifar100,0.95
20,109387480752.0,0.8572613000869751,37.9,1.0930371284484863,36.38,0,0.005,resnet18,GMP,cifar100,0.95
30,161456095152.0,1.055226445198059,43.5,1.447296380996704,40.23,0,0.005,resnet18,GMP,cifar100,0.95
40,213524709552.0,1.0676915645599363,47.72,1.4098474979400637,43.93,0,0.005,resnet18,GMP,cifar100,0.95
50,265593323952.0,0.9333006143569946,52.16,1.279387593269348,46.44,0,0.005,resnet18,GMP,cifar100,0.95
60,317661938352.0,1.2741340398788452,53.72,1.5920872688293457,47.73,0,0.005,resnet18,GMP,cifar100,0.95
70,369730552752.0,1.1752173900604248,56.26,1.6107171773910522,49.53,0,0.005,resnet18,GMP,cifar100,0.95
80,421799167152.0,1.1000962257385254,59.28,1.3353960514068604,51.25,0,0.005,resnet18,GMP,cifar100,0.95
90,473867781552.0,1.1343491077423096,61.38,1.381636381149292,52.19,0,0.005,resnet18,GMP,cifar100,0.95
100,525936395952.0,1.259181261062622,63.24,1.5143896341323853,53.04,0,0.005,resnet18,GMP,cifar100,0.95
101,525936395952.0,1.267038345336914,62.98,1.5143896341323853,53.04,0,0.005,resnet18,GMP,cifar100,0.95
-1,43408800.0,0.8453127145767212,3.9,0.8547682762145996,4.44,1,0.005,resnet18,GMP,cifar100,0.95
0,5252464800.0,0.541001558303833,12.84,0.551845908164978,13.18,1,0.005,resnet18,GMP,cifar100,0.95
10,57343024800.0,0.6154800057411194,29.28,0.7257534265518188,29.58,1,0.005,resnet18,GMP,cifar100,0.95
20,109433584800.0,0.7741857171058655,38.96,1.1173932552337646,37.58,1,0.005,resnet18,GMP,cifar100,0.95
30,161524144800.0,0.9247931241989136,43.84,1.418962478637695,40.97,1,0.005,resnet18,GMP,cifar100,0.95
40,213614704800.0,0.9582102298736572,47.34,1.2998299598693848,44.34,1,0.005,resnet18,GMP,cifar100,0.95
50,265705264800.0,1.0486339330673218,51.32,1.6014373302459717,46.75,1,0.005,resnet18,GMP,cifar100,0.95
60,317795824800.0,1.0569199323654177,54.46,1.5248816013336182,48.7,1,0.005,resnet18,GMP,cifar100,0.95
70,369886384800.0,1.0039000511169434,56.72,1.4236576557159424,50.38,1,0.005,resnet18,GMP,cifar100,0.95
80,421976944800.0,1.2980859279632568,57.94,1.802497625350952,50.91,1,0.005,resnet18,GMP,cifar100,0.95
90,474067504800.0,1.2738773822784424,59.96,1.5990803241729736,52.01,1,0.005,resnet18,GMP,cifar100,0.95
100,526158064800.0,1.1950289011001587,62.22,1.7195632457733154,52.83,1,0.005,resnet18,GMP,cifar100,0.95
101,526158064800.0,1.2449873685836792,62.14,1.7195632457733154,52.83,1,0.005,resnet18,GMP,cifar100,0.95
-1,43426704.0,0.9617765545845032,3.68,0.9759044647216796,4.02,2,0.005,resnet18,GMP,cifar100,0.95
0,5254631184.0,0.5440874099731445,10.1,0.5475329160690308,11.46,2,0.005,resnet18,GMP,cifar100,0.95
10,57366675984.0,0.6442497968673706,29.2,0.7926101088523865,29.42,2,0.005,resnet18,GMP,cifar100,0.95
20,109478720784.0,0.8195574879646301,37.42,1.100188136100769,36.72,2,0.005,resnet18,GMP,cifar100,0.95
30,161590765584.0,1.1886645555496216,43.18,1.4980919361114502,39.91,2,0.005,resnet18,GMP,cifar100,0.95
40,213702810384.0,1.081544041633606,47.88,1.2099707126617432,44.23,2,0.005,resnet18,GMP,cifar100,0.95
50,265814855184.0,1.0799131393432615,51.32,1.499355673789978,46.53,2,0.005,resnet18,GMP,cifar100,0.95
60,317926899984.0,1.1279993057250977,53.58,1.672693371772766,47.81,2,0.005,resnet18,GMP,cifar100,0.95
70,370038944784.0,0.9647307991981506,56.98,1.4971941709518433,49.8,2,0.005,resnet18,GMP,cifar100,0.95
80,422150989584.0,1.1162818670272827,58.94,1.408040165901184,51.06,2,0.005,resnet18,GMP,cifar100,0.95
90,474263034384.0,1.0772358179092407,61.46,1.6102322340011597,51.57,2,0.005,resnet18,GMP,cifar100,0.95
100,526375079184.0,1.1924980878829956,62.96,1.5414721965789795,52.72,2,0.005,resnet18,GMP,cifar100,0.95
101,526375079184.0,1.1755857467651367,63.16,1.5414721965789795,52.72,2,0.005,resnet18,GMP,cifar100,0.95
-1,43531440.0,0.9716843366622924,4.2,0.9932605028152466,4.3,3,0.005,resnet18,GMP,cifar100,0.95
0,5267304240.0,0.5511148571968079,12.06,0.5761462450027466,11.91,3,0.005,resnet18,GMP,cifar100,0.95
10,57505032240.0,0.6492114663124084,30.22,0.8287026882171631,29.41,3,0.005,resnet18,GMP,cifar100,0.95
20,109742760240.0,0.8642122149467468,38.56,1.1487767696380615,37.0,3,0.005,resnet18,GMP,cifar100,0.95
30,161980488240.0,0.7946367859840393,43.18,1.053091287612915,41.78,3,0.005,resnet18,GMP,cifar100,0.95
40,214218216240.0,0.8886953592300415,47.08,1.2699353694915771,44.64,3,0.005,resnet18,GMP,cifar100,0.95
50,266455944240.0,0.9921072721481324,51.52,1.4342554807662964,46.65,3,0.005,resnet18,GMP,cifar100,0.95
60,318693672240.0,0.9822364449501038,53.98,1.2704428434371948,48.7,3,0.005,resnet18,GMP,cifar100,0.95
70,370931400240.0,1.1384016275405884,57.46,1.4376522302627563,50.22,3,0.005,resnet18,GMP,cifar100,0.95
