Epoch,test accuracy,training accuracy
144,47.32,"(56.416, 28208, 50000)"
145,43.49,"(56.662, 28331, 50000)"
146,43.92,"(57.06, 28530, 50000)"
147,46.28,"(57.436, 28718, 50000)"
148,48.18,"(57.258, 28629, 50000)"
149,48.51,"(57.786, 28893, 50000)"
150,47.27,"(58.112, 29056, 50000)"
151,49.25,"(58.488, 29244, 50000)"
152,46.01,"(58.702, 29351, 50000)"
153,45.79,"(59.202, 29601, 50000)"
154,42.91,"(59.134, 29567, 50000)"
155,48.01,"(59.964, 29982, 50000)"
156,49.13,"(60.19, 30095, 50000)"
157,47.77,"(60.448, 30224, 50000)"
158,48.18,"(61.026, 30513, 50000)"
159,47.42,"(61.058, 30529, 50000)"
160,47.61,"(62.06, 31030, 50000)"
161,48.59,"(62.068, 31034, 50000)"
162,47.46,"(62.594, 31297, 50000)"
163,48.06,"(63.032, 31516, 50000)"
164,46.98,"(63.14, 31570, 50000)"
165,49.02,"(64.114, 32057, 50000)"
166,47.33,"(64.594, 32297, 50000)"
167,48.03,"(65.306, 32653, 50000)"
168,49.95,"(65.612, 32806, 50000)"
169,48.59,"(66.134, 33067, 50000)"
170,47.82,"(66.778, 33389, 50000)"
171,47.6,"(67.26, 33630, 50000)"
172,49.26,"(67.668, 33834, 50000)"
173,48.8,"(68.42, 34210, 50000)"
174,49.21,"(68.966, 34483, 50000)"
175,48.31,"(69.696, 34848, 50000)"
176,48.4,"(70.162, 35081, 50000)"
177,48.57,"(70.942, 35471, 50000)"
178,49.28,"(71.85, 35925, 50000)"
179,48.75,"(72.464, 36232, 50000)"
180,49.27,"(73.526, 36763, 50000)"
181,48.65,"(73.82, 36910, 50000)"
182,49.41,"(74.818, 37409, 50000)"
183,48.81,"(75.376, 37688, 50000)"
184,48.84,"(76.214, 38107, 50000)"
185,49.17,"(76.83, 38415, 50000)"
186,49.63,"(77.302, 38651, 50000)"
187,49.04,"(78.208, 39104, 50000)"
188,49.28,"(78.716, 39358, 50000)"
189,49.27,"(79.368, 39684, 50000)"
190,49.31,"(79.87, 39935, 50000)"
191,49.16,"(80.494, 40247, 50000)"
192,49.49,"(80.734, 40367, 50000)"
193,49.38,"(81.13, 40565, 50000)"
194,49.01,"(81.24, 40620, 50000)"
195,49.09,"(81.776, 40888, 50000)"
196,49.57,"(82.072, 41036, 50000)"
197,49.45,"(82.07, 41035, 50000)"
198,49.21,"(82.194, 41097, 50000)"
199,49.23,"(82.158, 41079, 50000)"
