Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy,individual,sigma,Architecture,Pruner,Dataset,Pruning Rate
-1,314764528.0,0.5601232647895813,94.66,0.4329342544078827,89.63,0,0.005,resnet50,GMP,cifar10,0.8
0,38086507888.0,0.1100932583212852,98.52,0.1428719162940979,93.02,0,0.005,resnet50,GMP,cifar10,0.8
10,415803941488.0,0.0539596676826477,99.14,0.0812050849199295,93.56,0,0.005,resnet50,GMP,cifar10,0.8
20,793521375088.0,0.0336698479950428,99.34,0.0931024774909019,93.69,0,0.005,resnet50,GMP,cifar10,0.8
30,1171238808688.0,0.0458502806723117,99.6,0.1108823865652084,93.81,0,0.005,resnet50,GMP,cifar10,0.8
40,1548956242288.0,0.0376860871911048,99.48,0.1126351431012153,93.89,0,0.005,resnet50,GMP,cifar10,0.8
50,1926673675888.0,0.0311592314392328,99.7,0.1369267702102661,93.93,0,0.005,resnet50,GMP,cifar10,0.8
60,2304391109488.0,0.0303338859230279,99.78,0.1138385757803917,94.01,0,0.005,resnet50,GMP,cifar10,0.8
70,2682108543088.0,0.0212640278041362,99.86,0.114106111228466,93.95,0,0.005,resnet50,GMP,cifar10,0.8
80,3059825976688.0,0.0233709570020437,99.88,0.1391690820455551,93.94,0,0.005,resnet50,GMP,cifar10,0.8
90,3437543410288.0,0.0221781712025403,99.84,0.1208767294883728,94.06,0,0.005,resnet50,GMP,cifar10,0.8
100,3815260843888.0,0.0227149669080972,99.84,0.1308560669422149,93.99,0,0.005,resnet50,GMP,cifar10,0.8
101,3815260843888.0,0.0307588446885347,99.86,0.1308561414480209,93.99,0,0.005,resnet50,GMP,cifar10,0.8
-1,314785552.0,0.8608718514442444,91.76,0.8763303160667419,87.15,1,0.005,resnet50,GMP,cifar10,0.8
0,38089051792.0,0.1242595016956329,98.74,0.1465192884206771,92.84,1,0.005,resnet50,GMP,cifar10,0.8
10,415831714192.0,0.0611131340265274,99.36,0.1182267814874649,93.47,1,0.005,resnet50,GMP,cifar10,0.8
20,793574376592.0,0.0388352759182453,99.64,0.123889610171318,93.61,1,0.005,resnet50,GMP,cifar10,0.8
30,1171317038992.0,0.0263451486825943,99.78,0.1052141860127449,93.73,1,0.005,resnet50,GMP,cifar10,0.8
40,1549059701392.0,0.0323850475251674,99.68,0.1305748373270034,93.87,1,0.005,resnet50,GMP,cifar10,0.8
50,1926802363792.0,0.0327106527984142,99.76,0.1258305460214615,93.98,1,0.005,resnet50,GMP,cifar10,0.8
60,2304545026192.0,0.0437774583697319,99.8,0.1156934797763824,93.92,1,0.005,resnet50,GMP,cifar10,0.8
70,2682287688592.0,0.0171976536512374,99.66,0.1303198784589767,94.02,1,0.005,resnet50,GMP,cifar10,0.8
80,3060030350992.0,0.0275336410850286,99.88,0.1301088333129882,93.98,1,0.005,resnet50,GMP,cifar10,0.8
90,3437773013392.0,0.0284578222781419,99.86,0.1280738264322281,93.97,1,0.005,resnet50,GMP,cifar10,0.8
100,3815515675792.0,0.0203025676310062,99.78,0.1532326936721801,93.89,1,0.005,resnet50,GMP,cifar10,0.8
101,3815515675792.0,0.0232511516660451,99.84,0.1532327085733413,93.89,1,0.005,resnet50,GMP,cifar10,0.8
-1,314886736.0,0.4982718229293823,95.42,0.4259703159332275,89.91,2,0.005,resnet50,GMP,cifar10,0.8
0,38101295056.0,0.1245522052049636,98.64,0.1586740314960479,93.14,2,0.005,resnet50,GMP,cifar10,0.8
10,415965378256.0,0.0419327989220619,99.44,0.1422410905361175,93.65,2,0.005,resnet50,GMP,cifar10,0.8
20,793829461456.0,0.0528031922876834,99.56,0.1583507657051086,93.83,2,0.005,resnet50,GMP,cifar10,0.8
30,1171693544656.0,0.0336634777486324,99.68,0.1593427807092666,93.9,2,0.005,resnet50,GMP,cifar10,0.8
40,1549557627856.0,0.0312497410923242,99.58,0.1505884975194931,93.99,2,0.005,resnet50,GMP,cifar10,0.8
50,1927421711056.0,0.0294247772544622,99.76,0.1677929162979126,93.93,2,0.005,resnet50,GMP,cifar10,0.8
60,2305285794256.0,0.0266081672161817,99.8,0.1485599279403686,94.02,2,0.005,resnet50,GMP,cifar10,0.8
70,2683149877456.0,0.0315859802067279,99.84,0.1731975674629211,94.0,2,0.005,resnet50,GMP,cifar10,0.8
80,3061013960656.0,0.0344129540026187,99.8,0.1653578430414199,93.98,2,0.005,resnet50,GMP,cifar10,0.8
90,3438878043856.0,0.0354573987424373,99.78,0.1758782267570495,94.08,2,0.005,resnet50,GMP,cifar10,0.8
100,3816742127056.0,0.0243774317204952,99.94,0.162565603852272,94.1,2,0.005,resnet50,GMP,cifar10,0.8
101,3816742127056.0,0.0222641676664352,99.86,0.1625657081604004,94.1,2,0.005,resnet50,GMP,cifar10,0.8
-1,314559424.0,0.5693437457084656,93.3,0.5186889171600342,88.52,3,0.005,resnet50,GMP,cifar10,0.8
0,38061690304.0,0.1216720417141914,98.8,0.1293407529592514,92.87,3,0.005,resnet50,GMP,cifar10,0.8
10,415532999104.0,0.0446579568088054,99.42,0.1220492869615554,93.57,3,0.005,resnet50,GMP,cifar10,0.8
20,793004307904.0,0.0478739775717258,99.54,0.1126265153288841,93.51,3,0.005,resnet50,GMP,cifar10,0.8
30,1170475616704.0,0.0394938103854656,99.62,0.1089247241616249,93.82,3,0.005,resnet50,GMP,cifar10,0.8
40,1547946925504.0,0.0337924100458622,99.74,0.1555990725755691,93.82,3,0.005,resnet50,GMP,cifar10,0.8
50,1925418234304.0,0.0335134714841842,99.84,0.1738353967666626,93.88,3,0.005,resnet50,GMP,cifar10,0.8
60,2302889543104.0,0.047701209783554,99.78,0.1441785991191864,93.99,3,0.005,resnet50,GMP,cifar10,0.8
70,2680360851904.0,0.0550970695912838,99.8,0.1485299617052078,93.99,3,0.005,resnet50,GMP,cifar10,0.8
80,3057832160704.0,0.0234571285545825,99.78,0.1487506181001663,93.97,3,0.005,resnet50,GMP,cifar10,0.8
90,3435303469504.0,0.0310730244964361,99.76,0.1502704173326492,94.07,3,0.005,resnet50,GMP,cifar10,0.8
100,3812774778304.0,0.0308834686875343,99.94,0.1469516903162002,94.08,3,0.005,resnet50,GMP,cifar10,0.8
101,3812774778304.0,0.0551604405045509,99.76,0.1469516903162002,94.08,3,0.005,resnet50,GMP,cifar10,0.8
-1,314727568.0,0.5125476121902466,95.6,0.4808604717254638,89.91,4,0.005,resnet50,GMP,cifar10,0.8
0,38082035728.0,0.0988375842571258,98.78,0.1137068942189216,93.23,4,0.005,resnet50,GMP,cifar10,0.8
10,415755117328.0,0.0472966358065605,99.22,0.0811938121914863,93.7,4,0.005,resnet50,GMP,cifar10,0.8
20,793428198928.0,0.0409219451248645,99.6,0.0810996368527412,93.8,4,0.005,resnet50,GMP,cifar10,0.8
30,1171101280528.0,0.042902372777462,99.56,0.0878924131393432,93.91,4,0.005,resnet50,GMP,cifar10,0.8
40,1548774362128.0,0.0306127816438674,99.74,0.0928595066070556,94.0,4,0.005,resnet50,GMP,cifar10,0.8
50,1926447443728.0,0.0242017284035682,99.8,0.0800136551260948,94.19,4,0.005,resnet50,GMP,cifar10,0.8
60,2304120525328.0,0.0283901989459991,99.76,0.0884974300861358,94.09,4,0.005,resnet50,GMP,cifar10,0.8
70,2681793606928.0,0.0266737099736928,99.84,0.10816191136837,94.29,4,0.005,resnet50,GMP,cifar10,0.8
80,3059466688528.0,0.0278139151632785,99.78,0.1061033532023429,94.25,4,0.005,resnet50,GMP,cifar10,0.8
90,3437139770128.0,0.0309760365635156,99.76,0.112780712544918,94.28,4,0.005,resnet50,GMP,cifar10,0.8
100,3814812851728.0,0.0250367205590009,99.92,0.1216257661581039,94.24,4,0.005,resnet50,GMP,cifar10,0.8
101,3814812851728.0,0.0297644939273595,99.8,0.1216257959604263,94.24,4,0.005,resnet50,GMP,cifar10,0.8
-1,314784736.0,0.5565972924232483,93.08,0.4403358995914459,88.46,5,0.005,resnet50,GMP,cifar10,0.8
0,38088953056.0,0.1212541982531547,98.38,0.1207674071192741,92.77,5,0.005,resnet50,GMP,cifar10,0.8
10,415830636256.0,0.0732663795351982,99.16,0.1571863293647766,93.54,5,0.005,resnet50,GMP,cifar10,0.8
20,793572319456.0,0.0404826328158378,99.54,0.1553952246904373,93.83,5,0.005,resnet50,GMP,cifar10,0.8
