Name,N Shallow layer index,N Shallow layer name,Dense Accuracy,Pruned Accuracy
resnet50_normal_cifar10_seed_4_rf_level_7_no_recording_test_acc_50.13.pth,1,layer1.0.conv1,50.13,50.13
resnet50_normal_cifar10_1702560392.9578433_rf_level_7_recording_test_acc_50.17.pth,1,layer1.0.conv1,50.17,50.17
resnet50_normal_cifar10_1703016055.8506765_rf_level_7_recording_tmax_=_epochs_test_acc_49.28.pth,1,layer1.0.conv1,49.28,49.28
resnet50_normal_cifar10_1702492343.4028544_rf_level_7_recording_test_acc_49.95.pth,1,layer1.0.conv1,49.95,49.95
resnet50_normal_cifar10_seed_2_rf_level_7_no_recording_test_acc_50.59.pth,1,layer1.0.conv1,50.59,50.59
resnet50_normal_cifar10_seed_1_rf_level_7_no_recording_test_acc_49.83.pth,1,layer1.0.conv1,49.83,49.83
resnet50_normal_cifar10_seed_3_rf_level_7_no_recording_test_acc_49.92.pth,1,layer1.0.conv1,49.92,49.92
resnet50_normal_cifar10_1702637038.9669912_rf_level_7_no_recording_test_acc_50.36.pth,1,layer1.0.conv1,50.36,50.36
resnet50_normal_cifar10_seed_0_rf_level_7_no_recording_test_acc_49.96.pth,1,layer1.0.conv1,49.96,49.96
