Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy,individual,sigma
-1,304553392.0,2.048692226409912,6.26,1.9820668697357176,6.92,0,0.005
0,36850960432.0,0.8558225035667419,24.34,0.7966232895851135,25.57,0,0.005
10,402315030832.0,0.4098175764083862,46.04,0.5430645942687988,44.57,0,0.005
20,767779101232.0,0.4057324230670929,52.82,0.6126503348350525,49.23,0,0.005
30,1133243171632.0,0.4081928730010986,58.04,0.748113214969635,52.79,0,0.005
40,1498707242032.0,0.5198335647583008,62.5,0.9171998500823976,55.33,0,0.005
50,1864171312432.0,0.6188209056854248,66.18,0.9687708020210266,57.63,0,0.005
60,2229635382832.0,0.5829508304595947,69.14,1.123400330543518,59.07,0,0.005
70,2595099453232.0,0.8075921535491943,70.54,1.0962026119232178,60.45,0,0.005
80,2960563523632.0,0.9025267362594604,73.9,1.2094230651855469,61.33,0,0.005
90,3326027594032.0,0.7526988983154297,75.4,1.2382222414016724,62.23,0,0.005
100,3691491664432.0,0.7617334723472595,77.38,1.2014718055725098,62.9,0,0.005
101,3691491664432.0,0.7448599338531494,77.82,1.2014718055725098,62.9,0,0.005
-1,304955536.0,1.618679404258728,5.52,1.6048846244812012,6.01,1,0.005
0,36899619856.0,0.7648007869720459,25.16,0.7695823311805725,25.16,1,0.005
10,402846263056.0,0.3672455847263336,45.56,0.4908207058906555,43.74,1,0.005
20,768792906256.0,0.3666096925735473,52.62,0.5625811219215393,49.11,1,0.005
30,1134739549456.0,0.5168390870094299,57.36,0.7401787042617798,52.69,1,0.005
40,1500686192656.0,0.6552627682685852,62.42,0.8710175156593323,55.45,1,0.005
50,1866632835856.0,0.7328436970710754,66.3,1.059001326560974,56.97,1,0.005
60,2232579479056.0,0.6795358657836914,68.7,0.9320035576820374,59.06,1,0.005
70,2598526122256.0,0.7402952909469604,71.94,1.0980459451675415,60.15,1,0.005
80,2964472765456.0,0.8067541718482971,74.08,1.230540156364441,61.38,1,0.005
90,3330419408656.0,0.9974993467330932,75.04,1.0838358402252195,62.48,1,0.005
100,3696366051856.0,0.9027972221374512,76.68,1.2278988361358645,62.9,1,0.005
101,3696366051856.0,0.9081183671951294,78.0,1.2278988361358645,62.9,1,0.005
-1,304721488.0,2.1063456535339355,4.44,2.1443629264831543,4.63,2,0.005
0,36871300048.0,0.7818628549575806,26.54,0.7734520435333252,26.07,2,0.005
10,402537085648.0,0.4319260418415069,45.44,0.5200929641723633,43.53,2,0.005
20,768202871248.0,0.4798508584499359,53.18,0.7454395890235901,49.11,2,0.005
30,1133868656848.0,0.6396393179893494,58.66,1.008481502532959,52.11,2,0.005
40,1499534442448.0,0.5739078521728516,62.6,1.058523654937744,54.72,2,0.005
50,1865200228048.0,0.7599483728408813,66.0,1.0937857627868652,57.42,2,0.005
60,2230866013648.0,0.7901134490966797,68.48,1.178261160850525,59.19,2,0.005
70,2596531799248.0,0.7721797823905945,71.7,1.0758510828018188,60.62,2,0.005
80,2962197584848.0,0.9816197156906128,72.96,1.3802495002746582,61.18,2,0.005
90,3327863370448.0,0.861195981502533,75.44,1.3784606456756592,62.01,2,0.005
100,3693529156048.0,0.7504103779792786,76.64,1.1349525451660156,62.98,2,0.005
101,3693529156048.0,0.7325136065483093,77.02,1.1349525451660156,62.98,2,0.005
-1,304600720.0,2.0577938556671143,5.08,2.002238750457764,6.12,3,0.005
0,36856687120.0,0.8057777881622314,24.78,0.7946932315826416,25.87,3,0.005
10,402377551120.0,0.3977365791797638,45.08,0.5642626285552979,43.67,3,0.005
20,767898415120.0,0.3290788233280182,52.26,0.6141550540924072,49.36,3,0.005
30,1133419279120.0,0.5261083245277405,56.88,0.7562275528907776,52.54,3,0.005
40,1498940143120.0,0.6125191450119019,61.22,0.9079497456550598,55.15,3,0.005
50,1864461007120.0,0.6969043016433716,65.2,0.9255724549293518,57.77,3,0.005
60,2229981871120.0,0.6426888108253479,68.46,1.011935472488403,59.21,3,0.005
70,2595502735120.0,0.8251186609268188,69.9,1.0772234201431274,60.16,3,0.005
80,2961023599120.0,0.7936440706253052,73.02,1.0029643774032593,61.28,3,0.005
90,3326544463120.0,0.8864292502403259,75.12,1.2110097408294678,62.23,3,0.005
100,3692065327120.0,0.8335919976234436,77.06,1.3538942337036133,62.69,3,0.005
101,3692065327120.0,0.8516994118690491,76.52,1.3538942337036133,62.69,3,0.005
-1,304865440.0,2.2133750915527344,6.24,2.286480188369751,5.97,4,0.005
0,36888718240.0,0.8162009119987488,23.78,0.8536577224731445,23.88,4,0.005
10,402727246240.0,0.4150459170341491,45.14,0.5587387681007385,42.17,4,0.005
20,768565774240.0,0.4102753698825836,53.42,0.6982781887054443,48.21,4,0.005
30,1134404302240.0,0.4491659104824066,58.66,0.7330884337425232,52.41,4,0.005
40,1500242830240.0,0.494769811630249,63.04,0.943065106868744,55.2,4,0.005
50,1866081358240.0,0.6761216521263123,65.72,1.0346473455429075,56.91,4,0.005
60,2231919886240.0,0.586929976940155,69.0,0.9242308139801024,59.34,4,0.005
70,2597758414240.0,0.921660304069519,71.16,1.3321027755737305,60.22,4,0.005
80,2963596942240.0,0.6794029474258423,73.7,1.2225372791290283,61.58,4,0.005
90,3329435470240.0,0.7123971581459045,75.88,1.262877345085144,62.0,4,0.005
100,3695273998240.0,0.7216320037841797,76.86,1.4456002712249756,62.61,4,0.005
101,3695273998240.0,0.7225545048713684,77.32,1.4456002712249756,62.61,4,0.005
-1,304699504.0,2.137427568435669,6.48,2.223142623901367,5.69,5,0.005
0,36868639984.0,0.8101825714111328,22.48,0.8189571499824524,21.4,5,0.005
10,402508044784.0,0.395559549331665,44.98,0.5547558665275574,43.0,5,0.005
20,768147449584.0,0.4276742339134216,52.28,0.7031295299530029,48.63,5,0.005
30,1133786854384.0,0.5823102593421936,57.88,0.8625667691230774,52.08,5,0.005
40,1499426259184.0,0.5327519774436951,62.34,0.914859175682068,55.2,5,0.005
50,1865065663984.0,0.6608569025993347,65.68,1.0374610424041748,57.29,5,0.005
60,2230705068784.0,0.7017495036125183,69.12,1.07273268699646,59.14,5,0.005
70,2596344473584.0,0.6777393221855164,71.26,1.0414918661117554,60.88,5,0.005
80,2961983878384.0,0.6917399168014526,73.42,1.027441382408142,61.69,5,0.005
90,3327623283184.0,0.7357491254806519,75.72,1.0858492851257324,62.46,5,0.005
100,3693262687984.0,0.7696621417999268,77.2,1.191414475440979,63.05,5,0.005
101,3693262687984.0,0.7782557010650635,78.16,1.191414475440979,63.05,5,0.005
-1,304865632.0,2.117703914642334,5.7,2.15702223777771,5.27,6,0.005
0,36888741472.0,0.845748245716095,22.64,0.8692129850387573,22.1,6,0.005
10,402727499872.0,0.4201787710189819,44.58,0.5827004909515381,41.93,6,0.005
