Epoch,test accuracy,training accuracy
144,86.5,"(92.722, 46361, 50000)"
145,84.99,"(92.686, 46343, 50000)"
146,84.42,"(93.008, 46504, 50000)"
147,85.87,"(93.168, 46584, 50000)"
148,86.64,"(93.43, 46715, 50000)"
149,84.78,"(93.47, 46735, 50000)"
150,87.47,"(93.534, 46767, 50000)"
151,87.51,"(93.724, 46862, 50000)"
152,87.19,"(94.132, 47066, 50000)"
153,87.19,"(93.844, 46922, 50000)"
154,86.41,"(94.376, 47188, 50000)"
155,86.13,"(94.316, 47158, 50000)"
156,87.61,"(94.792, 47396, 50000)"
157,87.09,"(94.726, 47363, 50000)"
158,87.21,"(94.862, 47431, 50000)"
159,88.04,"(95.098, 47549, 50000)"
160,88.12,"(95.336, 47668, 50000)"
161,87.27,"(95.326, 47663, 50000)"
162,88.48,"(95.698, 47849, 50000)"
163,87.54,"(95.758, 47879, 50000)"
164,88.99,"(96.014, 48007, 50000)"
165,88.52,"(96.252, 48126, 50000)"
166,88.66,"(96.218, 48109, 50000)"
167,88.67,"(96.598, 48299, 50000)"
168,87.99,"(96.786, 48393, 50000)"
169,88.8,"(96.788, 48394, 50000)"
170,88.29,"(97.11, 48555, 50000)"
171,88.99,"(97.286, 48643, 50000)"
172,89.08,"(97.316, 48658, 50000)"
173,88.7,"(97.486, 48743, 50000)"
174,89.01,"(97.65, 48825, 50000)"
175,89.67,"(97.802, 48901, 50000)"
176,89.4,"(98.004, 49002, 50000)"
177,89.49,"(98.004, 49002, 50000)"
178,89.67,"(98.246, 49123, 50000)"
179,89.58,"(98.266, 49133, 50000)"
180,89.66,"(98.386, 49193, 50000)"
181,89.62,"(98.49, 49245, 50000)"
182,89.64,"(98.648, 49324, 50000)"
183,89.65,"(98.732, 49366, 50000)"
184,89.76,"(98.784, 49392, 50000)"
185,89.85,"(98.89, 49445, 50000)"
186,89.98,"(98.99, 49495, 50000)"
187,90.16,"(98.956, 49478, 50000)"
188,89.99,"(98.978, 49489, 50000)"
189,90.2,"(99.106, 49553, 50000)"
190,90.0,"(99.088, 49544, 50000)"
191,90.25,"(99.128, 49564, 50000)"
192,90.18,"(99.18, 49590, 50000)"
193,90.36,"(99.09, 49545, 50000)"
194,90.16,"(99.166, 49583, 50000)"
195,90.09,"(99.13, 49565, 50000)"
196,90.24,"(99.228, 49614, 50000)"
197,90.03,"(99.164, 49582, 50000)"
198,90.37,"(99.21, 49605, 50000)"
199,90.22,"(99.228, 49614, 50000)"
