Name,Dense Accuracy,Pruned Fine Tuned Accuracy,Fine-tuning Best Epoch
/nobackup/sclaam/checkpoints/pruned/0.9/resnet50_normal_tiny_imagenet_seed_3_rf_level_2__test_acc_49.8.pth,61.2,49.8,34
/nobackup/sclaam/checkpoints/pruned/0.9/resnet50_normal_tiny_imagenet_seed_2_rf_level_2__test_acc_50.03.pth,62.21,50.03,38
/nobackup/sclaam/checkpoints/pruned/0.9/resnet50_normal_tiny_imagenet_seed_4_rf_level_2__test_acc_50.93.pth,61.85,50.93,49
/nobackup/sclaam/checkpoints/pruned/0.9/resnet50_normal_tiny_imagenet_seed_0_rf_level_2__test_acc_50.09.pth,61.75,50.09,70
/nobackup/sclaam/checkpoints/pruned/0.9/resnet50_normal_tiny_imagenet_seed_1_rf_level_2__test_acc_50.21.pth,62.14,50.21,55
