Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy,individual,sigma,Pruner,Architecture,Dataset,Pruning Rate
50,704446498672.0,0.0415809527039527,99.42,0.1989651471376419,93.03,3,0.005,LAMP,VGG19,cifar10,0.85
60,842550697072.0,0.061109360307455,99.42,0.1664378345012664,93.13,3,0.005,LAMP,VGG19,cifar10,0.85
70,980654895472.0,0.0565888620913028,99.36,0.1629596054553985,93.16,3,0.005,LAMP,VGG19,cifar10,0.85
80,1118759093872.0,0.0481852628290653,99.64,0.1954565048217773,93.06,3,0.005,LAMP,VGG19,cifar10,0.85
90,1256863292272.0,0.0352704264223575,99.32,0.200605496764183,93.17,3,0.005,LAMP,VGG19,cifar10,0.85
100,1394967490672.0,0.040067121386528,99.5,0.1938557922840118,93.22,3,0.005,LAMP,VGG19,cifar10,0.85
101,1394967490672.0,0.0438843369483947,99.38,0.193855807185173,93.22,3,0.005,LAMP,VGG19,cifar10,0.85
-1,115012892.0,2.0070979595184326,38.16,2.028114080429077,36.66,4,0.005,LAMP,VGG19,cifar10,0.85
0,13916559932.0,0.1732367575168609,98.62,0.1623517572879791,92.6,4,0.005,LAMP,VGG19,cifar10,0.85
10,151932030332.0,0.0634225010871887,98.86,0.1252899914979934,92.99,4,0.005,LAMP,VGG19,cifar10,0.85
20,289947500732.0,0.0596508719027042,98.82,0.131686583161354,93.11,4,0.005,LAMP,VGG19,cifar10,0.85
30,427962971132.0,0.0429714955389499,99.24,0.1413738429546356,93.13,4,0.005,LAMP,VGG19,cifar10,0.85
40,565978441532.0,0.0426069423556327,99.22,0.1570568531751632,93.17,4,0.005,LAMP,VGG19,cifar10,0.85
50,703993911932.0,0.042119100689888,99.1,0.1720102876424789,93.1,4,0.005,LAMP,VGG19,cifar10,0.85
60,842009382332.0,0.0538947843015193,99.02,0.1713951677083969,93.11,4,0.005,LAMP,VGG19,cifar10,0.85
70,980024852732.0,0.0467018000781536,99.28,0.1831417083740234,93.25,4,0.005,LAMP,VGG19,cifar10,0.85
80,1118040323132.0,0.0614530369639396,99.3,0.2030303329229354,93.06,4,0.005,LAMP,VGG19,cifar10,0.85
90,1256055793532.0,0.0431677028536796,99.44,0.180009052157402,93.29,4,0.005,LAMP,VGG19,cifar10,0.85
100,1394071263932.0,0.0576139912009239,99.48,0.1870744824409485,93.15,4,0.005,LAMP,VGG19,cifar10,0.85
101,1394071263932.0,0.0578240156173706,99.44,0.1870744824409485,93.15,4,0.005,LAMP,VGG19,cifar10,0.85
-1,115156120.0,2.313199043273926,33.84,2.316051721572876,33.41,5,0.005,LAMP,VGG19,cifar10,0.85
0,13933890520.0,0.1828824281692505,98.48,0.1858051270246505,92.14,5,0.005,LAMP,VGG19,cifar10,0.85
10,152121234520.0,0.0629586651921272,99.24,0.1553791463375091,92.79,5,0.005,LAMP,VGG19,cifar10,0.85
20,290308578520.0,0.0534914694726467,99.06,0.1682689189910888,92.91,5,0.005,LAMP,VGG19,cifar10,0.85
30,428495922520.0,0.0610465966165065,99.18,0.1860137283802032,92.79,5,0.005,LAMP,VGG19,cifar10,0.85
40,566683266520.0,0.0437742583453655,99.08,0.1831968277692794,92.87,5,0.005,LAMP,VGG19,cifar10,0.85
50,704870610520.0,0.0647901967167854,99.42,0.1901620924472808,92.83,5,0.005,LAMP,VGG19,cifar10,0.85
60,843057954520.0,0.0515462979674339,99.34,0.1900991648435592,92.87,5,0.005,LAMP,VGG19,cifar10,0.85
70,981245298520.0,0.0500471778213977,99.36,0.1888751089572906,92.87,5,0.005,LAMP,VGG19,cifar10,0.85
80,1119432642520.0,0.0469675622880458,99.52,0.1768004596233368,93.02,5,0.005,LAMP,VGG19,cifar10,0.85
90,1257619986520.0,0.0504099950194358,99.58,0.1844176054000854,93.02,5,0.005,LAMP,VGG19,cifar10,0.85
100,1395807330520.0,0.0541642531752586,99.44,0.2218921482563018,93.02,5,0.005,LAMP,VGG19,cifar10,0.85
101,1395807330520.0,0.0751008614897728,99.48,0.2218921482563018,93.02,5,0.005,LAMP,VGG19,cifar10,0.85
-1,114981688.0,2.4435529708862305,36.4,2.43945860862732,35.93,6,0.005,LAMP,VGG19,cifar10,0.85
0,13912784248.0,0.1707574874162674,99.0,0.1805836856365203,92.59,6,0.005,LAMP,VGG19,cifar10,0.85
10,151890809848.0,0.0714459642767906,98.96,0.1467932313680648,92.96,6,0.005,LAMP,VGG19,cifar10,0.85
20,289868835448.0,0.0558463782072067,98.96,0.1948250234127044,92.94,6,0.005,LAMP,VGG19,cifar10,0.85
30,427846861048.0,0.0492232181131839,99.0,0.2333176583051681,93.0,6,0.005,LAMP,VGG19,cifar10,0.85
40,565824886648.0,0.0430587008595466,99.22,0.230695903301239,93.05,6,0.005,LAMP,VGG19,cifar10,0.85
50,703802912248.0,0.0374153442680835,99.26,0.1831525862216949,93.15,6,0.005,LAMP,VGG19,cifar10,0.85
60,841780937848.0,0.050271388143301,99.36,0.2281854599714279,92.92,6,0.005,LAMP,VGG19,cifar10,0.85
70,979758963448.0,0.0480150133371353,99.46,0.2259202152490615,93.09,6,0.005,LAMP,VGG19,cifar10,0.85
80,1117736989048.0,0.0568463653326034,99.4,0.2322684526443481,93.12,6,0.005,LAMP,VGG19,cifar10,0.85
90,1255715014648.0,0.0416430085897445,99.54,0.2488176375627517,93.09,6,0.005,LAMP,VGG19,cifar10,0.85
100,1393693040248.0,0.035409465432167,99.58,0.2682188749313354,92.99,6,0.005,LAMP,VGG19,cifar10,0.85
101,1393693040248.0,0.0468170195817947,99.46,0.2682188749313354,92.99,6,0.005,LAMP,VGG19,cifar10,0.85
-1,115086940.0,1.812743186950684,48.18,1.8331133127212524,46.69,7,0.005,LAMP,VGG19,cifar10,0.85
0,13925519740.0,0.1569625288248062,98.6,0.1804709285497665,92.57,7,0.005,LAMP,VGG19,cifar10,0.85
10,152029847740.0,0.0780809670686721,98.8,0.1147719621658325,92.95,7,0.005,LAMP,VGG19,cifar10,0.85
20,290134175740.0,0.061794139444828,98.86,0.1388561129570007,93.06,7,0.005,LAMP,VGG19,cifar10,0.85
30,428238503740.0,0.0508454032242298,99.26,0.1469080150127411,92.88,7,0.005,LAMP,VGG19,cifar10,0.85
40,566342831740.0,0.0441004000604152,99.3,0.1430588811635971,93.0,7,0.005,LAMP,VGG19,cifar10,0.85
50,704447159740.0,0.0365028828382492,99.26,0.1471708267927169,93.08,7,0.005,LAMP,VGG19,cifar10,0.85
60,842551487740.0,0.0542567856609821,99.48,0.156951367855072,93.07,7,0.005,LAMP,VGG19,cifar10,0.85
70,980655815740.0,0.0480693168938159,99.38,0.1550432592630386,93.03,7,0.005,LAMP,VGG19,cifar10,0.85
80,1118760143740.0,0.0569343455135822,99.62,0.1867057085037231,93.0,7,0.005,LAMP,VGG19,cifar10,0.85
90,1256864471740.0,0.045288186520338,99.42,0.1801850348711013,93.12,7,0.005,LAMP,VGG19,cifar10,0.85
100,1394968799740.0,0.0454010441899299,99.58,0.1911281645298004,93.19,7,0.005,LAMP,VGG19,cifar10,0.85
101,1394968799740.0,0.0325834974646568,99.42,0.1911281645298004,93.19,7,0.005,LAMP,VGG19,cifar10,0.85
-1,115074628.0,1.9646183252334597,41.62,1.970963835716248,40.5,8,0.005,LAMP,VGG19,cifar10,0.85
0,13924029988.0,0.1680426150560379,98.76,0.196185827255249,92.8,8,0.005,LAMP,VGG19,cifar10,0.85
10,152013583588.0,0.0662114545702934,98.96,0.1450582891702652,93.14,8,0.005,LAMP,VGG19,cifar10,0.85
20,290103137188.0,0.0480314306914806,98.94,0.1554202586412429,93.2,8,0.005,LAMP,VGG19,cifar10,0.85
30,428192690788.0,0.0624114423990249,99.44,0.1676659882068634,93.28,8,0.005,LAMP,VGG19,cifar10,0.85
40,566282244388.0,0.0453579649329185,99.06,0.1665521413087844,93.24,8,0.005,LAMP,VGG19,cifar10,0.85
50,704371797988.0,0.0457923337817192,99.46,0.1709067076444625,93.25,8,0.005,LAMP,VGG19,cifar10,0.85
60,842461351588.0,0.0518002435564994,99.38,0.200710728764534,93.16,8,0.005,LAMP,VGG19,cifar10,0.85
70,980550905188.0,0.0494233146309852,99.32,0.1795505732297897,93.12,8,0.005,LAMP,VGG19,cifar10,0.85
80,1118640458788.0,0.0366300083696842,99.6,0.176559567451477,93.22,8,0.005,LAMP,VGG19,cifar10,0.85
90,1256730012388.0,0.0717512071132659,99.34,0.202686071395874,93.18,8,0.005,LAMP,VGG19,cifar10,0.85
100,1394819565988.0,0.0527709946036338,99.52,0.2074052542448043,93.24,8,0.005,LAMP,VGG19,cifar10,0.85
101,1394819565988.0,0.0402787141501903,99.46,0.2074052691459655,93.24,8,0.005,LAMP,VGG19,cifar10,0.85
-1,115097092.0,2.3509178161621094,33.16,2.389326572418213,31.99,9,0.005,LAMP,VGG19,cifar10,0.85
0,13926748132.0,0.1953553706407547,98.16,0.2001070380210876,92.7,9,0.005,LAMP,VGG19,cifar10,0.85
10,152043258532.0,0.0771116912364959,98.58,0.1434307843446731,92.83,9,0.005,LAMP,VGG19,cifar10,0.85
20,290159768932.0,0.0482819974422454,98.8,0.133849024772644,93.01,9,0.005,LAMP,VGG19,cifar10,0.85
30,428276279332.0,0.0594432428479194,99.04,0.1237644329667091,92.94,9,0.005,LAMP,VGG19,cifar10,0.85
40,566392789732.0,0.0626382902264595,98.86,0.1555352210998535,92.94,9,0.005,LAMP,VGG19,cifar10,0.85
50,704509300132.0,0.054894533008337,99.26,0.1398749351501464,93.0,9,0.005,LAMP,VGG19,cifar10,0.85
60,842625810532.0,0.0645719170570373,99.22,0.1350103467702865,92.96,9,0.005,LAMP,VGG19,cifar10,0.85
70,980742320932.0,0.0466161407530307,99.48,0.1509772688150406,92.99,9,0.005,LAMP,VGG19,cifar10,0.85
80,1118858831332.0,0.0362562611699104,99.42,0.1507918238639831,93.05,9,0.005,LAMP,VGG19,cifar10,0.85
90,1256975341732.0,0.0407652668654918,99.42,0.1891985833644867,93.12,9,0.005,LAMP,VGG19,cifar10,0.85
100,1395091852132.0,0.0721426531672477,99.64,0.1825743466615677,93.14,9,0.005,LAMP,VGG19,cifar10,0.85
101,1395091852132.0,0.0565801374614238,99.52,0.1825743466615677,93.14,9,0.005,LAMP,VGG19,cifar10,0.85
-1,115109860.0,2.226585149765014,36.3,2.24466872215271,36.06,10,0.005,LAMP,VGG19,cifar10,0.85
0,13928293060.0,0.165398433804512,98.14,0.1747850775718689,92.57,10,0.005,LAMP,VGG19,cifar10,0.85
10,152060125060.0,0.0593642070889472,98.78,0.1500294655561447,92.96,10,0.005,LAMP,VGG19,cifar10,0.85
20,290191957060.0,0.0566810481250286,99.24,0.1553262174129486,93.07,10,0.005,LAMP,VGG19,cifar10,0.85
30,428323789060.0,0.0791147053241729,99.22,0.1550630331039428,93.1,10,0.005,LAMP,VGG19,cifar10,0.85
40,566455621060.0,0.0465277023613452,99.16,0.1702599227428436,93.12,10,0.005,LAMP,VGG19,cifar10,0.85
50,704587453060.0,0.0483499579131603,99.24,0.1874946355819702,93.18,10,0.005,LAMP,VGG19,cifar10,0.85
60,842719285060.0,0.0455616153776645,99.22,0.1841358095407486,93.1,10,0.005,LAMP,VGG19,cifar10,0.85
70,980851117060.0,0.0568322949111461,99.44,0.1984555423259735,93.11,10,0.005,LAMP,VGG19,cifar10,0.85
80,1118982949060.0,0.076202355325222,99.48,0.1775614917278289,93.28,10,0.005,LAMP,VGG19,cifar10,0.85
90,1257114781060.0,0.0756310671567916,99.58,0.2199578881263733,93.22,10,0.005,LAMP,VGG19,cifar10,0.85
100,1395246613060.0,0.0493431016802787,99.62,0.2068364769220352,93.34,10,0.005,LAMP,VGG19,cifar10,0.85
101,1395246613060.0,0.0506832003593444,99.38,0.2068364769220352,93.34,10,0.005,LAMP,VGG19,cifar10,0.85
-1,114960880.0,2.3144259452819824,36.42,2.313702344894409,36.47,11,0.005,LAMP,VGG19,cifar10,0.85
0,13910266480.0,0.1648761332035064,98.18,0.1734810322523117,92.19,11,0.005,LAMP,VGG19,cifar10,0.85
10,151863322480.0,0.0676987096667289,98.86,0.1483335047960281,92.79,11,0.005,LAMP,VGG19,cifar10,0.85
20,289816378480.0,0.0743573233485221,99.18,0.162199392914772,92.93,11,0.005,LAMP,VGG19,cifar10,0.85
30,427769434480.0,0.0530200563371181,99.02,0.1807481199502945,92.9,11,0.005,LAMP,VGG19,cifar10,0.85
40,565722490480.0,0.0612328089773654,99.36,0.1937914490699768,92.85,11,0.005,LAMP,VGG19,cifar10,0.85
50,703675546480.0,0.063351958990097,99.44,0.2129317969083786,92.85,11,0.005,LAMP,VGG19,cifar10,0.85
60,841628602480.0,0.0511365756392478,99.36,0.2094215154647827,92.76,11,0.005,LAMP,VGG19,cifar10,0.85
70,979581658480.0,0.0485224686563015,99.2,0.2074299305677414,92.83,11,0.005,LAMP,VGG19,cifar10,0.85
80,1117534714480.0,0.0505143254995346,99.5,0.1951042562723159,92.95,11,0.005,LAMP,VGG19,cifar10,0.85
90,1255487770480.0,0.0501512289047241,99.62,0.2274308651685714,92.97,11,0.005,LAMP,VGG19,cifar10,0.85
100,1393440826480.0,0.05525379255414,99.52,0.2156997174024582,93.01,11,0.005,LAMP,VGG19,cifar10,0.85
101,1393440826480.0,0.0649763569235801,99.44,0.2156997174024582,93.01,11,0.005,LAMP,VGG19,cifar10,0.85
-1,115078444.0,2.4428164958953857,33.12,2.459916830062866,31.13,12,0.005,LAMP,VGG19,cifar10,0.85
0,13924491724.0,0.159170776605606,98.82,0.1581897437572479,92.41,12,0.005,LAMP,VGG19,cifar10,0.85
10,152018624524.0,0.0587748363614082,99.26,0.1435739398002624,92.89,12,0.005,LAMP,VGG19,cifar10,0.85
20,290112757324.0,0.0722661986947059,99.28,0.1624272912740707,93.07,12,0.005,LAMP,VGG19,cifar10,0.85
30,428206890124.0,0.0627823621034622,99.24,0.1651955246925354,93.02,12,0.005,LAMP,VGG19,cifar10,0.85
40,566301022924.0,0.0501703843474388,99.24,0.1813250184059143,93.04,12,0.005,LAMP,VGG19,cifar10,0.85
50,704395155724.0,0.0418452024459838,99.48,0.1854960918426513,93.07,12,0.005,LAMP,VGG19,cifar10,0.85
60,842489288524.0,0.0479137152433395,99.36,0.1882440149784088,93.05,12,0.005,LAMP,VGG19,cifar10,0.85
70,980583421324.0,0.0529466904699802,99.34,0.1687386929988861,93.05,12,0.005,LAMP,VGG19,cifar10,0.85
80,1118677554124.0,0.0469703115522861,99.16,0.1817562133073806,93.1,12,0.005,LAMP,VGG19,cifar10,0.85
90,1256771686924.0,0.0574212111532688,99.3,0.1866679042577743,93.14,12,0.005,LAMP,VGG19,cifar10,0.85
100,1394865819724.0,0.0566535666584968,99.6,0.2044861167669296,93.09,12,0.005,LAMP,VGG19,cifar10,0.85
101,1394865819724.0,0.0535043254494667,99.5,0.2044861316680908,93.09,12,0.005,LAMP,VGG19,cifar10,0.85
-1,115101916.0,2.17786169052124,35.06,2.184377908706665,34.61,13,0.005,LAMP,VGG19,cifar10,0.85
0,13927331836.0,0.1586838215589523,98.74,0.1597773283720016,92.63,13,0.005,LAMP,VGG19,cifar10,0.85
10,152049631036.0,0.0642652586102485,99.28,0.1364782601594925,92.91,13,0.005,LAMP,VGG19,cifar10,0.85
20,290171930236.0,0.0590280815958976,98.82,0.1479969322681427,93.04,13,0.005,LAMP,VGG19,cifar10,0.85
30,428294229436.0,0.0472554117441177,99.08,0.1606614142656326,93.03,13,0.005,LAMP,VGG19,cifar10,0.85
40,566416528636.0,0.0549134723842144,98.98,0.1506337970495224,93.11,13,0.005,LAMP,VGG19,cifar10,0.85
50,704538827836.0,0.0506049878895282,99.1,0.1695170104503631,93.13,13,0.005,LAMP,VGG19,cifar10,0.85
60,842661127036.0,0.0487038940191268,99.38,0.1652468293905258,93.21,13,0.005,LAMP,VGG19,cifar10,0.85
70,980783426236.0,0.0439301915466785,99.58,0.1986658573150634,93.23,13,0.005,LAMP,VGG19,cifar10,0.85
80,1118905725436.0,0.0403384044766426,99.48,0.1600734144449234,93.23,13,0.005,LAMP,VGG19,cifar10,0.85
90,1257028024636.0,0.0505013167858123,99.62,0.1926431953907013,93.31,13,0.005,LAMP,VGG19,cifar10,0.85
100,1395150323836.0,0.0457490310072898,99.38,0.190883383154869,93.3,13,0.005,LAMP,VGG19,cifar10,0.85
101,1395150323836.0,0.0466509684920311,99.46,0.190883383154869,93.3,13,0.005,LAMP,VGG19,cifar10,0.85
-1,115005760.0,2.159320592880249,37.62,2.1861367225646973,36.93,14,0.005,LAMP,VGG19,cifar10,0.85
0,13915696960.0,0.1583915054798126,98.16,0.1481309682130813,92.62,14,0.005,LAMP,VGG19,cifar10,0.85
10,151922608960.0,0.0502772405743598,99.06,0.1468468755483627,92.95,14,0.005,LAMP,VGG19,cifar10,0.85
20,289929520960.0,0.0666258931159973,99.02,0.1583493053913116,92.96,14,0.005,LAMP,VGG19,cifar10,0.85
30,427936432960.0,0.0523203760385513,99.14,0.1695884466171264,92.87,14,0.005,LAMP,VGG19,cifar10,0.85
40,565943344960.0,0.0563086979091167,99.28,0.1597682535648346,92.97,14,0.005,LAMP,VGG19,cifar10,0.85
50,703950256960.0,0.0568389967083931,99.22,0.1675355434417724,92.97,14,0.005,LAMP,VGG19,cifar10,0.85
60,841957168960.0,0.0451113283634185,99.38,0.1716339886188507,93.02,14,0.005,LAMP,VGG19,cifar10,0.85
70,979964080960.0,0.0619154423475265,99.34,0.183805450797081,93.1,14,0.005,LAMP,VGG19,cifar10,0.85
80,1117970992960.0,0.0434412360191345,99.32,0.1642702966928482,93.18,14,0.005,LAMP,VGG19,cifar10,0.85
90,1255977904960.0,0.0380765050649642,99.46,0.1850327849388122,93.13,14,0.005,LAMP,VGG19,cifar10,0.85
100,1393984816960.0,0.0534570515155792,99.52,0.2308725118637085,93.02,14,0.005,LAMP,VGG19,cifar10,0.85
101,1393984816960.0,0.0606554448604583,99.48,0.2308724969625473,93.02,14,0.005,LAMP,VGG19,cifar10,0.85
-1,115079668.0,1.998580813407898,40.76,2.029100179672241,39.88,15,0.005,LAMP,VGG19,cifar10,0.85
0,13924639828.0,0.1733579337596893,98.22,0.1746389716863632,92.53,15,0.005,LAMP,VGG19,cifar10,0.85
10,152020241428.0,0.0814598277211189,98.96,0.1152669191360473,93.08,15,0.005,LAMP,VGG19,cifar10,0.85
20,290115843028.0,0.0635959953069686,98.76,0.1286604106426239,93.05,15,0.005,LAMP,VGG19,cifar10,0.85
