Epoch,training_time
0,1050.7938401699066
1,330.2742121219635
2,250.46308255195618
3,237.74090313911438
4,237.22818160057068
5,236.23199152946472
6,236.66066694259644
7,238.45181941986084
8,236.25432133674622
9,235.94384765625
10,236.31127214431763
11,237.10058546066284
12,240.34060525894165
13,235.7894263267517
14,235.94080233573914
15,235.13284945487976
16,240.35971784591675
17,235.6938669681549
18,235.93064832687378
19,235.75768971443176
20,235.80104565620422
21,235.08389258384705
22,235.92086839675903
23,244.95361876487732
24,235.69605469703674
25,235.65744733810425
26,235.50093841552734
27,238.033625125885
28,234.98971843719482
29,238.5875108242035
30,235.61401271820068
31,235.57538032531738
32,235.5764389038086
33,235.4367654323578
34,234.94303226470947
35,234.92750477790833
36,235.23782515525818
37,235.26132440567017
38,235.40984988212585
39,235.21655344963074
40,235.23258709907532
41,234.60222268104553
42,239.22554516792297
43,240.04110860824585
44,235.10028171539307
45,234.9508056640625
46,235.1366901397705
47,234.90768146514893
48,234.39624333381653
49,234.9293429851532
50,235.04324674606323
51,235.2491455078125
52,235.062992811203
53,235.04983806610107
54,234.45774269104004
55,240.84683227539062
56,236.256249666214
57,236.32062029838562
58,236.46686601638794
59,237.06991147994995
60,241.71250557899475
61,237.43460202217102
62,238.74573135375977
63,236.40554642677307
64,236.54268789291382
65,236.355619430542
66,236.5271065235138
67,236.3892321586609
68,239.9319531917572
69,236.40967082977295
70,236.2299520969391
71,236.36271929740906
72,236.32846641540527
73,236.2541787624359
74,236.50014662742615
75,237.1291971206665
76,236.2088532447815
77,236.16004920005798
78,236.0432186126709
79,236.2357575893402
80,236.29180479049683
81,236.04841256141663
82,236.14537692070007
83,236.2218291759491
84,236.04477977752686
85,236.06669807434082
86,236.51572394371033
87,241.2027006149292
88,236.30970287322998
89,236.38088750839233
90,236.3570909500122
91,236.45838379859924
92,239.29824328422546
93,239.76280641555786
94,235.9541826248169
95,235.90793895721436
96,236.41882491111755
97,236.0537130832672
98,236.14442658424377
99,236.41200995445251
