Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy,individual,sigma,Pruner,Architecture,Dataset,Pruning Rate
-1,146934732.0,0.8116440773010254,87.96,0.8386030197143555,65.49,0,0.003,LAMP,VGG19,cifar100,0.8
0,17779102572.0,0.2930121123790741,94.98,0.3585805892944336,69.87,0,0.003,LAMP,VGG19,cifar100,0.8
10,194100780972.0,0.1491838991641998,96.86,0.3213559985160827,71.18,0,0.003,LAMP,VGG19,cifar100,0.8
20,370422459372.0,0.1164522618055343,97.72,0.3392980098724365,71.2,0,0.003,LAMP,VGG19,cifar100,0.8
30,546744137772.0,0.0959595143795013,97.84,0.3250525891780853,71.47,0,0.003,LAMP,VGG19,cifar100,0.8
40,723065816172.0,0.0735716819763183,97.74,0.3866684436798095,71.49,0,0.003,LAMP,VGG19,cifar100,0.8
50,899387494572.0,0.083608791232109,98.06,0.3694761097431183,71.61,0,0.003,LAMP,VGG19,cifar100,0.8
60,1075709172972.0,0.08196821808815,98.36,0.3826756775379181,71.66,0,0.003,LAMP,VGG19,cifar100,0.8
70,1252030851372.0,0.084920234978199,98.16,0.3875972628593445,71.72,0,0.003,LAMP,VGG19,cifar100,0.8
80,1428352529772.0,0.0682624280452728,98.62,0.3892425000667572,71.97,0,0.003,LAMP,VGG19,cifar100,0.8
90,1604674208172.0,0.0756282210350036,98.82,0.4171001315116882,71.61,0,0.003,LAMP,VGG19,cifar100,0.8
100,1780995886572.0,0.0977626889944076,98.7,0.4183216094970703,71.74,0,0.003,LAMP,VGG19,cifar100,0.8
101,1780995886572.0,0.0779763609170913,98.68,0.4183216094970703,71.74,0,0.003,LAMP,VGG19,cifar100,0.8
-1,146934028.0,0.7532334923744202,89.16,0.8138084411621094,65.91,1,0.003,LAMP,VGG19,cifar100,0.8
0,17779017388.0,0.3031512200832367,94.78,0.3436570167541504,70.01,1,0.003,LAMP,VGG19,cifar100,0.8
10,194099850988.0,0.1431930363178253,96.88,0.2960277497768402,71.3,1,0.003,LAMP,VGG19,cifar100,0.8
20,370420684588.0,0.0932460874319076,97.6,0.3253124356269836,71.38,1,0.003,LAMP,VGG19,cifar100,0.8
