Name,Dense Accuracy,Pruned Fine Tuned Accuracy
/nobackup/sclaam/checkpoints/pruned/0.9/resnet50_normal_cifar10_seed_0_3_rf_level_2.pth_test_acc_93.32.pth,93.93,93.32
/nobackup/sclaam/checkpoints/pruned/0.9/resnet50_normal_cifar10_seed_0_5_rf_level_2.pth_test_acc_93.61.pth,93.86,93.61
/nobackup/sclaam/checkpoints/pruned/0.9/resnet50_normal_cifar10_seed_0_4_rf_level_2.pth_test_acc_93.73.pth,94.3,93.73
