Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy,individual,sigma,Architecture,Pruner,Dataset,Pruning Rate
-1,498455929.0,54.86697006225586,0.32,58.44900131225586,0.35,0,0.001,resnet18,GMP,imagenet,0.9
0,585187260646.0,1.5743732452392578,13.252,4.460691928863525,16.024,0,0.001,resnet18,GMP,imagenet,0.9
2,1169876065363.0,1.2661690711975098,22.21,4.379217147827148,26.158,0,0.001,resnet18,GMP,imagenet,0.9
-1,498528988.0,49.78776550292969,0.282,49.3727912902832,0.298,1,0.001,resnet18,GMP,imagenet,0.9
0,585273031912.0,1.6354659795761108,13.644,4.399291515350342,15.844,1,0.001,resnet18,GMP,imagenet,0.9
2,1170047534836.0,1.430464267730713,22.746,4.6022467613220215,26.176,1,0.001,resnet18,GMP,imagenet,0.9
-1,498597637.0,69.53052520751953,0.278,73.78916931152344,0.228,2,0.001,resnet18,GMP,imagenet,0.9
0,585353625838.0,1.6253024339675903,13.478,4.455471515655518,16.052,2,0.001,resnet18,GMP,imagenet,0.9
2,1170208654039.0,1.3341799974441528,22.376,4.464564323425293,25.99,2,0.001,resnet18,GMP,imagenet,0.9
-1,498499735.0,51.00326156616211,0.278,52.98675155639648,0.288,3,0.001,resnet18,GMP,imagenet,0.9
0,585238688890.0,1.6279467344284058,13.19,4.94835901260376,15.78,3,0.001,resnet18,GMP,imagenet,0.9
2,1169978878045.0,1.2034152746200562,22.292,4.506630420684815,25.916,3,0.001,resnet18,GMP,imagenet,0.9
-1,498467248.0,63.392822265625,0.228,66.55345153808594,0.206,4,0.001,resnet18,GMP,imagenet,0.9
0,585200549152.0,1.5472489595413208,12.836,4.339223384857178,15.182,4,0.001,resnet18,GMP,imagenet,0.9
2,1169902631056.0,1.4084500074386597,21.792,4.770169258117676,25.36,4,0.001,resnet18,GMP,imagenet,0.9
-1,498436378.0,59.977500915527344,0.266,55.182579040527344,0.302,5,0.001,resnet18,GMP,imagenet,0.9
0,585164307772.0,1.4685875177383425,12.894,4.501635551452637,15.216,5,0.001,resnet18,GMP,imagenet,0.9
2,1169830179166.0,1.4218714237213137,21.768,4.621060848236084,25.478,5,0.001,resnet18,GMP,imagenet,0.9
-1,498517816.0,48.9555549621582,0.28,50.90656661987305,0.312,6,0.001,resnet18,GMP,imagenet,0.9
0,585259915984.0,1.5903964042663574,13.27,4.873968601226807,15.846,6,0.001,resnet18,GMP,imagenet,0.9
2,1170021314152.0,1.3380330801010132,22.376,4.479292392730713,25.842,6,0.001,resnet18,GMP,imagenet,0.9
-1,498477979.0,56.88808822631836,0.274,60.74349212646485,0.284,7,0.001,resnet18,GMP,imagenet,0.9
0,585213147346.0,1.7393653392791748,13.588,4.407822608947754,16.548,7,0.001,resnet18,GMP,imagenet,0.9
2,1169927816713.0,1.3676507472991943,22.618,4.701643466949463,26.366,7,0.001,resnet18,GMP,imagenet,0.9
-1,498506350.0,52.44255447387695,0.354,54.11867141723633,0.312,8,0.001,resnet18,GMP,imagenet,0.9
0,585246454900.0,1.572559833526611,12.67,4.405444145202637,14.984,8,0.001,resnet18,GMP,imagenet,0.9
2,1169994403450.0,1.600215196609497,21.944,5.050014019012451,25.556,8,0.001,resnet18,GMP,imagenet,0.9
-1,498366553.0,74.1591796875,0.26,78.67178344726562,0.242,9,0.001,resnet18,GMP,imagenet,0.9
0,585082333222.0,1.5460978746414185,13.746,4.721839427947998,16.076,9,0.001,resnet18,GMP,imagenet,0.9
2,1169666299891.0,1.4760360717773438,22.316,4.677431106567383,25.88,9,0.001,resnet18,GMP,imagenet,0.9
