Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy,individual,sigma,Pruner,Architecture,Dataset,Pruning Rate
-1,211415792.0,1.3357417583465576,86.4,1.1565388441085815,68.13,0,0.001,LAMP,resnet18,cifar100,0.8
0,25581310832.0,0.4141189754009247,94.96,0.5163821578025818,72.74,0,0.001,LAMP,resnet18,cifar100,0.8
10,279280261232.0,0.1700708568096161,96.38,0.5260075330734253,73.97,0,0.001,LAMP,resnet18,cifar100,0.8
20,532979211632.0,0.1429461240768432,97.56,0.5664350986480713,74.28,0,0.001,LAMP,resnet18,cifar100,0.8
30,786678162032.0,0.1195168942213058,98.1,0.5346696972846985,74.69,0,0.001,LAMP,resnet18,cifar100,0.8
40,1040377112432.0,0.1137155815958976,98.12,0.554135799407959,74.62,0,0.001,LAMP,resnet18,cifar100,0.8
50,1294076062832.0,0.1175057515501976,98.42,0.5736615061759949,74.57,0,0.001,LAMP,resnet18,cifar100,0.8
60,1547775013232.0,0.1315527260303497,98.8,0.5991242527961731,74.69,0,0.001,LAMP,resnet18,cifar100,0.8
70,1801473963632.0,0.1174164712429046,98.92,0.6859474182128906,74.48,0,0.001,LAMP,resnet18,cifar100,0.8
80,2055172914032.0,0.1002610400319099,99.22,0.6201097369194031,74.75,0,0.001,LAMP,resnet18,cifar100,0.8
90,2308871864432.0,0.1156138107180595,99.34,0.6632013320922852,74.59,0,0.001,LAMP,resnet18,cifar100,0.8
100,2562570814832.0,0.0937818437814712,99.56,0.6529604196548462,74.71,0,0.001,LAMP,resnet18,cifar100,0.8
101,2562570814832.0,0.1104025021195411,99.12,0.652960479259491,74.71,0,0.001,LAMP,resnet18,cifar100,0.8
-1,211451008.0,1.4743735790252686,85.0,1.2568851709365845,67.72,1,0.001,LAMP,resnet18,cifar100,0.8
0,25585571968.0,0.4324922561645508,94.3,0.4459724426269531,72.96,1,0.001,LAMP,resnet18,cifar100,0.8
10,279326781568.0,0.189354583621025,96.44,0.4225412905216217,74.17,1,0.001,LAMP,resnet18,cifar100,0.8
20,533067991168.0,0.1704496294260025,97.28,0.5213755965232849,74.33,1,0.001,LAMP,resnet18,cifar100,0.8
30,786809200768.0,0.1272279322147369,97.96,0.5126476883888245,74.34,1,0.001,LAMP,resnet18,cifar100,0.8
40,1040550410368.0,0.1141619756817817,98.26,0.5089731216430664,74.67,1,0.001,LAMP,resnet18,cifar100,0.8
50,1294291619968.0,0.1211100220680236,98.64,0.5476549863815308,74.5,1,0.001,LAMP,resnet18,cifar100,0.8
60,1548032829568.0,0.1175020262598991,98.82,0.5454714894294739,74.63,1,0.001,LAMP,resnet18,cifar100,0.8
70,1801774039168.0,0.1089661791920661,99.06,0.5533186197280884,74.64,1,0.001,LAMP,resnet18,cifar100,0.8
80,2055515248768.0,0.0909160375595092,99.28,0.569743275642395,74.26,1,0.001,LAMP,resnet18,cifar100,0.8
90,2309256458368.0,0.118431806564331,99.4,0.5651508569717407,74.5,1,0.001,LAMP,resnet18,cifar100,0.8
100,2562997667968.0,0.0893252715468406,99.4,0.6193292140960693,74.52,1,0.001,LAMP,resnet18,cifar100,0.8
101,2562997667968.0,0.0995281115174293,99.42,0.6193291544914246,74.52,1,0.001,LAMP,resnet18,cifar100,0.8
-1,211507120.0,1.521869659423828,83.38,1.318080186843872,67.09,2,0.001,LAMP,resnet18,cifar100,0.8
0,25592361520.0,0.4112609028816223,93.9,0.4471749365329742,72.99,2,0.001,LAMP,resnet18,cifar100,0.8
10,279400905520.0,0.1439541727304458,96.32,0.4680496752262115,74.37,2,0.001,LAMP,resnet18,cifar100,0.8
20,533209449520.0,0.1556547582149505,97.48,0.4768441915512085,74.51,2,0.001,LAMP,resnet18,cifar100,0.8
30,787017993520.0,0.1503193080425262,97.96,0.5843767523765564,74.29,2,0.001,LAMP,resnet18,cifar100,0.8
40,1040826537520.0,0.1409674435853958,98.2,0.5764082074165344,74.26,2,0.001,LAMP,resnet18,cifar100,0.8
50,1294635081520.0,0.0966823324561119,98.46,0.6475036144256592,74.27,2,0.001,LAMP,resnet18,cifar100,0.8
60,1548443625520.0,0.1095075160264968,98.74,0.6290132999420166,74.28,2,0.001,LAMP,resnet18,cifar100,0.8
70,1802252169520.0,0.1050289198756218,99.1,0.6770860552787781,74.11,2,0.001,LAMP,resnet18,cifar100,0.8
80,2056060713520.0,0.0868804529309272,99.12,0.6852296590805054,74.32,2,0.001,LAMP,resnet18,cifar100,0.8
90,2309869257520.0,0.116792194545269,99.16,0.7020397186279297,74.21,2,0.001,LAMP,resnet18,cifar100,0.8
100,2563677801520.0,0.0892359092831611,99.44,0.6580566763877869,74.21,2,0.001,LAMP,resnet18,cifar100,0.8
101,2563677801520.0,0.0868172422051429,99.4,0.6580566763877869,74.21,2,0.001,LAMP,resnet18,cifar100,0.8
-1,211540528.0,1.3565537929534912,85.36,1.1826070547103882,67.95,3,0.001,LAMP,resnet18,cifar100,0.8
0,25596403888.0,0.412615031003952,93.9,0.519019365310669,72.83,3,0.001,LAMP,resnet18,cifar100,0.8
10,279445037488.0,0.1708676964044571,96.28,0.4304600358009338,74.24,3,0.001,LAMP,resnet18,cifar100,0.8
20,533293671088.0,0.1512653678655624,96.98,0.4564428329467773,74.28,3,0.001,LAMP,resnet18,cifar100,0.8
30,787142304688.0,0.1292338520288467,98.12,0.5005370378494263,74.63,3,0.001,LAMP,resnet18,cifar100,0.8
40,1040990938288.0,0.1306667774915695,98.26,0.572519063949585,74.6,3,0.001,LAMP,resnet18,cifar100,0.8
50,1294839571888.0,0.1228625550866127,98.66,0.5826289057731628,74.48,3,0.001,LAMP,resnet18,cifar100,0.8
60,1548688205488.0,0.1162785962224006,98.56,0.5731363296508789,74.54,3,0.001,LAMP,resnet18,cifar100,0.8
70,1802536839088.0,0.11154405772686,98.9,0.6743883490562439,74.51,3,0.001,LAMP,resnet18,cifar100,0.8
80,2056385472688.0,0.1000547260046005,98.94,0.6272304654121399,74.66,3,0.001,LAMP,resnet18,cifar100,0.8
90,2310234106288.0,0.0945762768387794,99.36,0.6387752890586853,74.71,3,0.001,LAMP,resnet18,cifar100,0.8
100,2564082739888.0,0.0903691947460174,99.54,0.6838430166244507,74.49,3,0.001,LAMP,resnet18,cifar100,0.8
101,2564082739888.0,0.0862438455224037,99.32,0.6838430166244507,74.49,3,0.001,LAMP,resnet18,cifar100,0.8
-1,211471408.0,1.299864649772644,85.9,1.128109097480774,68.26,4,0.001,LAMP,resnet18,cifar100,0.8
0,25588040368.0,0.4419291019439697,94.06,0.446412444114685,72.96,4,0.001,LAMP,resnet18,cifar100,0.8
10,279353729968.0,0.1523316204547882,96.5,0.4560166001319885,74.17,4,0.001,LAMP,resnet18,cifar100,0.8
20,533119419568.0,0.1490569114685058,97.38,0.4679304361343384,74.39,4,0.001,LAMP,resnet18,cifar100,0.8
30,786885109168.0,0.1089284941554069,97.82,0.4967682063579559,74.55,4,0.001,LAMP,resnet18,cifar100,0.8
40,1040650798768.0,0.1595343500375747,98.3,0.509319007396698,74.57,4,0.001,LAMP,resnet18,cifar100,0.8
50,1294416488368.0,0.1195131540298461,98.88,0.5785018801689148,74.55,4,0.001,LAMP,resnet18,cifar100,0.8
60,1548182177968.0,0.1380893141031265,98.92,0.5622572898864746,74.74,4,0.001,LAMP,resnet18,cifar100,0.8
70,1801947867568.0,0.1147973239421844,99.12,0.544628381729126,74.57,4,0.001,LAMP,resnet18,cifar100,0.8
80,2055713557168.0,0.1166691035032272,99.04,0.5796990394592285,74.46,4,0.001,LAMP,resnet18,cifar100,0.8
90,2309479246768.0,0.1057642996311187,99.18,0.5842382907867432,74.55,4,0.001,LAMP,resnet18,cifar100,0.8
100,2563244936368.0,0.0856997817754745,99.42,0.6111212968826294,74.51,4,0.001,LAMP,resnet18,cifar100,0.8
101,2563244936368.0,0.0967895165085792,99.34,0.6111212968826294,74.51,4,0.001,LAMP,resnet18,cifar100,0.8
-1,211508848.0,1.3499548435211182,85.06,1.1511201858520508,68.04,5,0.001,LAMP,resnet18,cifar100,0.8
0,25592570608.0,0.4536924362182617,94.82,0.5133427977561951,72.7,5,0.001,LAMP,resnet18,cifar100,0.8
10,279403188208.0,0.1835277080535888,96.88,0.4402984976768493,74.22,5,0.001,LAMP,resnet18,cifar100,0.8
20,533213805808.0,0.1456399857997894,97.22,0.4462558329105377,74.43,5,0.001,LAMP,resnet18,cifar100,0.8
30,787024423408.0,0.1362459808588028,97.84,0.5066391825675964,74.52,5,0.001,LAMP,resnet18,cifar100,0.8
40,1040835041008.0,0.1305555999279022,98.38,0.532925009727478,74.65,5,0.001,LAMP,resnet18,cifar100,0.8
50,1294645658608.0,0.11837700009346,98.54,0.5221148729324341,74.72,5,0.001,LAMP,resnet18,cifar100,0.8
60,1548456276208.0,0.1054577380418777,99.04,0.6009407043457031,74.53,5,0.001,LAMP,resnet18,cifar100,0.8
70,1802266893808.0,0.0972343683242797,98.98,0.58512943983078,74.89,5,0.001,LAMP,resnet18,cifar100,0.8
80,2056077511408.0,0.122548259794712,99.1,0.5946885943412781,74.7,5,0.001,LAMP,resnet18,cifar100,0.8
90,2309888129008.0,0.0934024676680564,99.12,0.5958607792854309,74.69,5,0.001,LAMP,resnet18,cifar100,0.8
100,2563698746608.0,0.1046147122979164,99.32,0.6196351051330566,74.55,5,0.001,LAMP,resnet18,cifar100,0.8
101,2563698746608.0,0.1080414280295372,99.34,0.6196351647377014,74.55,5,0.001,LAMP,resnet18,cifar100,0.8
-1,211398784.0,1.2398500442504885,87.12,1.0095093250274658,68.7,6,0.001,LAMP,resnet18,cifar100,0.8
0,25579252864.0,0.4315949082374573,94.4,0.4943835735321045,72.9,6,0.001,LAMP,resnet18,cifar100,0.8
10,279257793664.0,0.1605589687824249,96.4,0.4204124808311462,73.97,6,0.001,LAMP,resnet18,cifar100,0.8
20,532936334464.0,0.1689278334379196,97.3,0.4231190383434295,74.55,6,0.001,LAMP,resnet18,cifar100,0.8
30,786614875264.0,0.1254705786705017,97.82,0.516721785068512,74.38,6,0.001,LAMP,resnet18,cifar100,0.8
40,1040293416064.0,0.1098575592041015,98.26,0.5510805249214172,74.33,6,0.001,LAMP,resnet18,cifar100,0.8
50,1293971956864.0,0.1060351878404617,98.62,0.5414448380470276,74.43,6,0.001,LAMP,resnet18,cifar100,0.8
60,1547650497664.0,0.1238129585981369,98.72,0.5700899958610535,74.4,6,0.001,LAMP,resnet18,cifar100,0.8
70,1801329038464.0,0.1044930219650268,99.1,0.5942289233207703,74.4,6,0.001,LAMP,resnet18,cifar100,0.8
80,2055007579264.0,0.1034102588891983,99.26,0.6017395853996277,74.41,6,0.001,LAMP,resnet18,cifar100,0.8
90,2308686120064.0,0.1008222252130508,99.36,0.6227321624755859,74.35,6,0.001,LAMP,resnet18,cifar100,0.8
100,2562364660864.0,0.1336553245782852,99.44,0.6391122937202454,74.32,6,0.001,LAMP,resnet18,cifar100,0.8
