Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy,individual,sigma,Pruner,Architecture,Dataset,Pruning Rate
40,2452327675616.0,0.1389421373605728,94.7,0.4124771952629089,73.54,3,0.005,LAMP,resnet50,cifar100,0.8
50,3050334830816.0,0.1362278312444687,95.74,0.4192066788673401,73.67,3,0.005,LAMP,resnet50,cifar100,0.8
60,3648341986016.0,0.1443455219268798,96.22,0.4444600939750671,73.81,3,0.005,LAMP,resnet50,cifar100,0.8
70,4246349141216.0,0.1180901378393173,96.7,0.4519816935062408,73.86,3,0.005,LAMP,resnet50,cifar100,0.8
80,4844356296416.0,0.1596249043941497,97.16,0.4238905012607574,73.81,3,0.005,LAMP,resnet50,cifar100,0.8
90,5442363451616.0,0.1417186558246612,97.64,0.5056143999099731,73.75,3,0.005,LAMP,resnet50,cifar100,0.8
100,6040370606816.0,0.1165357679128646,98.26,0.4831337928771972,73.93,3,0.005,LAMP,resnet50,cifar100,0.8
101,6040370606816.0,0.1286438256502151,98.08,0.4831337630748749,73.93,3,0.005,LAMP,resnet50,cifar100,0.8
-1,498385888.0,2.0854341983795166,39.58,1.9022408723831177,39.16,4,0.005,LAMP,resnet50,cifar100,0.8
0,60304692448.0,0.7090345621109009,79.22,0.6441189646720886,65.78,4,0.005,LAMP,resnet50,cifar100,0.8
10,658367758048.0,0.2402191013097763,88.42,0.4009740650653839,71.1,4,0.005,LAMP,resnet50,cifar100,0.8
20,1256430823648.0,0.1774575561285019,91.38,0.4433418810367584,72.22,4,0.005,LAMP,resnet50,cifar100,0.8
30,1854493889248.0,0.155042752623558,93.76,0.4317010641098022,72.97,4,0.005,LAMP,resnet50,cifar100,0.8
40,2452556954848.0,0.1648552864789962,94.64,0.4922122657299042,73.04,4,0.005,LAMP,resnet50,cifar100,0.8
50,3050620020448.0,0.1384858638048172,94.82,0.4945504069328308,73.41,4,0.005,LAMP,resnet50,cifar100,0.8
60,3648683086048.0,0.1423670649528503,96.14,0.4929505884647369,73.67,4,0.005,LAMP,resnet50,cifar100,0.8
70,4246746151648.0,0.1445564180612564,96.62,0.5326496362686157,73.45,4,0.005,LAMP,resnet50,cifar100,0.8
80,4844809217248.0,0.1308278143405914,97.02,0.5309582352638245,73.9,4,0.005,LAMP,resnet50,cifar100,0.8
90,5442872282848.0,0.1239831447601318,97.3,0.5514801740646362,73.89,4,0.005,LAMP,resnet50,cifar100,0.8
100,6040935348448.0,0.1289980709552765,97.54,0.5693141222000122,73.87,4,0.005,LAMP,resnet50,cifar100,0.8
101,6040935348448.0,0.136940598487854,97.94,0.5693141222000122,73.87,4,0.005,LAMP,resnet50,cifar100,0.8
-1,498387440.0,1.8569815158843996,45.08,1.7413558959960938,43.02,5,0.005,LAMP,resnet50,cifar100,0.8
0,60304880240.0,0.7568585872650146,78.72,0.6878166198730469,65.39,5,0.005,LAMP,resnet50,cifar100,0.8
10,658369808240.0,0.2056306600570678,88.64,0.3720048367977142,70.75,5,0.005,LAMP,resnet50,cifar100,0.8
20,1256434736240.0,0.1908266693353653,91.62,0.4012702703475952,72.03,5,0.005,LAMP,resnet50,cifar100,0.8
30,1854499664240.0,0.1497447192668914,93.98,0.4405069351196289,72.61,5,0.005,LAMP,resnet50,cifar100,0.8
40,2452564592240.0,0.1206000670790672,94.68,0.4179025888442993,73.14,5,0.005,LAMP,resnet50,cifar100,0.8
50,3050629520240.0,0.1616202890872955,94.82,0.4987369775772095,73.29,5,0.005,LAMP,resnet50,cifar100,0.8
60,3648694448240.0,0.1301147490739822,96.5,0.4633393883705139,73.41,5,0.005,LAMP,resnet50,cifar100,0.8
70,4246759376240.0,0.1567282080650329,96.58,0.4868340790271759,73.84,5,0.005,LAMP,resnet50,cifar100,0.8
80,4844824304240.0,0.1326192021369934,96.94,0.5552827715873718,73.87,5,0.005,LAMP,resnet50,cifar100,0.8
90,5442889232240.0,0.1201602518558502,97.38,0.5458113551139832,73.87,5,0.005,LAMP,resnet50,cifar100,0.8
100,6040954160240.0,0.1181308403611183,97.78,0.5826976299285889,73.74,5,0.005,LAMP,resnet50,cifar100,0.8
101,6040954160240.0,0.13001549243927,97.64,0.5826976299285889,73.74,5,0.005,LAMP,resnet50,cifar100,0.8
-1,498396112.0,2.124450445175171,43.06,1.9392098188400269,42.57,6,0.005,LAMP,resnet50,cifar100,0.8
0,60305929552.0,0.7024733424186707,78.12,0.6615599989891052,64.96,6,0.005,LAMP,resnet50,cifar100,0.8
10,658381263952.0,0.1950087547302246,88.42,0.4477556645870209,71.01,6,0.005,LAMP,resnet50,cifar100,0.8
20,1256456598352.0,0.1743386834859848,91.14,0.421487808227539,72.34,6,0.005,LAMP,resnet50,cifar100,0.8
30,1854531932752.0,0.1799141615629196,92.66,0.4858852028846741,72.95,6,0.005,LAMP,resnet50,cifar100,0.8
40,2452607267152.0,0.1632547974586486,94.22,0.4985295236110687,73.36,6,0.005,LAMP,resnet50,cifar100,0.8
50,3050682601552.0,0.1574878245592117,95.0,0.4728312492370605,73.73,6,0.005,LAMP,resnet50,cifar100,0.8
60,3648757935952.0,0.1517202705144882,95.9,0.4492034018039703,73.95,6,0.005,LAMP,resnet50,cifar100,0.8
70,4246833270352.0,0.1557080000638961,96.62,0.4775670170783996,74.18,6,0.005,LAMP,resnet50,cifar100,0.8
80,4844908604752.0,0.1391104608774185,97.34,0.4822739660739898,74.13,6,0.005,LAMP,resnet50,cifar100,0.8
90,5442983939152.0,0.1670117229223251,97.24,0.4958116412162781,74.09,6,0.005,LAMP,resnet50,cifar100,0.8
100,6041059273552.0,0.1150616481900215,97.82,0.5607455372810364,73.9,6,0.005,LAMP,resnet50,cifar100,0.8
101,6041059273552.0,0.1488355100154876,98.12,0.5607455372810364,73.9,6,0.005,LAMP,resnet50,cifar100,0.8
-1,498472624.0,1.85775363445282,44.1,1.7143077850341797,43.24,7,0.005,LAMP,resnet50,cifar100,0.8
0,60315187504.0,0.7386521100997925,79.14,0.6020318269729614,65.9,7,0.005,LAMP,resnet50,cifar100,0.8
10,658482336304.0,0.2100464701652526,88.58,0.3720954954624176,71.03,7,0.005,LAMP,resnet50,cifar100,0.8
20,1256649485104.0,0.2032063901424408,91.62,0.3705107569694519,72.33,7,0.005,LAMP,resnet50,cifar100,0.8
30,1854816633904.0,0.1527963131666183,93.02,0.4392609000205993,72.72,7,0.005,LAMP,resnet50,cifar100,0.8
40,2452983782704.0,0.1396492272615432,93.96,0.4425121545791626,73.15,7,0.005,LAMP,resnet50,cifar100,0.8
50,3051150931504.0,0.1586473286151886,95.28,0.4534963965415954,73.21,7,0.005,LAMP,resnet50,cifar100,0.8
60,3649318080304.0,0.1210275292396545,95.76,0.4700945615768432,73.61,7,0.005,LAMP,resnet50,cifar100,0.8
70,4247485229104.0,0.1456006914377212,96.58,0.5026772618293762,73.55,7,0.005,LAMP,resnet50,cifar100,0.8
80,4845652377904.0,0.138961061835289,97.14,0.5437445044517517,73.77,7,0.005,LAMP,resnet50,cifar100,0.8
90,5443819526704.0,0.1430847197771072,97.66,0.5454775094985962,73.79,7,0.005,LAMP,resnet50,cifar100,0.8
100,6041986675504.0,0.1130250319838523,97.66,0.5294719338417053,73.74,7,0.005,LAMP,resnet50,cifar100,0.8
101,6041986675504.0,0.1084246262907981,97.96,0.5294718742370605,73.74,7,0.005,LAMP,resnet50,cifar100,0.8
-1,498814672.0,2.0384750366210938,45.86,1.816664218902588,45.42,8,0.005,LAMP,resnet50,cifar100,0.8
0,60356575312.0,0.7526271939277649,79.78,0.6183399558067322,65.45,8,0.005,LAMP,resnet50,cifar100,0.8
10,658934181712.0,0.2020350843667984,88.88,0.3547128736972809,70.98,8,0.005,LAMP,resnet50,cifar100,0.8
20,1257511788112.0,0.1710184663534164,92.28,0.372386634349823,72.16,8,0.005,LAMP,resnet50,cifar100,0.8
30,1856089394512.0,0.1626157909631729,93.28,0.4312717914581299,72.65,8,0.005,LAMP,resnet50,cifar100,0.8
40,2454667000912.0,0.1480499356985092,94.56,0.4617015421390533,73.08,8,0.005,LAMP,resnet50,cifar100,0.8
50,3053244607312.0,0.1274517476558685,95.54,0.4340349435806274,73.35,8,0.005,LAMP,resnet50,cifar100,0.8
60,3651822213712.0,0.1212198659777641,95.66,0.477303147315979,73.57,8,0.005,LAMP,resnet50,cifar100,0.8
70,4250399820112.0,0.1538124084472656,96.98,0.5785731077194214,73.59,8,0.005,LAMP,resnet50,cifar100,0.8
80,4848977426512.0,0.1244616582989692,97.12,0.535571277141571,73.76,8,0.005,LAMP,resnet50,cifar100,0.8
90,5447555032912.0,0.1321635097265243,97.18,0.5476486682891846,73.89,8,0.005,LAMP,resnet50,cifar100,0.8
100,6046132639312.0,0.1196270063519477,97.92,0.5236037969589233,73.99,8,0.005,LAMP,resnet50,cifar100,0.8
101,6046132639312.0,0.1260533630847931,98.0,0.5236037969589233,73.99,8,0.005,LAMP,resnet50,cifar100,0.8
-1,498445264.0,2.585617780685425,35.74,2.285562038421631,36.01,9,0.005,LAMP,resnet50,cifar100,0.8
