Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy,individual,sigma,Architecture,Pruner,Dataset,Pruning Rate
-1,90238572.0,5.17978572845459,1.16,5.218161582946777,1.0,0,0.001,VGG19,GMP,cifar100,0.95
0,10918867212.0,2.2225170135498047,1.16,2.244014263153076,1.0,0,0.001,VGG19,GMP,cifar100,0.95
10,119205153612.0,0.3962778747081756,1.08,0.4365518689155578,1.0,0,0.001,VGG19,GMP,cifar100,0.95
20,227491440012.0,0.160239890217781,1.36,0.2881669998168945,1.0,0,0.001,VGG19,GMP,cifar100,0.95
30,335777726412.0,0.083733320236206,1.36,0.2739568948745727,1.0,0,0.001,VGG19,GMP,cifar100,0.95
40,444064012812.0,0.0510089918971061,1.36,0.2685412764549255,1.0,0,0.001,VGG19,GMP,cifar100,0.95
50,552350299212.0,0.0335152335464954,1.36,0.2688628435134887,1.0,0,0.001,VGG19,GMP,cifar100,0.95
60,660636585612.0,0.0323082134127616,1.36,0.2679661214351654,1.0,0,0.001,VGG19,GMP,cifar100,0.95
70,768922872012.0,0.0311396848410367,1.36,0.2617233693599701,1.0,0,0.001,VGG19,GMP,cifar100,0.95
80,877209158412.0,0.0324962548911571,1.46,0.2613410949707031,1.1,0,0.001,VGG19,GMP,cifar100,0.95
90,985495444812.0,0.02915545925498,1.36,0.265852689743042,1.02,0,0.001,VGG19,GMP,cifar100,0.95
100,1093781731212.0,0.0290224626660347,1.36,0.2620674967765808,1.0,0,0.001,VGG19,GMP,cifar100,0.95
101,1093781731212.0,0.0290219634771347,1.36,0.2620674967765808,1.0,0,0.001,VGG19,GMP,cifar100,0.95
-1,90233508.0,5.32900857925415,1.08,5.383144855499268,1.0,1,0.001,VGG19,GMP,cifar100,0.95
0,10918254468.0,2.2461049556732178,1.08,2.25616455078125,1.0,1,0.001,VGG19,GMP,cifar100,0.95
10,119198464068.0,0.4052308797836303,1.26,0.4363422393798828,1.0,1,0.001,VGG19,GMP,cifar100,0.95
20,227478673668.0,0.1656447947025299,1.26,0.2954577803611755,1.0,1,0.001,VGG19,GMP,cifar100,0.95
30,335758883268.0,0.0913432836532592,1.26,0.2900937795639038,1.0,1,0.001,VGG19,GMP,cifar100,0.95
40,444039092868.0,0.053547378629446,1.36,0.2913610637187958,1.0,1,0.001,VGG19,GMP,cifar100,0.95
50,552319302468.0,0.0324883125722408,1.36,0.2908685505390167,1.0,1,0.001,VGG19,GMP,cifar100,0.95
60,660599512068.0,0.03126972168684,1.36,0.2881432473659515,1.0,1,0.001,VGG19,GMP,cifar100,0.95
