Name,Dense Accuracy,Pruned Fine Tuned Accuracy
/nobackup/sclaam/checkpoints/pruned/0.9/vgg19_normal_cifar10_seed_3_rf_level_3__test_acc_88.2.pth,88.18,88.2
/nobackup/sclaam/checkpoints/pruned/0.9/vgg19_normal_cifar10_seed_2_rf_level_3__test_acc_87.75.pth,87.7,87.75
/nobackup/sclaam/checkpoints/pruned/0.9/vgg19_normal_cifar10_seed_4_rf_level_3__test_acc_87.75.pth,87.81,87.75
/nobackup/sclaam/checkpoints/pruned/0.9/vgg19_normal_cifar10_seed_1_rf_level_3__test_acc_87.91.pth,87.95,87.91
/nobackup/sclaam/checkpoints/pruned/0.9/vgg19_normal_cifar10_seed_0_rf_level_3__test_acc_87.62.pth,87.75,87.62
