Name,Dense Accuracy,Pruned Fine Tuned Accuracy,Fine-tuning Best Epoch
/nobackup/sclaam/checkpoints/pruned/0.9/vgg19_normal_tiny_imagenet_seed_1_rf_level_3__test_acc_38.81.pth,42.51,38.81,51
/nobackup/sclaam/checkpoints/pruned/0.9/vgg19_normal_tiny_imagenet_seed_4_rf_level_3__test_acc_39.63.pth,42.99,39.63,9
/nobackup/sclaam/checkpoints/pruned/0.9/vgg19_normal_tiny_imagenet_seed_2_rf_level_3__test_acc_35.08.pth,38.69,35.08,120
/nobackup/sclaam/checkpoints/pruned/0.9/vgg19_normal_tiny_imagenet_seed_3_rf_level_3__test_acc_35.97.pth,39.37,35.97,70
/nobackup/sclaam/checkpoints/pruned/0.9/vgg19_normal_tiny_imagenet_seed_0_rf_level_3__test_acc_37.99.pth,41.69,37.99,54
