Epoch,sparse_flops,val_set_gradient_magnintude,val_set_Hg_magnitude,val_accuracy,test_set_gradient_magnitude,test_set_Hg_magnitude,test_accuracy,individual,sigma,Architecture,Pruner,Dataset,Pruning Rate
-1,114640048.0,0.454829603433609,1.0147488183065434e-06,82.26,0.4511841237545013,1.1602656968534577e-06,81.59,0,0.005,resnet18,GMP,cifar10,0.9
0,3553841488.0,0.4318692088127136,1.0876179885599413e-06,84.8,0.4299669563770294,1.1055486766053946e-06,83.7,0,0.005,resnet18,GMP,cifar10,0.9
10,37945855888.0,0.2481563985347747,5.837151775267557e-07,95.7,0.2583997547626495,6.838682793386397e-07,91.1,0,0.005,resnet18,GMP,cifar10,0.9
20,72337870288.0,0.2365027070045471,6.097520781622734e-07,95.64,0.2466335296630859,6.798687763875932e-07,91.13,0,0.005,resnet18,GMP,cifar10,0.9
30,106729884688.0,0.2208007127046585,7.364299676737573e-07,95.6,0.2310367971658706,7.217294069050695e-07,91.13,0,0.005,resnet18,GMP,cifar10,0.9
40,141121899088.0,0.1922840178012848,9.04514593003114e-07,94.94,0.2030786722898483,9.208129085891414e-07,90.98,0,0.005,resnet18,GMP,cifar10,0.9
50,175513913488.0,0.1698526591062545,1.360608052891621e-06,94.64,0.1796256899833679,1.3315980140760075e-06,90.68,0,0.005,resnet18,GMP,cifar10,0.9
60,209905927888.0,0.167570412158966,1.2663555253311642e-06,94.9,0.175024926662445,1.4092582887315077e-06,90.68,0,0.005,resnet18,GMP,cifar10,0.9
70,244297942288.0,0.1612501591444015,1.925223159560119e-06,94.9,0.1695108115673065,1.5815151073184095e-06,90.62,0,0.005,resnet18,GMP,cifar10,0.9
80,278689956688.0,0.1354930400848388,1.975979103008285e-06,94.84,0.1558049321174621,2.3371078441414284e-06,90.53,0,0.005,resnet18,GMP,cifar10,0.9
90,313081971088.0,0.1187083274126052,3.304658548586304e-06,94.64,0.1421948373317718,3.324283852634835e-06,90.55,0,0.005,resnet18,GMP,cifar10,0.9
-1,114435136.0,0.4811294972896576,1.3024964573560285e-06,81.3,0.4640800654888153,1.5165785498538753e-06,80.32,1,0.005,resnet18,GMP,cifar10,0.9
0,3547489216.0,0.4563892185688019,1.194404148918693e-06,84.22,0.4348208904266357,1.3590597518486902e-06,82.58,1,0.005,resnet18,GMP,cifar10,0.9
10,37878030016.0,0.2374108731746673,5.745044973082258e-07,95.5,0.2320600599050521,5.626557140203658e-07,91.32,1,0.005,resnet18,GMP,cifar10,0.9
20,72208570816.0,0.225071981549263,4.512747295848385e-07,95.64,0.223800390958786,5.414772203948814e-07,91.4,1,0.005,resnet18,GMP,cifar10,0.9
30,106539111616.0,0.2169552147388458,7.461854920620681e-07,95.68,0.2145200818777084,5.486105578711431e-07,91.35,1,0.005,resnet18,GMP,cifar10,0.9
40,140869652416.0,0.1945364475250244,9.050867788573668e-07,95.22,0.1964382976293563,7.387134246528149e-07,90.91,1,0.005,resnet18,GMP,cifar10,0.9
50,175200193216.0,0.1775950044393539,1.137463073064282e-06,94.84,0.1775268316268921,1.0459734767209738e-06,90.59,1,0.005,resnet18,GMP,cifar10,0.9
60,209530734016.0,0.172425627708435,1.292223259952152e-06,95.3,0.1742435693740844,1.1196757441211955e-06,90.57,1,0.005,resnet18,GMP,cifar10,0.9
70,243861274816.0,0.1691231876611709,1.1531300287970223e-06,94.68,0.1683229058980941,1.2446764685591916e-06,90.55,1,0.005,resnet18,GMP,cifar10,0.9
80,278191815616.0,0.1442741155624389,1.8406267372483851e-06,94.4,0.1462491154670715,1.875147859209392e-06,90.43,1,0.005,resnet18,GMP,cifar10,0.9
90,312522356416.0,0.1274556964635849,2.229660594821325e-06,94.68,0.1275389790534973,2.4907017177611124e-06,90.44,1,0.005,resnet18,GMP,cifar10,0.9
-1,114725344.0,0.4865566790103912,8.639199222670868e-07,77.38,0.4674164354801178,9.634553634896292e-07,76.82,2,0.005,resnet18,GMP,cifar10,0.9
0,3556485664.0,0.4625483453273773,8.71385452683171e-07,80.44,0.4423561990261078,9.217711749442968e-07,79.65,2,0.005,resnet18,GMP,cifar10,0.9
10,37974088864.0,0.2424190193414688,4.6409417109316564e-07,94.92,0.2442248612642288,5.451893230201676e-07,91.08,2,0.005,resnet18,GMP,cifar10,0.9
20,72391692064.0,0.2302383780479431,4.632309753560549e-07,95.12,0.2336936295032501,5.39290510914725e-07,91.08,2,0.005,resnet18,GMP,cifar10,0.9
30,106809295264.0,0.2129519283771515,5.350942160475824e-07,94.68,0.2219654619693756,5.435253456198552e-07,91.2,2,0.005,resnet18,GMP,cifar10,0.9
40,141226898464.0,0.1895346492528915,7.78678781898634e-07,94.62,0.1991022229194641,7.908396355560399e-07,90.77,2,0.005,resnet18,GMP,cifar10,0.9
50,175644501664.0,0.1703742891550064,1.0674269788069068e-06,94.36,0.1822723299264907,1.2703073934972051e-06,90.64,2,0.005,resnet18,GMP,cifar10,0.9
60,210062104864.0,0.16781647503376,1.2693627695625764e-06,94.28,0.1787422746419906,1.3876735920348438e-06,90.66,2,0.005,resnet18,GMP,cifar10,0.9
70,244479708064.0,0.160998597741127,1.3965283187644673e-06,94.38,0.1720038503408432,1.567639060340298e-06,90.61,2,0.005,resnet18,GMP,cifar10,0.9
80,278897311264.0,0.1408685147762298,2.728300160015351e-06,94.32,0.1668199598789215,2.4926707737904508e-06,90.55,2,0.005,resnet18,GMP,cifar10,0.9
90,313314914464.0,0.1208018139004707,2.610718638607068e-06,94.54,0.1438738107681274,3.389825906197075e-06,90.53,2,0.005,resnet18,GMP,cifar10,0.9
-1,114661696.0,0.5414716005325317,1.3679565427082707e-06,77.68,0.5072625875473022,1.3707192465517435e-06,78.01,3,0.005,resnet18,GMP,cifar10,0.9
0,3554512576.0,0.494597852230072,1.0331541488994844e-06,81.94,0.4637692272663116,1.2131199582654515e-06,81.14,3,0.005,resnet18,GMP,cifar10,0.9
10,37953021376.0,0.249238446354866,7.018448968665325e-07,95.78,0.2518150210380554,6.731286816830107e-07,90.92,3,0.005,resnet18,GMP,cifar10,0.9
20,72351530176.0,0.2376645654439926,4.979648338121478e-07,95.4,0.2403227537870407,6.739206810379983e-07,90.95,3,0.005,resnet18,GMP,cifar10,0.9
30,106750038976.0,0.2195402979850769,4.799688895218424e-07,95.72,0.2262799888849258,6.619575856348092e-07,90.89,3,0.005,resnet18,GMP,cifar10,0.9
40,141148547776.0,0.1901689022779464,6.003347721161845e-07,95.72,0.1967784762382507,8.573871355110896e-07,90.81,3,0.005,resnet18,GMP,cifar10,0.9
50,175547056576.0,0.173135370016098,1.131672206611256e-06,95.36,0.1772904247045517,1.3123211601850926e-06,90.73,3,0.005,resnet18,GMP,cifar10,0.9
60,209945565376.0,0.1651821136474609,1.0159150178878915e-06,94.72,0.1738921850919723,1.4020731669006636e-06,90.74,3,0.005,resnet18,GMP,cifar10,0.9
70,244344074176.0,0.1618366986513137,1.2430907645466505e-06,94.92,0.1653961539268493,1.5891564544290304e-06,90.77,3,0.005,resnet18,GMP,cifar10,0.9
80,278742582976.0,0.1379835754632949,1.8421128515910825e-06,94.94,0.1473491638898849,2.474118673490011e-06,90.77,3,0.005,resnet18,GMP,cifar10,0.9
90,313141091776.0,0.1176179274916648,2.6245829758408945e-06,94.86,0.1348132938146591,3.5692523852048907e-06,90.75,3,0.005,resnet18,GMP,cifar10,0.9
-1,114758656.0,0.4685769081115722,7.778024837534758e-07,80.9,0.4406283497810364,8.982215717878717e-07,80.27,4,0.005,resnet18,GMP,cifar10,0.9
0,3557518336.0,0.4315012991428375,7.826798196219897e-07,84.72,0.4100008606910705,8.479551070195157e-07,83.0,4,0.005,resnet18,GMP,cifar10,0.9
10,37985115136.0,0.2419728338718414,5.085428256279556e-07,94.68,0.2367469668388366,5.902242037336691e-07,90.97,4,0.005,resnet18,GMP,cifar10,0.9
20,72412711936.0,0.2295921444892883,5.641194320560317e-07,95.38,0.2294309288263321,5.910019922339416e-07,91.02,4,0.005,resnet18,GMP,cifar10,0.9
30,106840308736.0,0.214224025607109,6.77249090585974e-07,95.18,0.2194412648677826,6.169999551275396e-07,91.05,4,0.005,resnet18,GMP,cifar10,0.9
40,141267905536.0,0.1915067285299301,6.438376658479683e-07,94.76,0.1952845305204391,8.958223247645947e-07,90.73,4,0.005,resnet18,GMP,cifar10,0.9
50,175695502336.0,0.1687474101781845,1.08123060726939e-06,94.26,0.1734755784273147,1.2714021977444645e-06,90.65,4,0.005,resnet18,GMP,cifar10,0.9
60,210123099136.0,0.1617491096258163,1.1052210311390809e-06,94.96,0.1704373657703399,1.3580934137280565e-06,90.63,4,0.005,resnet18,GMP,cifar10,0.9
70,244550695936.0,0.15689118206501,1.3910523648519302e-06,94.26,0.1654906272888183,1.521984813734889e-06,90.65,4,0.005,resnet18,GMP,cifar10,0.9
80,278978292736.0,0.1337937712669372,2.3472123302781256e-06,94.48,0.1465853154659271,2.314549419679679e-06,90.48,4,0.005,resnet18,GMP,cifar10,0.9
90,313405889536.0,0.1156423017382621,2.534577106416691e-06,94.54,0.1403297036886215,3.1883544124866603e-06,90.52,4,0.005,resnet18,GMP,cifar10,0.9
-1,114455104.0,0.4473181366920471,8.78443131568929e-07,83.3,0.4382433891296386,9.923409152179374e-07,81.48,5,0.005,resnet18,GMP,cifar10,0.9
0,3548108224.0,0.4159836769104004,8.762837069298257e-07,86.34,0.4135971963405609,9.749994660523953e-07,83.76,5,0.005,resnet18,GMP,cifar10,0.9
10,37884639424.0,0.2322241514921188,7.101589858393709e-07,95.56,0.2458583116531372,7.581248837595922e-07,91.01,5,0.005,resnet18,GMP,cifar10,0.9
20,72221170624.0,0.2212283015251159,7.486723916372284e-07,95.66,0.236196219921112,7.629848255419347e-07,90.93,5,0.005,resnet18,GMP,cifar10,0.9
30,106557701824.0,0.21408012509346,6.762025464013277e-07,95.5,0.2251505851745605,7.781004569551442e-07,90.88,5,0.005,resnet18,GMP,cifar10,0.9
40,140894233024.0,0.1907639950513839,8.012846137717133e-07,94.76,0.2038089334964752,9.397022608936824e-07,90.75,5,0.005,resnet18,GMP,cifar10,0.9
50,175230764224.0,0.1732563078403473,1.3406223615675117e-06,94.68,0.1816854476928711,1.3241532315078075e-06,90.68,5,0.005,resnet18,GMP,cifar10,0.9
60,209567295424.0,0.1655633151531219,1.4408898323381436e-06,94.6,0.1805198490619659,1.406333694831119e-06,90.74,5,0.005,resnet18,GMP,cifar10,0.9
70,243903826624.0,0.1586511731147766,1.6030120377763524e-06,94.72,0.1750489473342895,1.5729456208646295e-06,90.6,5,0.005,resnet18,GMP,cifar10,0.9
80,278240357824.0,0.1328043937683105,2.079799514831393e-06,94.62,0.1565561592578888,2.320113253517775e-06,90.52,5,0.005,resnet18,GMP,cifar10,0.9
90,312576889024.0,0.1196078434586525,3.0926978524803417e-06,94.34,0.1362732350826263,3.1072950150701217e-06,90.59,5,0.005,resnet18,GMP,cifar10,0.9
-1,114622672.0,0.4668007791042328,5.148217496753205e-07,81.86,0.4482113718986511,7.357335221058747e-07,80.94,6,0.005,resnet18,GMP,cifar10,0.9
0,3553302832.0,0.4351131319999695,5.500245379153057e-07,85.7,0.4222730994224548,7.613975867570844e-07,83.22,6,0.005,resnet18,GMP,cifar10,0.9
10,37940104432.0,0.244609460234642,6.494260560430121e-07,95.44,0.2510001063346863,6.783064918636228e-07,90.83,6,0.005,resnet18,GMP,cifar10,0.9
20,72326906032.0,0.2361242622137069,5.95164863170794e-07,95.56,0.2430448979139328,6.771018092877057e-07,90.76,6,0.005,resnet18,GMP,cifar10,0.9
30,106713707632.0,0.2242999225854873,6.41784879462648e-07,95.24,0.2333867847919464,7.004939561738865e-07,90.72,6,0.005,resnet18,GMP,cifar10,0.9
40,141100509232.0,0.1940497159957885,8.371329158762819e-07,94.76,0.2112970054149627,9.528948794468306e-07,90.44,6,0.005,resnet18,GMP,cifar10,0.9
50,175487310832.0,0.1697129756212234,1.197058168145304e-06,94.74,0.1934115588665008,1.3762864909949712e-06,90.28,6,0.005,resnet18,GMP,cifar10,0.9
60,209874112432.0,0.1669782251119613,9.95816776594438e-07,94.68,0.1909442543983459,1.4835466117801843e-06,90.23,6,0.005,resnet18,GMP,cifar10,0.9
70,244260914032.0,0.1606285721063614,1.3764146160610835e-06,94.7,0.1876686662435531,1.649434921091597e-06,90.19,6,0.005,resnet18,GMP,cifar10,0.9
80,278647715632.0,0.1347401738166809,2.089160489049391e-06,95.0,0.1682167500257492,2.445484369673068e-06,90.31,6,0.005,resnet18,GMP,cifar10,0.9
90,313034517232.0,0.1158606559038162,2.9534251098084496e-06,94.84,0.1601478457450866,3.3017217901942786e-06,90.42,6,0.005,resnet18,GMP,cifar10,0.9
-1,114522688.0,0.4997583627700805,9.573251418260045e-07,80.7,0.4687932431697845,9.347749028165708e-07,80.25,7,0.005,resnet18,GMP,cifar10,0.9
0,3550203328.0,0.4446190595626831,7.990681183400739e-07,84.78,0.4239658117294311,9.004225489661621e-07,83.49,7,0.005,resnet18,GMP,cifar10,0.9
10,37907009728.0,0.2327772676944732,7.416789458147832e-07,95.3,0.2390296310186386,6.816473501203291e-07,90.7,7,0.005,resnet18,GMP,cifar10,0.9
20,72263816128.0,0.2212601155042648,8.392904646825627e-07,95.54,0.2301315069198608,6.810352601860359e-07,90.81,7,0.005,resnet18,GMP,cifar10,0.9
30,106620622528.0,0.2124700397253036,7.432022357534152e-07,95.44,0.2196234166622162,6.931506391083531e-07,90.85,7,0.005,resnet18,GMP,cifar10,0.9
40,140977428928.0,0.1874886304140091,1.0976276598739787e-06,95.52,0.1950419098138809,9.54678171183332e-07,90.69,7,0.005,resnet18,GMP,cifar10,0.9
50,175334235328.0,0.1638537496328354,1.3743317595071858e-06,95.0,0.1684983372688293,1.45860929023911e-06,90.48,7,0.005,resnet18,GMP,cifar10,0.9
60,209691041728.0,0.1636905819177627,1.2300722573854728e-06,94.96,0.1644440442323684,1.5774384110045505e-06,90.45,7,0.005,resnet18,GMP,cifar10,0.9
70,244047848128.0,0.1582509726285934,1.908971853481489e-06,94.88,0.1558656990528106,1.8097108522852068e-06,90.48,7,0.005,resnet18,GMP,cifar10,0.9
80,278404654528.0,0.1314149349927902,2.89204854198033e-06,94.8,0.133805513381958,2.7676683203026187e-06,90.45,7,0.005,resnet18,GMP,cifar10,0.9
90,312761460928.0,0.121857538819313,3.7329837141442113e-06,94.82,0.1242983043193817,3.816111075138906e-06,90.54,7,0.005,resnet18,GMP,cifar10,0.9
-1,114648208.0,0.4500492215156555,1.1288339010206982e-06,84.76,0.4375280439853668,1.177142621600069e-06,82.87,8,0.005,resnet18,GMP,cifar10,0.9
0,3554094448.0,0.4161164462566376,1.1723928992068975e-06,86.82,0.4082444012165069,1.065993046722724e-06,84.58,8,0.005,resnet18,GMP,cifar10,0.9
10,37948556848.0,0.2401917874813079,4.6334596959241036e-07,94.36,0.2507908940315246,5.550841706281062e-07,90.51,8,0.005,resnet18,GMP,cifar10,0.9
20,72343019248.0,0.2293989956378936,6.405996941794001e-07,94.82,0.2399090230464935,5.722970399801852e-07,90.57,8,0.005,resnet18,GMP,cifar10,0.9
30,106737481648.0,0.2216737419366836,6.644036147918086e-07,95.18,0.2272769808769226,6.312681648523721e-07,90.43,8,0.005,resnet18,GMP,cifar10,0.9
40,141131944048.0,0.1883496195077896,1.0524300932956976e-06,94.44,0.2000941485166549,1.0737820730355452e-06,90.28,8,0.005,resnet18,GMP,cifar10,0.9
50,175526406448.0,0.1697303205728531,1.5531416011071997e-06,94.02,0.1784869879484176,1.7461444485888933e-06,90.06,8,0.005,resnet18,GMP,cifar10,0.9
60,209920868848.0,0.1652442812919616,1.7687470972305164e-06,93.82,0.176630437374115,1.8843105635824031e-06,90.07,8,0.005,resnet18,GMP,cifar10,0.9
70,244315331248.0,0.1561844199895858,2.199652954004705e-06,93.44,0.1715223938226699,2.174709834434907e-06,90.04,8,0.005,resnet18,GMP,cifar10,0.9
80,278709793648.0,0.133724182844162,3.0294015687104547e-06,93.84,0.1540416628122329,3.1401725664181868e-06,90.02,8,0.005,resnet18,GMP,cifar10,0.9
90,313104256048.0,0.1127877458930015,3.998974534624722e-06,93.8,0.1478520333766937,4.213020474708173e-06,90.09,8,0.005,resnet18,GMP,cifar10,0.9
-1,114705136.0,0.4453014135360718,9.257025226361292e-07,84.26,0.4282548427581787,8.139867304635118e-07,82.87,9,0.005,resnet18,GMP,cifar10,0.9
0,3555859216.0,0.4202958941459656,9.218496188623248e-07,86.7,0.4065976440906524,8.311652663905988e-07,84.87,9,0.005,resnet18,GMP,cifar10,0.9
10,37967400016.0,0.2336407601833343,7.108102408892591e-07,95.58,0.2459946274757385,5.692726290362771e-07,90.69,9,0.005,resnet18,GMP,cifar10,0.9
20,72378940816.0,0.2263534516096115,4.925003054268018e-07,95.38,0.2389385998249054,5.555081088459701e-07,90.56,9,0.005,resnet18,GMP,cifar10,0.9
