Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy,individual
-1,0.0,4.431643009185791,11.44,4.2729268074035645,11.99,0
0,2217980400.0,2.6672191619873047,20.14,2.601802349090576,19.43,0
10,24397784400.0,0.8285579681396484,54.26,0.8352270722389221,47.73,0
20,46577588400.0,0.7655683755874634,58.08,0.7685574889183044,49.63,0
30,68757392400.0,0.6618426442146301,61.18,0.6794726252555847,51.77,0
40,90937196400.0,0.4178648293018341,68.08,0.5067358016967773,56.58,0
50,113117000400.0,0.3263643682003021,72.44,0.446610540151596,58.09,0
60,135296804400.0,0.3194878995418548,71.66,0.4445701837539673,58.4,0
70,157476608400.0,0.3054545521736145,71.88,0.4418989419937134,58.89,0
80,179656412400.0,0.2573214173316955,75.06,0.418877899646759,60.34,0
90,201836216400.0,0.2290990203619003,76.76,0.4138177931308746,61.18,0
100,224016020400.0,0.2186406403779983,76.2,0.416291743516922,61.27,0
101,224016020400.0,0.215229257941246,76.5,0.416291743516922,61.27,0
-1,0.0,4.415838241577148,12.04,4.2729268074035645,11.99,2
0,2217980400.0,2.6474316120147705,20.62,2.5850625038146973,19.53,2
10,24397784400.0,0.8560945987701416,55.18,0.8438945412635803,47.73,2
20,46577588400.0,0.765953004360199,57.44,0.7779179215431213,49.45,2
30,68757392400.0,0.6692695021629333,60.7,0.6907638311386108,51.71,2
40,90937196400.0,0.4268535375595093,68.54,0.5158032774925232,56.23,2
50,113117000400.0,0.3308001458644867,71.58,0.465983510017395,58.05,2
60,135296804400.0,0.2935675680637359,71.62,0.463553786277771,58.51,2
70,157476608400.0,0.3098968267440796,73.66,0.4512978196144104,58.89,2
80,179656412400.0,0.2381375283002853,74.88,0.43930184841156,60.03,2
90,201836216400.0,0.2266461998224258,76.18,0.4316086173057556,60.93,2
100,224016020400.0,0.2307236641645431,76.84,0.4315063655376434,61.08,2
101,224016020400.0,0.2098602354526519,76.32,0.4315063655376434,61.08,2
-1,0.0,4.4064483642578125,12.1,4.2729268074035645,11.99,3
0,2217980400.0,2.6094002723693848,21.66,2.599994421005249,19.29,3
10,24397784400.0,0.8140252828598022,55.42,0.856550931930542,47.48,3
