"Step","vgg19_normal_small_imagenet_1714153875.2804554_rf_level_3_recording_200 - Test Accuracy","vgg19_normal_small_imagenet_1714153875.2804554_rf_level_3_recording_200 - Test Accuracy__MIN","vgg19_normal_small_imagenet_1714153875.2804554_rf_level_3_recording_200 - Test Accuracy__MAX"
"0","2.86","2.86","2.86"
"1","6.03","6.03","6.03"
"2","9.13","9.13","9.13"
"3","8.3","8.3","8.3"
"4","13.15","13.15","13.15"
"5","14.84","14.84","14.84"
"6","13.07","13.07","13.07"
"7","14.23","14.23","14.23"
"8","18.76","18.76","18.76"
"9","20.15","20.15","20.15"
"10","13.04","13.04","13.04"
"11","11.17","11.17","11.17"
"12","18.6","18.6","18.6"
"13","26.4","26.4","26.4"
"14","24.24","24.24","24.24"
"15","28.04","28.04","28.04"
"16","27.4","27.4","27.4"
"17","31.34","31.34","31.34"
"18","23.47","23.47","23.47"
"19","29.82","29.82","29.82"
"20","32.03","32.03","32.03"
"21","28.85","28.85","28.85"
"22","27.9","27.9","27.9"
"23","32.36","32.36","32.36"
"24","35.03","35.03","35.03"
"25","27.36","27.36","27.36"
"26","31.61","31.61","31.61"
"27","32.97","32.97","32.97"
"28","27.21","27.21","27.21"
"29","34.57","34.57","34.57"
"30","25.28","25.28","25.28"
"31","32.13","32.13","32.13"
"32","35.71","35.71","35.71"
"33","35.64","35.64","35.64"
"34","34.23","34.23","34.23"
"35","35.62","35.62","35.62"
"36","35.37","35.37","35.37"
"37","36.93","36.93","36.93"
"38","32.65","32.65","32.65"
"39","38.16","38.16","38.16"
"40","34.87","34.87","34.87"
"41","36.48","36.48","36.48"
"42","36.63","36.63","36.63"
"43","38.44","38.44","38.44"
"44","28.63","28.63","28.63"
"45","37.32","37.32","37.32"
"46","35.46","35.46","35.46"
"47","40.4","40.4","40.4"
"48","34.97","34.97","34.97"
"49","37.56","37.56","37.56"
"50","36.13","36.13","36.13"
"51","38.41","38.41","38.41"
"52","34.11","34.11","34.11"
"53","35.75","35.75","35.75"
"54","38.54","38.54","38.54"
"55","39.59","39.59","39.59"
"56","36.89","36.89","36.89"
"57","41.19","41.19","41.19"
"58","43.38","43.38","43.38"
"59","40.23","40.23","40.23"
"60","33.34","33.34","33.34"
"61","40.23","40.23","40.23"
"62","39.69","39.69","39.69"
"63","32.67","32.67","32.67"
"64","29.35","29.35","29.35"
"65","44.05","44.05","44.05"
"66","36.23","36.23","36.23"
"67","43.85","43.85","43.85"
"68","40.7","40.7","40.7"
"69","43.29","43.29","43.29"
"70","38.87","38.87","38.87"
"71","42.19","42.19","42.19"
"72","41.13","41.13","41.13"
"73","43.46","43.46","43.46"
"74","41.92","41.92","41.92"
"75","37.9","37.9","37.9"
"76","46.55","46.55","46.55"
"77","47.63","47.63","47.63"
"78","39.14","39.14","39.14"
"79","37.63","37.63","37.63"
"80","45.16","45.16","45.16"
"81","47.62","47.62","47.62"
"82","45.38","45.38","45.38"
"83","47.45","47.45","47.45"
"84","48.59","48.59","48.59"
"85","45.45","45.45","45.45"
"86","47.42","47.42","47.42"
"87","45.02","45.02","45.02"
"88","47.34","47.34","47.34"
"89","45.8","45.8","45.8"
"90","45.81","45.81","45.81"
"91","43.2","43.2","43.2"
"92","47.23","47.23","47.23"
"93","50.3","50.3","50.3"
"94","51.56","51.56","51.56"
"95","51.18","51.18","51.18"
"96","46.71","46.71","46.71"
"97","45.61","45.61","45.61"
"98","46.21","46.21","46.21"
"99","48.92","48.92","48.92"
"100","51.96","51.96","51.96"
"101","48.2","48.2","48.2"
"102","49.54","49.54","49.54"
"103","52.1","52.1","52.1"
"104","53.26","53.26","53.26"
"105","50.98","50.98","50.98"
"106","50.37","50.37","50.37"
"107","52.08","52.08","52.08"
"108","50.3","50.3","50.3"
"109","51.58","51.58","51.58"
"110","55.35","55.35","55.35"
"111","54.15","54.15","54.15"
"112","56.84","56.84","56.84"
"113","54.21","54.21","54.21"
"114","55.09","55.09","55.09"
"115","54.87","54.87","54.87"
"116","57.65","57.65","57.65"
"117","55.53","55.53","55.53"
"118","53.45","53.45","53.45"
