Name,Dense Accuracy,Pruned Accuracy
resnet_small_normal_small_imagenet_seed.2_rf_level_6_recording_200_ffcv_test_acc_58.33.pth,58.33,57.96
resnet_small_normal_small_imagenet_seed.0_rf_level_6_recording_200_ffcv_test_acc_57.79.pth,57.79,57.31
resnet_small_normal_small_imagenet_seed.3_rf_level_6_recording_200_ffcv_test_acc_57.83.pth,57.83,57.42
resnet_small_normal_small_imagenet_seed.1_rf_level_6_recording_200_ffcv_test_acc_58.15.pth,58.15,57.93
