Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy,individual,sigma,Architecture,Pruner,Dataset,Pruning Rate
-1,207642448.0,0.4780028760433197,96.62,0.4686657190322876,91.79,0,0.001,resnet18,GMP,cifar10,0.8
0,25124736208.0,0.3576194643974304,99.22,0.3494714796543121,94.27,0,0.001,resnet18,GMP,cifar10,0.8
10,274295673808.0,0.1145174577832222,99.12,0.1255240887403488,94.25,0,0.001,resnet18,GMP,cifar10,0.8
20,523466611408.0,0.0644818022847175,99.28,0.117075391113758,94.2,0,0.001,resnet18,GMP,cifar10,0.8
30,772637549008.0,0.0491163879632949,99.38,0.1227832660079002,94.16,0,0.001,resnet18,GMP,cifar10,0.8
40,1021808486608.0,0.0399896055459976,99.54,0.1259490847587585,94.23,0,0.001,resnet18,GMP,cifar10,0.8
50,1270979424208.0,0.0381662994623184,99.44,0.1443730890750885,94.27,0,0.001,resnet18,GMP,cifar10,0.8
60,1520150361808.0,0.032879814505577,99.7,0.1553931236267089,94.24,0,0.001,resnet18,GMP,cifar10,0.8
70,1769321299408.0,0.0344910956919193,99.62,0.151502713561058,94.19,0,0.001,resnet18,GMP,cifar10,0.8
80,2018492237008.0,0.0325804986059665,99.56,0.1621109247207641,94.25,0,0.001,resnet18,GMP,cifar10,0.8
90,2267663174608.0,0.0308422744274139,99.64,0.1780804246664047,94.23,0,0.001,resnet18,GMP,cifar10,0.8
100,2516834112208.0,0.0334599614143371,99.78,0.1761113107204437,94.28,0,0.001,resnet18,GMP,cifar10,0.8
101,2516834112208.0,0.0285194143652915,99.82,0.1761112660169601,94.28,0,0.001,resnet18,GMP,cifar10,0.8
-1,207659872.0,0.4664562344551086,97.52,0.4599701762199402,92.16,1,0.001,resnet18,GMP,cifar10,0.8
0,25126844512.0,0.338434487581253,99.34,0.345027893781662,94.3,1,0.001,resnet18,GMP,cifar10,0.8
10,274318690912.0,0.1045211255550384,99.28,0.1436006873846054,94.21,1,0.001,resnet18,GMP,cifar10,0.8
20,523510537312.0,0.0600280314683914,99.36,0.1221250519156456,94.36,1,0.001,resnet18,GMP,cifar10,0.8
30,772702383712.0,0.0445996299386024,99.52,0.1376709342002868,94.35,1,0.001,resnet18,GMP,cifar10,0.8
40,1021894230112.0,0.0368180237710475,99.5,0.1385708898305893,94.32,1,0.001,resnet18,GMP,cifar10,0.8
50,1271086076512.0,0.0341115370392799,99.52,0.144299030303955,94.31,1,0.001,resnet18,GMP,cifar10,0.8
