layer_names,pr
conv1,0.0
layer1.0.conv1,0.2109375
layer1.0.conv2,0.54492867
layer1.0.shortcut.0,0.46600342
layer2.0.conv1,0.23751831
layer2.0.conv2,0.45872837
layer2.0.shortcut.0,0.5083389
layer3.0.conv1,0.23278809
layer3.0.conv2,0.9534073
layer3.0.shortcut.0,0.8302498
linear,0.0
