Pruning rate,Stochastic performance,Fitness,Sigma,Difference with deterministic,F2
0.3857274559215138,97.56,-0.1799999999999926,0.0008393648191498283,-0.1799999999999926,0.3857274559215138
0.8555110290138332,9.72,2.4467615429795635,0.0027897693146087528,2.8600000000000003,0.8555110290138332
0.8634583978685586,4.74,0.7080358862522182,0.006125517512892494,0.8200000000000003,0.8634583978685586
0.7730354714909126,89.04,0.8812604374996408,0.001296557740542494,1.1400000000000006,0.7730354714909126
0.6863290796562932,96.8,0.02745316318625602,0.00018500984478235898,0.04000000000000625,0.6863290796562932
0.7509894102715559,93.52,0.3003957641086266,0.0005904104724459164,0.4000000000000057,0.7509894102715559
0.8351739087836946,21.96,5.395223450742668,0.0027897693146087528,6.460000000000001,0.8351739087836946
0.73743098281871,94.68,-0.10000000000000853,0.00043071366843924736,-0.10000000000000853,0.73743098281871
0.7890403665521056,77.52,2.2961074666666246,0.0013315440442964652,2.9099999999999966,0.7890403665521056
0.6079690670038634,97.54,0.030398453350191444,0.00033127104535166655,0.04999999999999716,0.6079690670038634
0.9861247642737877,1.3,0.0,0.0033375868599207475,0.0,0.9861247642737877
0.7327808772203047,95.46,-0.10999999999999943,0.0009509105836749217,-0.10999999999999943,0.7327808772203047
0.6979252296458073,96.46,0.013958504592923287,0.00048211936171223626,0.020000000000010232,0.6979252296458073
0.8714070919532391,2.44,0.060998496436726786,0.0005904104724459164,0.07000000000000006,0.8714070919532391
0.33539155698164647,97.72,0.01676957784908137,0.0009307995556314443,0.04999999999999716,0.33539155698164647
0.8332585416058484,27.56,3.991308414292013,0.002086672776553906,4.789999999999999,0.8332585416058484
0.9043332987353996,1.52,0.3165166545573899,0.0033819039314834836,0.3500000000000001,0.9043332987353996
0.7115044140384038,96.36,-0.010000000000005116,0.0006303556121573885,-0.010000000000005116,0.7115044140384038
0.8267937690542343,31.66,5.324551872709267,0.0019018610258669261,6.439999999999998,0.8267937690542343
0.8568541427293548,5.5,0.94253955700229,0.0013315440442964652,1.0999999999999996,0.8568541427293548
0.875581721456746,2.24,0.008755817214567467,0.0006270248536501622,0.010000000000000009,0.875581721456746
0.7511938769982367,92.98,0.18779846924955917,0.00043071366843924736,0.25,0.7511938769982367
0.7848823315020229,78.98,0.23546469945060464,0.0005034571813881021,0.29999999999999716,0.7848823315020229
0.7740316978950654,87.8,0.8901364525793242,0.0013315440442964652,1.1499999999999986,0.7740316978950654
0.6578711032665143,97.14,-0.05999999999998806,0.0006343617908901758,-0.05999999999998806,0.6578711032665143
0.7151374985060115,96.12,0.05005962489542609,0.00024038513042422656,0.07000000000000739,0.7151374985060115
0.8671654757374019,4.72,0.9712253328258902,0.0023853952436377382,1.12,0.8671654757374019
0.8946860224181846,2.14,-0.010000000000000009,0.00034460405930851603,-0.010000000000000009,0.8946860224181846
0.827945035127624,28.34,2.856410371190305,0.003461602009743071,3.450000000000003,0.827945035127624
0.8144731250845043,49.24,4.015352506666609,0.0014246504843726982,4.930000000000003,0.8144731250845043
0.89282095467605,2.18,0.08928209546760509,0.0022997921646764857,0.10000000000000009,0.89282095467605
0.8225873204213685,36.14,3.191638803234909,0.0030435009661659656,3.879999999999999,0.8225873204213685
0.8092117238237937,52.8,2.0392135440359627,0.0009509105836749217,2.520000000000003,0.8092117238237937
0.8419626778496686,18.08,3.847769437772986,0.0022997921646764857,4.57,0.8419626778496686
0.7972961054275217,70.12,4.193777514548763,0.0014323516992672607,5.259999999999998,0.7972961054275217
0.7939666825362396,75.2,2.3422017134819035,0.0013315440442964652,2.9499999999999957,0.7939666825362396
0.8216831829705847,37.7,3.097745599799104,0.003091618838500012,3.7699999999999996,0.8216831829705847
