Name,Dense Accuracy,Pruned Accuracy
resnet50_normal_tiny_imagenet_seed_2_rf_level_4_test_acc_56.49.pth,56.49,19.665
resnet50_normal_tiny_imagenet_seed_0_rf_level_4_test_acc_56.61.pth,56.61,18.86
resnet50_normal_tiny_imagenet_seed_0_rf_level_4_32_bs_test_acc_50.43.pth,50.43,45.905
resnet50_normal_tiny_imagenet_seed_3_rf_level_4_test_acc_56.68.pth,56.68,24.835
resnet50_normal_tiny_imagenet_seed_1_rf_level_4_test_acc_56.81.pth,56.81,20.59
resnet50_normal_tiny_imagenet_seed_4_rf_level_4_test_acc_56.08.pth,56.08,24.355
resnet50_normal_tiny_imagenet_seed_4_rf_level_4_32_bs_test_acc_51.13.pth,51.13,47.555
resnet50_normal_tiny_imagenet_seed_3_rf_level_4_32_bs_test_acc_50.35.pth,50.35,46.555
resnet50_normal_tiny_imagenet_seed_1_rf_level_4_32_bs_test_acc_50.27.pth,50.27,45.985
resnet50_normal_tiny_imagenet_seed_2_rf_level_4_32_bs_test_acc_51.75.pth,51.75,48.56
