Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy,individual,sigma,Pruner,Architecture,Dataset,Pruning Rate
-1,201583776.0,1.7068698406219482,53.62,1.4887243509292605,47.87,0,0.005,LAMP,resnet18,cifar100,0.85
0,24391636896.0,0.6733528971672058,75.54,0.589779257774353,63.49,0,0.005,LAMP,resnet18,cifar100,0.85
10,266292168096.0,0.2529470920562744,83.72,0.4945949912071228,67.58,0,0.005,LAMP,resnet18,cifar100,0.85
20,508192699296.0,0.2674505710601806,87.62,0.6242527961730957,68.43,0,0.005,LAMP,resnet18,cifar100,0.85
30,750093230496.0,0.2654478251934051,89.1,0.5726389288902283,69.27,0,0.005,LAMP,resnet18,cifar100,0.85
40,991993761696.0,0.2741774618625641,91.48,0.6290809512138367,69.61,0,0.005,LAMP,resnet18,cifar100,0.85
50,1233894292896.0,0.213511124253273,93.1,0.6428961157798767,69.86,0,0.005,LAMP,resnet18,cifar100,0.85
60,1475794824096.0,0.2417217493057251,94.16,0.7652726173400879,70.04,0,0.005,LAMP,resnet18,cifar100,0.85
70,1717695355296.0,0.254296064376831,94.98,0.7383946180343628,70.18,0,0.005,LAMP,resnet18,cifar100,0.85
80,1959595886496.0,0.2286233007907867,95.7,0.7449383735656738,70.17,0,0.005,LAMP,resnet18,cifar100,0.85
90,2201496417696.0,0.2588123381137848,96.1,0.8165680170059204,70.17,0,0.005,LAMP,resnet18,cifar100,0.85
100,2443396948896.0,0.199220597743988,96.5,0.7939603328704834,70.28,0,0.005,LAMP,resnet18,cifar100,0.85
101,2443396948896.0,0.1980075091123581,96.64,0.7939603328704834,70.28,0,0.005,LAMP,resnet18,cifar100,0.85
-1,201509952.0,1.6443885564804075,52.6,1.3917640447616575,47.96,1,0.005,LAMP,resnet18,cifar100,0.85
0,24382704192.0,0.7134096622467041,74.52,0.6416779160499573,62.21,1,0.005,LAMP,resnet18,cifar100,0.85
