Accuracy,Stage,$\sigma$,Pruner,Architecture,Dataset,Pruning rate
0.74589914,Mean,0.005,LAMP,resnet18,cifar100,0.85
0.7521035,Voting,0.001,GMP,resnet50,cifar100,0.85
0.75563437,Mean,0.001,GMP,resnet50,cifar100,0.85
0.7469814,Voting,0.001,LAMP,resnet50,cifar100,0.85
0.7473614,Mean,0.001,LAMP,resnet50,cifar100,0.85
0.7578015,Voting,0.003,GMP,resnet50,cifar100,0.85
0.7587284,Mean,0.003,GMP,resnet50,cifar100,0.85
0.747005,Voting,0.003,LAMP,resnet50,cifar100,0.85
0.74761915,Mean,0.003,LAMP,resnet50,cifar100,0.85
0.7567221,Voting,0.005,GMP,resnet50,cifar100,0.85
0.7574459,Mean,0.005,GMP,resnet50,cifar100,0.85
0.7404106,Voting,0.005,LAMP,resnet50,cifar100,0.85
0.7409635,Mean,0.005,LAMP,resnet50,cifar100,0.85
0.7209243,Voting,0.001,GMP,VGG19,cifar100,0.85
0.7214498,Mean,0.001,GMP,VGG19,cifar100,0.85
0.71550655,Voting,0.001,LAMP,VGG19,cifar100,0.85
0.7159825,Mean,0.001,LAMP,VGG19,cifar100,0.85
0.722788,Voting,0.003,GMP,VGG19,cifar100,0.85
0.7204917,Mean,0.003,GMP,VGG19,cifar100,0.85
0.7136612,Voting,0.003,LAMP,VGG19,cifar100,0.85
0.71373945,Mean,0.003,LAMP,VGG19,cifar100,0.85
0.71987116,Voting,0.005,GMP,VGG19,cifar100,0.85
0.72125244,Mean,0.005,GMP,VGG19,cifar100,0.85
0.7150118,Voting,0.005,LAMP,VGG19,cifar100,0.85
0.71520364,Mean,0.005,LAMP,VGG19,cifar100,0.85
0.66631746,Voting,0.001,GMP,resnet18,cifar100,0.9
0.6660594,Mean,0.001,GMP,resnet18,cifar100,0.9
0.673424,Voting,0.001,LAMP,resnet18,cifar100,0.9
0.6737504,Mean,0.001,LAMP,resnet18,cifar100,0.9
0.68282384,Voting,0.003,GMP,resnet18,cifar100,0.9
0.6886107,Mean,0.003,GMP,resnet18,cifar100,0.9
