Epoch,training_time
0,1574.1504964828491
1,446.79756331443787
2,377.5690894126892
3,178.60997247695923
4,125.64139747619629
5,150.22991847991943
6,98.14121723175049
7,121.53703022003174
8,136.08012223243713
9,87.48414754867554
10,122.43435025215149
11,84.69441890716553
12,73.91323471069336
13,70.90930151939392
14,68.37683510780334
15,183.4999656677246
16,101.5485291481018
17,76.51248621940613
18,71.43330550193787
19,68.16985869407654
20,68.04324245452881
21,66.52295422554016
22,65.8641505241394
23,65.65434527397156
24,65.05230832099915
25,65.57502841949463
26,65.32682394981384
27,64.86771321296692
28,64.80538392066956
29,64.41397643089294
30,64.25443482398987
31,63.392669439315796
32,63.71244525909424
33,64.10420274734497
34,186.02839708328247
35,281.45317912101746
36,318.04530096054077
37,385.7805721759796
38,446.47293496131897
39,323.0847270488739
40,292.7431218624115
41,289.6975989341736
42,377.9106149673462
43,365.31275177001953
44,371.4882125854492
45,344.52042412757874
46,230.2756690979004
47,248.70711874961853
48,184.2925431728363
49,120.55871915817261
50,1004.5074307918549
51,1202.9912481307983
52,1015.4734346866608
53,687.6201431751251
54,273.01128673553467
55,897.7357320785522
56,304.51267886161804
57,173.15931940078735
58,429.6027491092682
59,300.6121356487274
60,283.3564455509186
61,257.6394715309143
62,128.76921153068542
63,103.22547245025635
64,233.1123652458191
65,329.992290019989
66,409.72419571876526
67,348.6246290206909
68,344.5611033439636
69,242.82058882713318
70,235.83445596694946
71,172.79231333732605
72,111.26490330696106
73,377.97477102279663
74,293.0736012458801
75,331.68855142593384
76,315.7366168498993
77,169.6176838874817
78,124.51577734947205
79,112.87924885749817
80,103.95484495162964
81,142.80187344551086
82,342.1405129432678
83,261.40478897094727
84,356.2605299949646
85,239.00253748893738
86,192.77815079689026
87,185.30028009414673
88,143.8948540687561
89,169.53201603889465
90,246.33113265037537
91,281.09913206100464
92,420.6631226539612
93,347.72345876693726
94,203.86789774894714
95,234.89498686790466
96,253.59313297271729
97,398.12861227989197
98,363.5902280807495
99,1340.2951855659485
