Epoch,sparse_flops,val_set_gradient_magnintude,val_set_Hg_magnitude,val_accuracy,test_set_gradient_magnitude,test_set_Hg_magnitude,test_accuracy,individual,sigma
40,207478668496.0,0.2051735967397689,1.1789045402110787e-06,70.62,0.2265155464410781,1.1530356687217136e-06,70.3,4,0.011
50,258042113296.0,0.2049002796411514,1.666800130806223e-06,71.3,0.2300278842449188,2.061721716017928e-06,70.81,4,0.011
60,308605558096.0,0.1993120312690735,1.628128870834189e-06,71.02,0.2293354272842407,2.3207337562780594e-06,70.95,4,0.011
70,359169002896.0,0.1940055787563324,2.565994009273709e-06,71.04,0.2288460731506347,2.689707798708696e-06,71.24,4,0.011
80,409732447696.0,0.1786146759986877,3.405523557376e-06,72.0,0.2154445797204971,4.574877493723761e-06,72.29,4,0.011
90,460295892496.0,0.1626874506473541,4.933572654408636e-06,73.52,0.207460880279541,6.339435458357912e-06,73.2,4,0.011
-1,168712768.0,0.7776056528091431,4.115150034067483e-07,16.94,0.732919454574585,4.570347300614231e-07,17.77,5,0.011
0,5230095808.0,0.6586496233940125,4.567954192680191e-07,19.66,0.6162618398666382,4.792624395122402e-07,20.61,5,0.011
10,55843926208.0,0.1921237260103225,5.649091576742649e-07,67.4,0.2014621645212173,6.297224217632902e-07,68.06,5,0.011
20,106457756608.0,0.1942533254623413,5.846166004630504e-07,69.36,0.1999417096376419,6.610674745388678e-07,69.17,5,0.011
30,157071587008.0,0.1948018670082092,7.586616561638948e-07,70.64,0.2001907974481582,7.312194725273002e-07,69.67,5,0.011
40,207685417408.0,0.2066165208816528,1.0593981869533309e-06,70.64,0.2162077128887176,1.4000194141772226e-06,70.7,5,0.011
50,258299247808.0,0.2061767131090164,3.1264330573321786e-06,70.84,0.2205137461423874,2.541240746722906e-06,70.72,5,0.011
60,308913078208.0,0.2082225233316421,2.390537019891781e-06,71.08,0.2206206768751144,2.870289563361439e-06,70.76,5,0.011
70,359526908608.0,0.2054020017385482,3.13237683258194e-06,70.64,0.2217222303152084,3.435932057982427e-06,71.11,5,0.011
80,410140739008.0,0.1862888783216476,6.099203801568365e-06,71.68,0.206516221165657,6.319082331174286e-06,71.77,5,0.011
90,460754569408.0,0.1664253771305084,7.989218829607125e-06,72.6,0.2070660293102264,9.145445801550522e-06,72.71,5,0.011
-1,168638320.0,0.6493116617202759,4.360708487638476e-07,10.0,0.6186245679855347,5.843857024956378e-07,10.9,6,0.011
0,5227787920.0,0.5610454678535461,4.28731681267891e-07,12.64,0.532805323600769,5.641594498229097e-07,13.92,6,0.011
10,55819283920.0,0.221238911151886,4.5923752622911707e-07,63.38,0.2321110665798187,6.058523354113277e-07,65.37,6,0.011
20,106410779920.0,0.2089748531579971,4.163385938227293e-07,66.12,0.2289860993623733,6.383987738445285e-07,67.29,6,0.011
30,157002275920.0,0.2070279866456985,5.186542466617539e-07,68.38,0.2294747233390808,7.210994112938351e-07,69.41,6,0.011
40,207593771920.0,0.224756047129631,8.546045933144342e-07,70.64,0.2412962168455124,1.2439357988114352e-06,71.9,6,0.011
50,258185267920.0,0.2180060446262359,1.5471073311346115e-06,71.6,0.236593097448349,2.0709860564238625e-06,72.18,6,0.011
60,308776763920.0,0.2173344790935516,1.975102350115776e-06,71.62,0.2349248975515365,2.2273613922152435e-06,72.2,6,0.011
70,359368259920.0,0.2100486755371093,1.95207871911407e-06,71.36,0.2321503758430481,2.536832198529737e-06,72.35,6,0.011
80,409959755920.0,0.1857248991727829,3.134651478831074e-06,72.18,0.2177187204360962,3.97162102672155e-06,72.57,6,0.011
90,460551251920.0,0.1646651923656463,5.241669441602426e-06,73.44,0.2123418599367141,5.4020069910620805e-06,72.91,6,0.011
-1,168727600.0,0.7355250120162964,3.925843543584051e-07,17.92,0.7052650451660156,4.81032884636079e-07,18.66,7,0.011
0,5230555600.0,0.6361744403839111,4.050747293149471e-07,20.12,0.6052736639976501,4.724817870283005e-07,21.38,7,0.011
10,55848835600.0,0.1742832511663437,4.079235509379942e-07,61.94,0.2099035680294037,6.286487632678472e-07,63.43,7,0.011
20,106467115600.0,0.1796598434448242,4.589444699831802e-07,63.18,0.2146836668252945,6.90694662353053e-07,64.57,7,0.011
30,157085395600.0,0.1840248554944992,5.884906499886711e-07,63.96,0.2210413068532943,7.792878022883087e-07,65.86,7,0.011
40,207703675600.0,0.208995908498764,1.1017014003300574e-06,67.56,0.2506903409957886,1.5175846783677116e-06,68.09,7,0.011
50,258321955600.0,0.2123853862285614,1.896380240395956e-06,69.64,0.2435473352670669,2.7226215024711564e-06,69.75,7,0.011
60,308940235600.0,0.2107509076595306,2.8519257284642663e-06,69.98,0.2403683513402938,2.976747964567039e-06,70.03,7,0.011
70,359558515600.0,0.2023618668317794,3.179748318871134e-06,70.2,0.2370907068252563,3.557986474334029e-06,70.41,7,0.011
80,410176795600.0,0.1837829798460006,3.246615960961208e-06,71.74,0.221103698015213,6.201155883900356e-06,71.41,7,0.011
90,460795075600.0,0.1583090424537658,8.211129170376807e-06,72.22,0.2172268033027649,9.389421393279918e-06,72.21,7,0.011
-1,168635344.0,0.6866791248321533,4.6310850621011923e-07,16.26,0.6691476106643677,4.469664531825402e-07,16.2,8,0.011
0,5227695664.0,0.617919385433197,3.533629922003456e-07,20.32,0.5962924957275391,4.286142996079434e-07,20.29,8,0.011
10,55818298864.0,0.1875021755695343,4.209149153666658e-07,62.42,0.1880378723144531,4.231741286275792e-07,63.54,8,0.011
20,106408902064.0,0.1831094771623611,4.774448711941659e-07,65.12,0.1890889257192611,4.613418127519253e-07,65.37,8,0.011
30,156999505264.0,0.1785916239023208,4.508183053530957e-07,67.5,0.199523463845253,5.755560437137319e-07,66.67,8,0.011
40,207590108464.0,0.190152421593666,1.3863677850167733e-06,69.34,0.2352806627750396,1.4795994047744898e-06,69.28,8,0.011
50,258180711664.0,0.1879884302616119,2.053254547718097e-06,69.76,0.2421895414590835,2.50423317993409e-06,70.13,8,0.011
60,308771314864.0,0.1850688159465789,1.9980598153779283e-06,69.66,0.2443127930164337,2.764996906989836e-06,70.23,8,0.011
70,359361918064.0,0.1832600235939026,1.5078754813657724e-06,70.66,0.2480866014957428,3.0856642752041807e-06,70.25,8,0.011
80,409952521264.0,0.177504763007164,2.614962795632892e-06,70.52,0.2407800406217575,4.378554876893759e-06,71.1,8,0.011
90,460543124464.0,0.1614035367965698,4.267009444447467e-06,71.8,0.2487556934356689,5.915637302678078e-06,71.73,8,0.011
-1,168700960.0,0.3840789198875427,4.012304088973906e-07,30.66,0.3592991828918457,4.323528060012905e-07,31.37,9,0.011
0,5229729760.0,0.3572608530521393,3.322036263853079e-07,36.16,0.331902265548706,4.309473808916664e-07,36.56,9,0.011
10,55840017760.0,0.172805517911911,4.2061620320055226e-07,67.96,0.1874959766864776,4.638248185528937e-07,69.24,9,0.011
20,106450305760.0,0.172194629907608,4.160806668096484e-07,68.84,0.1885043233633041,4.944104148307815e-07,69.65,9,0.011
30,157060593760.0,0.1806308627128601,4.822954906558152e-07,69.48,0.1933470666408538,5.560166300710989e-07,70.34,9,0.011
40,207670881760.0,0.1992189437150955,1.0960843610519078e-06,69.62,0.2097457647323608,1.23641143545683e-06,69.98,9,0.011
50,258281169760.0,0.1956508606672287,2.359356130909873e-06,69.48,0.2096429467201233,2.4432624741166364e-06,69.81,9,0.011
60,308891457760.0,0.1901229619979858,1.853992785072478e-06,69.26,0.2097369283437729,2.712442437768914e-06,69.83,9,0.011
70,359501745760.0,0.1894383579492569,2.380750856900704e-06,69.48,0.2102603763341903,3.2443128930026432e-06,70.16,9,0.011
80,410112033760.0,0.1803208738565445,5.262998001853703e-06,71.42,0.2129361629486084,5.478903403854929e-06,71.19,9,0.011
90,460722321760.0,0.1634284704923629,9.592024980520364e-06,72.16,0.2010736316442489,8.183691534213722e-06,71.87,9,0.011
-1,168715120.0,0.5374908447265625,4.865489700023318e-07,30.8,0.5057457089424133,5.378022365221113e-07,32.6,10,0.011
0,5230168720.0,0.4986453950405121,5.145928980709868e-07,33.2,0.4673895239830017,5.234858804215037e-07,35.38,10,0.011
10,55844704720.0,0.2070344537496566,5.451523179544893e-07,63.08,0.2112107872962951,6.360689894790994e-07,63.98,10,0.011
20,106459240720.0,0.1953186392784118,5.873014288226841e-07,65.08,0.2084317207336425,6.892313990647381e-07,65.24,10,0.011
30,157073776720.0,0.1876368671655655,5.951204684606637e-07,66.42,0.2095245867967605,7.859359811845934e-07,66.35,10,0.011
40,207688312720.0,0.2010150998830795,1.184413122246042e-06,68.82,0.2339634150266647,1.4696097423438914e-06,68.07,10,0.011
50,258302848720.0,0.2000225186347961,2.340465016459348e-06,70.7,0.2439175248146057,2.398742481091176e-06,70.1,10,0.011
60,308917384720.0,0.1984446197748184,2.3174548005044926e-06,70.28,0.2428495734930038,2.667123681021621e-06,70.45,10,0.011
70,359531920720.0,0.1990496218204498,2.346841029066127e-06,71.08,0.2444766759872436,3.048937969651888e-06,71.03,10,0.011
80,410146456720.0,0.1872158497571945,3.854225724353455e-06,72.5,0.2422241568565368,5.360826889955206e-06,72.46,10,0.011
90,460760992720.0,0.1732174903154373,5.525217602553312e-06,73.9,0.2410212904214859,7.419599569402635e-06,73.7,10,0.011
-1,168905392.0,0.675722599029541,6.297938739407982e-07,24.46,0.6859036087989807,5.5185108749356e-07,25.46,11,0.011
0,5236067152.0,0.616807222366333,5.292284868119168e-07,27.8,0.6291288137435913,5.082932830191567e-07,27.87,11,0.011
10,55907684752.0,0.2095232456922531,5.055679253018752e-07,67.68,0.2263627350330352,5.294824632073869e-07,67.32,11,0.011
20,106579302352.0,0.1990784555673599,4.462527556370333e-07,70.76,0.2131209671497345,5.600069812317088e-07,70.07,11,0.011
30,157250919952.0,0.1869352161884308,4.4203193283465225e-07,72.86,0.2062069773674011,5.952678634457698e-07,72.05,11,0.011
40,207922537552.0,0.2031760215759277,7.84697931521805e-07,73.74,0.2156905084848404,9.76169189925713e-07,73.72,11,0.011
50,258594155152.0,0.2063905745744705,1.7109904320022906e-06,74.08,0.217234194278717,1.6480890963066486e-06,73.59,11,0.011
60,309265772752.0,0.2008560597896576,1.2225031014168053e-06,74.3,0.2157950848340988,1.8442739246893325e-06,73.65,11,0.011
70,359937390352.0,0.1975970864295959,1.5456130313395988e-06,73.86,0.2108898162841797,2.204290694862721e-06,73.74,11,0.011
80,410609007952.0,0.1864148825407028,2.490909309926792e-06,74.22,0.2011023908853531,3.647535095296917e-06,73.82,11,0.011
90,461280625552.0,0.1650315821170807,5.040713404014241e-06,74.5,0.1894017606973648,5.423743004939752e-06,74.18,11,0.011
-1,168583840.0,0.5370250344276428,9.175267337013792e-07,20.6,0.5445269346237183,7.864991289352474e-07,21.79,12,0.011
0,5226099040.0,0.4792464673519134,7.34547882075276e-07,24.96,0.488699197769165,7.406333111248387e-07,25.42,12,0.011
10,55801251040.0,0.1858746260404586,5.720136755371641e-07,66.54,0.2115547060966491,4.987281840840296e-07,66.15,12,0.011
20,106376403040.0,0.1808191388845443,5.188347813600558e-07,66.88,0.208365336060524,5.33228899257665e-07,67.51,12,0.011
30,156951555040.0,0.1860851347446441,5.774888336418371e-07,68.9,0.2104569524526596,6.021533067723794e-07,69.1,12,0.011
40,207526707040.0,0.1985813677310943,1.3633120943268295e-06,70.52,0.2238257080316543,1.2259640698175645e-06,70.41,12,0.011
50,258101859040.0,0.1921943426132202,2.332795929760323e-06,71.22,0.2285013645887375,2.105104840666172e-06,70.5,12,0.011
60,308677011040.0,0.1937138587236404,1.7032948562700767e-06,70.78,0.2267109453678131,2.279846739838831e-06,70.62,12,0.011
70,359252163040.0,0.1880525946617126,2.0981910893169697e-06,70.68,0.2272333800792694,2.6412865281599807e-06,70.81,12,0.011
80,409827315040.0,0.1842449754476547,3.20429535349831e-06,72.38,0.2325571030378341,4.086069566255901e-06,71.92,12,0.011
90,460402467040.0,0.1701892018318176,5.164318736206042e-06,72.8,0.2307129353284835,5.665659500664333e-06,72.94,12,0.011
-1,168842608.0,0.6278681755065918,3.692453560688591e-07,17.1,0.6013422012329102,4.559561261885392e-07,18.72,13,0.011
0,5234120848.0,0.5540480613708496,3.785547448842408e-07,20.92,0.5287806391716003,4.513566125297075e-07,22.7,13,0.011
10,55886903248.0,0.1875452399253845,4.685778094426496e-07,67.34,0.204011857509613,6.114303801041387e-07,67.63,13,0.011
20,106539685648.0,0.1875311136245727,5.613475764221221e-07,68.18,0.2068498879671096,6.602115263376618e-07,67.68,13,0.011
30,157192468048.0,0.1962241381406784,7.301509867829736e-07,68.32,0.2114332914352417,8.164771543306415e-07,67.75,13,0.011
40,207845250448.0,0.2099919915199279,1.1564195574464977e-06,68.62,0.2331009656190872,1.5110966842257767e-06,67.54,13,0.011
50,258498032848.0,0.2021226584911346,2.092730483127525e-06,69.5,0.2346584647893905,2.45908745455381e-06,68.38,13,0.011
60,309150815248.0,0.1999907344579696,1.71796671111224e-06,70.28,0.2326865792274475,2.660658310560393e-06,68.74,13,0.011
70,359803597648.0,0.1961783468723297,1.9436167804087745e-06,69.66,0.2320790588855743,3.091268581556505e-06,69.0,13,0.011
80,410456380048.0,0.1807956397533416,4.393628842080943e-06,70.98,0.2362426221370697,5.085494194645435e-06,70.0,13,0.011
90,461109162448.0,0.1558099389076233,6.430437224480556e-06,71.4,0.2439233511686325,7.119493602658622e-06,70.96,13,0.011
-1,168451840.0,0.3333965837955475,4.903135959466454e-07,36.56,0.2945968806743622,4.484357134515449e-07,39.73,14,0.011
0,5222007040.0,0.3101195394992828,5.433930709841661e-07,40.66,0.2741354405879974,4.668762869641796e-07,42.83,14,0.011
10,55757559040.0,0.1820114403963089,4.407374660786445e-07,58.36,0.2130695134401321,5.76966954213276e-07,57.49,14,0.011
20,106293111040.0,0.1797854155302047,7.234193049043824e-07,58.94,0.2191568613052368,6.58346777981933e-07,58.07,14,0.011
30,156828663040.0,0.1933128237724304,5.258679607322847e-07,60.5,0.2280500680208206,7.456160346919205e-07,59.52,14,0.011
40,207364215040.0,0.2091477215290069,1.0689209375414066e-06,64.84,0.2538657784461975,1.4551191043210563e-06,63.95,14,0.011
50,257899767040.0,0.207632914185524,2.2598649138672045e-06,68.72,0.2717662155628204,2.473708718753187e-06,66.63,14,0.011
60,308435319040.0,0.2038291841745376,1.606780756446824e-06,68.54,0.2763539552688598,2.716921017054119e-06,67.22,14,0.011
70,358970871040.0,0.2013117969036102,2.5064255169127136e-06,69.1,0.2785283029079437,3.274360551586142e-06,68.03,14,0.011
80,409506423040.0,0.189777061343193,3.4731426694634138e-06,71.18,0.2947435677051544,5.63820276511251e-06,71.19,14,0.011
90,460041975040.0,0.1681911796331405,3.882339569827309e-06,73.18,0.297182559967041,7.831104994693305e-06,72.7,14,0.011
-1,168610816.0,0.6163592338562012,4.824293000638136e-07,30.34,0.5926993489265442,4.640355371066107e-07,31.49,15,0.011
0,5226935296.0,0.5597379207611084,3.77963345954413e-07,32.12,0.534986138343811,4.643653710445506e-07,33.94,15,0.011
10,55810180096.0,0.1996576488018036,4.0495146436114737e-07,68.32,0.1997999101877212,5.571759515987651e-07,68.92,15,0.011
20,106393424896.0,0.2015918642282486,5.969310450382181e-07,68.96,0.2015207856893539,5.871348776054219e-07,69.84,15,0.011
30,156976669696.0,0.1910494565963745,4.675020761624183e-07,70.5,0.2083567827939987,6.89930175212794e-07,70.46,15,0.011
40,207559914496.0,0.2109128832817077,9.120809068008384e-07,71.3,0.2322178333997726,1.2410135923346388e-06,70.64,15,0.011
50,258143159296.0,0.1997113823890686,1.60534239057597e-06,72.06,0.2288763970136642,2.3187849365058355e-06,71.11,15,0.011
60,308726404096.0,0.1995329558849334,1.8006020354732757e-06,71.84,0.2281787693500518,2.6207915198028786e-06,71.34,15,0.011
70,359309648896.0,0.192550390958786,2.657769073266536e-06,72.82,0.225910872220993,3.1366594157589134e-06,71.81,15,0.011
80,409892893696.0,0.1715086102485656,2.8867295895906864e-06,73.46,0.2157282531261444,5.484125722432509e-06,72.83,15,0.011
90,460476138496.0,0.1598503589630127,6.328449671855196e-06,73.98,0.2210447341203689,8.143882041622419e-06,73.75,15,0.011
-1,168635248.0,0.340143084526062,2.986259914905532e-07,29.0,0.3224519491195678,2.767514217794087e-07,31.67,16,0.011
0,5227692688.0,0.308860182762146,2.899488436014508e-07,34.32,0.2937157154083252,2.7838055416395946e-07,36.96,16,0.011
10,55818267088.0,0.1478837430477142,3.652151860933373e-07,66.9,0.161857008934021,3.707491771365312e-07,66.2,16,0.011
20,106408841488.0,0.1505713313817978,3.248624125262723e-07,67.54,0.1650612205266952,3.8546184555343643e-07,66.68,16,0.011
30,156999415888.0,0.1593224704265594,3.15915713144932e-07,67.6,0.1730682998895645,4.0902548903432034e-07,67.05,16,0.011
40,207589990288.0,0.1788365095853805,4.759125431519351e-07,70.16,0.2064551264047622,6.062404054318904e-07,68.56,16,0.011
50,258180564688.0,0.1955816745758056,1.002874455480196e-06,70.72,0.2238888889551162,9.465993571211584e-07,69.57,16,0.011
60,308771139088.0,0.1963805854320526,7.807173005858203e-07,69.14,0.2260394543409347,1.0342505447624717e-06,69.71,16,0.011
70,359361713488.0,0.2006419003009796,1.1396333547963875e-06,71.4,0.2285602241754531,1.1591625934670446e-06,70.17,16,0.011
80,409952287888.0,0.198698878288269,1.860676320575294e-06,72.22,0.2369765192270279,1.8081019561577705e-06,71.07,16,0.011
90,460542862288.0,0.1877507716417312,2.0267950731067685e-06,72.6,0.2376486957073211,2.503576979506761e-06,72.05,16,0.011
-1,168818384.0,0.6336117386817932,5.033403454035579e-07,10.46,0.6680704951286316,5.677500212186715e-07,10.26,17,0.011
0,5233369904.0,0.5531014800071716,4.569889142658212e-07,11.54,0.585715651512146,5.443431518870057e-07,11.14,17,0.011
10,55878885104.0,0.1680673211812973,3.153600687255676e-07,65.52,0.2096578478813171,4.2828239088521524e-07,65.45,17,0.011
20,106524400304.0,0.1623354256153106,3.723540658029378e-07,66.62,0.2050922065973281,4.408867653182824e-07,66.67,17,0.011
30,157169915504.0,0.1687852144241333,3.8813911373836163e-07,67.18,0.2040361166000366,5.290020226311754e-07,68.13,17,0.011
40,207815430704.0,0.1945215463638305,7.277223517121456e-07,69.64,0.2189392894506454,9.706812988952151e-07,70.65,17,0.011
50,258460945904.0,0.2012348473072052,2.0581653643603204e-06,71.04,0.2306535691022873,1.6587612208240898e-06,72.07,17,0.011
60,309106461104.0,0.1982893496751785,1.612909727555234e-06,71.96,0.2303667217493057,1.844003350015555e-06,72.19,17,0.011
70,359751976304.0,0.2029535770416259,1.8858337398341967e-06,72.08,0.2284272164106369,2.2566741790797096e-06,72.45,17,0.011
80,410397491504.0,0.1910363882780075,2.874926622098428e-06,73.7,0.2184028327465057,4.1946518649638165e-06,73.4,17,0.011
90,461043006704.0,0.170496866106987,4.242665909259813e-06,73.6,0.2129368633031845,6.430941539292689e-06,74.13,17,0.011
-1,168470608.0,0.5707484483718872,1.88539502232743e-07,14.06,0.543586790561676,3.057476192225295e-07,15.57,18,0.011
0,5222588848.0,0.5033437609672546,3.219323616576731e-07,16.74,0.4756937623023987,2.899822106883221e-07,19.11,18,0.011
10,55763771248.0,0.1586463898420334,2.7035312655243615e-07,65.84,0.1616876721382141,3.734240010544454e-07,67.77,18,0.011
20,106304953648.0,0.1585939973592758,5.397202471613127e-07,68.22,0.1615871042013168,4.003574645139452e-07,69.4,18,0.011
30,156846136048.0,0.1616873890161514,4.184153397090995e-07,70.16,0.1675536632537841,4.616213118424639e-07,70.46,18,0.011
40,207387318448.0,0.1863967627286911,8.264944995062251e-07,72.7,0.1931577622890472,9.742620932229329e-07,71.96,18,0.011
50,257928500848.0,0.191269963979721,1.8114122894985485e-06,71.6,0.1991031616926193,1.656988388276659e-06,72.0,18,0.011
60,308469683248.0,0.1911579519510269,1.446763803869544e-06,72.4,0.2002854943275451,1.8095716995958355e-06,71.74,18,0.011
70,359010865648.0,0.1899763941764831,2.53360963142768e-06,71.98,0.2005530893802642,2.2029380488675088e-06,71.71,18,0.011
80,409552048048.0,0.1808610260486602,3.5800567275146022e-06,71.78,0.1944695711135864,4.051731593790464e-06,71.84,18,0.011
90,460093230448.0,0.1714119762182235,9.340089491161052e-06,72.44,0.1910649836063385,6.124592346168356e-06,72.26,18,0.011
-1,169011856.0,0.8222370743751526,2.528585127947736e-07,15.32,0.8150236010551453,3.4353087130512e-07,15.47,19,0.011
0,5239367536.0,0.677086353302002,2.743221614309732e-07,17.96,0.6734501719474792,3.555604450866668e-07,17.96,19,0.011
10,55942924336.0,0.1671375334262848,4.610378425695673e-07,70.44,0.177728459239006,4.874998467130354e-07,70.12,19,0.011
20,106646481136.0,0.1731678396463394,4.416377237248526e-07,70.96,0.1776232719421386,5.263241860120615e-07,71.04,19,0.011
30,157350037936.0,0.1750853061676025,5.720415288124059e-07,71.82,0.1794203370809555,5.682721848643268e-07,72.17,19,0.011
40,208053594736.0,0.1889597326517105,4.424404664860049e-07,74.16,0.2058661431074142,8.986538659883081e-07,72.99,19,0.011
50,258757151536.0,0.1945771425962448,1.2336911368038272e-06,74.68,0.2188107520341873,1.3436578001346788e-06,73.56,19,0.011
60,309460708336.0,0.1969077289104461,1.249329784513975e-06,73.96,0.219947800040245,1.4401641692529663e-06,73.74,19,0.011
