Epoch,test accuracy,training accuracy
123,63.73,"(64.64105263157894, 61409, 95000)"
124,61.98,"(64.81157894736842, 61571, 95000)"
125,62.95,"(65.40631578947368, 62136, 95000)"
126,60.99,"(65.53368421052632, 62257, 95000)"
127,61.43,"(65.75578947368422, 62468, 95000)"
128,64.23,"(66.21473684210527, 62904, 95000)"
129,64.07,"(66.48105263157895, 63157, 95000)"
130,60.7,"(66.52315789473684, 63197, 95000)"
131,62.59,"(66.78105263157894, 63442, 95000)"
132,63.06,"(67.41578947368421, 64045, 95000)"
133,64.48,"(67.58526315789474, 64206, 95000)"
134,65.91,"(67.95894736842105, 64561, 95000)"
135,66.69,"(68.33368421052631, 64917, 95000)"
136,62.32,"(68.47684210526316, 65053, 95000)"
137,67.06,"(69.00842105263158, 65558, 95000)"
138,65.74,"(69.37473684210526, 65906, 95000)"
139,66.5,"(69.48, 66006, 95000)"
140,66.86,"(70.0821052631579, 66578, 95000)"
141,67.81,"(70.10105263157895, 66596, 95000)"
142,68.16,"(70.49578947368421, 66971, 95000)"
143,68.09,"(71.05052631578947, 67498, 95000)"
144,65.06,"(71.09894736842105, 67544, 95000)"
145,66.61,"(71.72526315789473, 68139, 95000)"
146,68.46,"(72.14842105263158, 68541, 95000)"
147,67.08,"(72.54, 68913, 95000)"
148,69.19,"(72.93052631578948, 69284, 95000)"
149,68.85,"(73.17894736842105, 69520, 95000)"
