Epoch,sparse_flops,val_set_gradient_magnintude,val_set_Hg_magnitude,val_accuracy,test_set_gradient_magnitude,test_set_Hg_magnitude,test_accuracy,individual
63,277214177280.0,0.43490598,8.930161e-07,87.8,0.39858025,1.1270001e-06,85.78,0
64,281545648800.0,0.43630776,1.0424305e-06,88.02,0.39779687,1.1233593e-06,85.79,0
65,285877120320.0,0.43421036,1.3265426e-06,87.66,0.3967481,1.1202001e-06,85.78,0
66,290208591840.0,0.4294604,1.4499552e-06,87.82,0.39509368,1.1225437e-06,85.79,0
67,294540063360.0,0.4287378,1.225859e-06,87.98,0.39329368,1.1254675e-06,85.84,0
68,298871534880.0,0.42592588,1.4701828e-06,88.46,0.39059773,1.1185612e-06,85.92,0
69,303203006400.0,0.42294535,1.2728265e-06,88.26,0.38779497,1.1108377e-06,85.98,0
70,307534477920.0,0.41958565,1.1352738e-06,88.4,0.38454378,1.1085825e-06,86.04,0
71,311865949440.0,0.41491002,1.1706454e-06,88.02,0.3811283,1.1003583e-06,86.09,0
72,316197420960.0,0.41402975,1.2359113e-06,88.22,0.37704778,1.1012993e-06,86.16,0
73,320528892480.0,0.40524557,1.3560815e-06,88.36,0.3728379,1.111097e-06,86.17,0
74,324860364000.0,0.40199414,1.3246973e-06,88.72,0.368185,1.096355e-06,86.26,0
75,329191835520.0,0.39838758,1.0851344e-06,89.26,0.36325935,1.0860151e-06,86.32,0
76,333523307040.0,0.39065963,9.408324e-07,88.9,0.35837278,1.0729433e-06,86.45,0
77,337854778560.0,0.38262752,1.3492186e-06,89.28,0.35331064,1.0633356e-06,86.58,0
78,342186250080.0,0.38243294,1.1003805e-06,89.1,0.34827408,1.0533362e-06,86.65,0
79,346517721600.0,0.3768894,1.038598e-06,89.58,0.34333038,1.0430224e-06,86.7,0
80,350849193120.0,0.36628267,9.146345e-07,88.82,0.33870882,1.0296236e-06,86.75,0
81,355180664640.0,0.36407837,1.0331171e-06,89.28,0.3341163,1.0237762e-06,86.84,0
82,359512136160.0,0.35896066,1.1431823e-06,89.62,0.32961258,1.0250772e-06,86.88,0
83,363843607680.0,0.35514516,1.411602e-06,89.68,0.3255842,1.0283585e-06,86.94,0
84,368175079200.0,0.35118696,8.7401145e-07,90.0,0.3220177,1.040871e-06,87.1,0
85,372506550720.0,0.3491205,1.1502353e-06,90.5,0.31863472,1.0408137e-06,87.1,0
86,376838022240.0,0.34258026,1.6332446e-06,89.9,0.31577474,1.0413964e-06,87.12,0
87,381169493760.0,0.34014824,9.956262e-07,89.46,0.31312057,1.0325122e-06,87.18,0
88,385500965280.0,0.33436325,1.245543e-06,90.12,0.31064704,1.0320452e-06,87.21,0
89,389832436800.0,0.33233282,1.0246144e-06,89.86,0.30843186,1.0247785e-06,87.26,0
90,394163908320.0,0.33331966,1.0413404e-06,90.36,0.30655998,1.0294515e-06,87.28,0
91,398495379840.0,0.33060825,8.1768854e-07,90.64,0.30484268,1.022178e-06,87.3,0
92,402826851360.0,0.33171517,1.0974071e-06,89.74,0.30357492,1.024738e-06,87.31,0
93,407158322880.0,0.32512227,1.2485262e-06,90.08,0.30266663,1.0244494e-06,87.31,0
94,411489794400.0,0.3245648,1.1380635e-06,90.18,0.30210614,1.0250404e-06,87.32,0
95,415821265920.0,0.3275443,1.187057e-06,90.14,0.30173135,1.025476e-06,87.32,0
96,420152737440.0,0.32855707,9.698844e-07,90.52,0.30147612,1.0261535e-06,87.32,0
97,424484208960.0,0.32427314,1.112476e-06,90.48,0.30130643,1.0250681e-06,87.33,0
98,428815680480.0,0.3240071,1.0938778e-06,89.9,0.3012201,1.0260726e-06,87.33,0
99,433147152000.0,0.32711628,1.0218571e-06,90.58,0.30119637,1.0262493e-06,87.33,0
