Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy,individual,sigma,Architecture,Pruner,Dataset,Pruning Rate
-1,115770612.0,3.303552627563477,19.38,3.303191661834717,19.2,0,0.005,VGG19,GMP,cifar10,0.9
0,14008244052.0,0.4002527594566345,96.72,0.3823837637901306,91.07,0,0.005,VGG19,GMP,cifar10,0.9
10,152932978452.0,0.0910217836499214,99.18,0.124057225883007,93.25,0,0.005,VGG19,GMP,cifar10,0.9
20,291857712852.0,0.0622714459896087,99.0,0.1261337846517563,93.09,0,0.005,VGG19,GMP,cifar10,0.9
30,430782447252.0,0.0494030900299549,99.26,0.132447063922882,93.21,0,0.005,VGG19,GMP,cifar10,0.9
40,569707181652.0,0.0516602210700511,99.28,0.1285837739706039,93.09,0,0.005,VGG19,GMP,cifar10,0.9
50,708631916052.0,0.0581448525190353,99.44,0.1168929040431976,93.11,0,0.005,VGG19,GMP,cifar10,0.9
60,847556650452.0,0.0592424273490905,99.58,0.1620306521654129,93.07,0,0.005,VGG19,GMP,cifar10,0.9
70,986481384852.0,0.0408598706126213,99.64,0.1565902382135391,93.2,0,0.005,VGG19,GMP,cifar10,0.9
80,1125406119252.0,0.0392571724951267,99.7,0.1568242162466049,93.14,0,0.005,VGG19,GMP,cifar10,0.9
90,1264330853652.0,0.0474436841905117,99.66,0.1668360531330108,93.16,0,0.005,VGG19,GMP,cifar10,0.9
100,1403255588052.0,0.060345783829689,99.72,0.1855318993330001,93.17,0,0.005,VGG19,GMP,cifar10,0.9
101,1403255588052.0,0.0353568270802497,99.74,0.1855318993330001,93.17,0,0.005,VGG19,GMP,cifar10,0.9
-1,115692480.0,3.198092460632324,18.88,3.1968507766723637,18.92,1,0.005,VGG19,GMP,cifar10,0.9
0,13998790080.0,0.3922306299209595,96.56,0.3853863477706909,90.7,1,0.005,VGG19,GMP,cifar10,0.9
10,152829766080.0,0.0893996059894561,99.1,0.1475727260112762,92.96,1,0.005,VGG19,GMP,cifar10,0.9
20,291660742080.0,0.0695629119873046,99.18,0.1568553298711776,93.05,1,0.005,VGG19,GMP,cifar10,0.9
30,430491718080.0,0.0502534881234169,99.28,0.158526062965393,93.11,1,0.005,VGG19,GMP,cifar10,0.9
40,569322694080.0,0.0428673066198825,99.36,0.1567424237728119,93.21,1,0.005,VGG19,GMP,cifar10,0.9
50,708153670080.0,0.0429894886910915,99.24,0.1825798004865646,93.15,1,0.005,VGG19,GMP,cifar10,0.9
60,846984646080.0,0.037030030041933,99.44,0.1653717160224914,93.13,1,0.005,VGG19,GMP,cifar10,0.9
70,985815622080.0,0.050827071070671,99.46,0.149275541305542,93.24,1,0.005,VGG19,GMP,cifar10,0.9
80,1124646598080.0,0.0395790301263332,99.46,0.181401252746582,93.14,1,0.005,VGG19,GMP,cifar10,0.9
90,1263477574080.0,0.0381056889891624,99.4,0.1696873307228088,93.23,1,0.005,VGG19,GMP,cifar10,0.9
100,1402308550080.0,0.0431929416954517,99.74,0.1738036721944809,93.11,1,0.005,VGG19,GMP,cifar10,0.9
101,1402308550080.0,0.0463300794363021,99.62,0.1738036721944809,93.11,1,0.005,VGG19,GMP,cifar10,0.9
-1,115853316.0,3.312361001968384,20.8,3.367563247680664,19.46,2,0.005,VGG19,GMP,cifar10,0.9
0,14018251236.0,0.4119298458099365,96.06,0.3780611455440521,90.46,2,0.005,VGG19,GMP,cifar10,0.9
10,153042230436.0,0.0875004455447197,99.04,0.1457964777946472,92.87,2,0.005,VGG19,GMP,cifar10,0.9
20,292066209636.0,0.0643027424812316,99.06,0.1769330352544784,92.77,2,0.005,VGG19,GMP,cifar10,0.9
30,431090188836.0,0.0613737031817436,99.32,0.178885281085968,92.79,2,0.005,VGG19,GMP,cifar10,0.9
