Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy,individual,sigma,Architecture,Pruner,Dataset,Pruning Rate
60,943253336224.0,0.269116997718811,89.34,0.7206667065620422,69.47,3,0.003,resnet50,GMP,cifar100,0.9
70,1097863909024.0,0.2925999164581299,90.9,0.6949418187141418,70.02,3,0.003,resnet50,GMP,cifar100,0.9
80,1252474481824.0,0.2463310658931732,91.58,0.7219641804695129,70.17,3,0.003,resnet50,GMP,cifar100,0.9
90,1407085054624.0,0.3134876489639282,92.58,0.8019477128982544,70.56,3,0.003,resnet50,GMP,cifar100,0.9
100,1561695627424.0,0.3411107957363128,92.84,0.8737836480140686,70.55,3,0.003,resnet50,GMP,cifar100,0.9
101,1561695627424.0,0.3220914602279663,93.42,0.8737836480140686,70.55,3,0.003,resnet50,GMP,cifar100,0.9
-1,128790448.0,2.407444953918457,5.36,2.4369711875915527,5.03,4,0.003,resnet50,GMP,cifar100,0.9
0,15583644208.0,1.1612350940704346,35.88,1.127504587173462,34.72,4,0.003,resnet50,GMP,cifar100,0.9
10,170132181808.0,0.3711049556732178,69.64,0.5820139646530151,59.88,4,0.003,resnet50,GMP,cifar100,0.9
20,324680719408.0,0.3040703237056732,77.44,0.629351794719696,64.32,4,0.003,resnet50,GMP,cifar100,0.9
30,479229257008.0,0.3209657669067383,81.52,0.718782365322113,66.42,4,0.003,resnet50,GMP,cifar100,0.9
40,633777794608.0,0.3371737003326416,83.9,0.7337753772735596,67.55,4,0.003,resnet50,GMP,cifar100,0.9
50,788326332208.0,0.2572232186794281,86.9,0.6911269426345825,68.82,4,0.003,resnet50,GMP,cifar100,0.9
60,942874869808.0,0.3205892741680145,88.38,0.820426344871521,69.31,4,0.003,resnet50,GMP,cifar100,0.9
70,1097423407408.0,0.3058001399040222,89.3,0.7750952839851379,69.61,4,0.003,resnet50,GMP,cifar100,0.9
80,1251971945008.0,0.2983672618865967,91.0,0.7589384317398071,70.14,4,0.003,resnet50,GMP,cifar100,0.9
90,1406520482608.0,0.2991279363632202,92.5,0.8214642405509949,70.4,4,0.003,resnet50,GMP,cifar100,0.9
100,1561069020208.0,0.2778957486152649,92.72,0.8096151947975159,70.31,4,0.003,resnet50,GMP,cifar100,0.9
101,1561069020208.0,0.2683685719966888,92.68,0.8096151947975159,70.31,4,0.003,resnet50,GMP,cifar100,0.9
-1,128980048.0,2.8963239192962646,3.92,2.876491069793701,4.03,5,0.003,resnet50,GMP,cifar100,0.9
0,15606585808.0,1.1900724172592163,35.76,1.1431045532226562,34.05,5,0.003,resnet50,GMP,cifar100,0.9
10,170382643408.0,0.3940207660198211,70.18,0.6007388830184937,60.07,5,0.003,resnet50,GMP,cifar100,0.9
20,325158701008.0,0.3130415081977844,78.78,0.5611392855644226,64.6,5,0.003,resnet50,GMP,cifar100,0.9
30,479934758608.0,0.3010033965110779,81.94,0.6274709701538086,66.8,5,0.003,resnet50,GMP,cifar100,0.9
40,634710816208.0,0.2874496281147003,85.26,0.6677267551422119,68.09,5,0.003,resnet50,GMP,cifar100,0.9
50,789486873808.0,0.2801942229270935,87.7,0.6350874304771423,69.04,5,0.003,resnet50,GMP,cifar100,0.9
60,944262931408.0,0.2969343066215515,88.62,0.7415605783462524,69.19,5,0.003,resnet50,GMP,cifar100,0.9
70,1099038989008.0,0.2749392688274383,90.46,0.7511488795280457,69.77,5,0.003,resnet50,GMP,cifar100,0.9
80,1253815046608.0,0.2806544303894043,91.52,0.7153105139732361,70.08,5,0.003,resnet50,GMP,cifar100,0.9
90,1408591104208.0,0.2731357514858246,92.14,0.7789954543113708,70.32,5,0.003,resnet50,GMP,cifar100,0.9
100,1563367161808.0,0.3069386482238769,93.14,0.7468429803848267,70.71,5,0.003,resnet50,GMP,cifar100,0.9
101,1563367161808.0,0.3411129713058471,93.54,0.7468429803848267,70.71,5,0.003,resnet50,GMP,cifar100,0.9
-1,128902768.0,1.7437429428100586,8.48,1.781035304069519,7.91,6,0.003,resnet50,GMP,cifar100,0.9
0,15597234928.0,1.2039735317230225,31.62,1.1717443466186523,30.79,6,0.003,resnet50,GMP,cifar100,0.9
10,170280556528.0,0.3774697780609131,68.96,0.5108647346496582,60.08,6,0.003,resnet50,GMP,cifar100,0.9
20,324963878128.0,0.2550662457942962,76.46,0.5615808367729187,64.16,6,0.003,resnet50,GMP,cifar100,0.9
30,479647199728.0,0.2752912640571594,81.64,0.6706531047821045,65.99,6,0.003,resnet50,GMP,cifar100,0.9
40,634330521328.0,0.2858983874320984,84.9,0.6163966655731201,67.63,6,0.003,resnet50,GMP,cifar100,0.9
50,789013842928.0,0.2915374934673309,86.38,0.7077276110649109,68.47,6,0.003,resnet50,GMP,cifar100,0.9
60,943697164528.0,0.2858223021030426,88.84,0.69808030128479,69.11,6,0.003,resnet50,GMP,cifar100,0.9
70,1098380486128.0,0.3416198194026947,89.86,0.7161247730255127,69.61,6,0.003,resnet50,GMP,cifar100,0.9
80,1253063807728.0,0.3124948143959045,91.04,0.7779048085212708,69.82,6,0.003,resnet50,GMP,cifar100,0.9
90,1407747129328.0,0.3248823881149292,92.22,0.8421046137809753,69.72,6,0.003,resnet50,GMP,cifar100,0.9
100,1562430450928.0,0.2719596028327942,93.02,0.8911200165748596,69.86,6,0.003,resnet50,GMP,cifar100,0.9
101,1562430450928.0,0.2601908445358276,93.3,0.8911200165748596,69.86,6,0.003,resnet50,GMP,cifar100,0.9
-1,128815648.0,2.28252911567688,4.96,2.2694013118743896,5.02,7,0.003,resnet50,GMP,cifar100,0.9
0,15586693408.0,1.103569746017456,34.74,1.0508949756622314,33.04,7,0.003,resnet50,GMP,cifar100,0.9
10,170165471008.0,0.3811637163162231,68.9,0.5952281951904297,59.78,7,0.003,resnet50,GMP,cifar100,0.9
20,324744248608.0,0.2785999476909637,77.4,0.541806161403656,64.95,7,0.003,resnet50,GMP,cifar100,0.9
30,479323026208.0,0.262853056192398,82.46,0.6160459518432617,67.19,7,0.003,resnet50,GMP,cifar100,0.9
40,633901803808.0,0.2643128633499145,84.44,0.604134738445282,68.5,7,0.003,resnet50,GMP,cifar100,0.9
50,788480581408.0,0.2876817584037781,86.68,0.6538259387016296,69.17,7,0.003,resnet50,GMP,cifar100,0.9
60,943059359008.0,0.260799765586853,88.44,0.6617344617843628,69.85,7,0.003,resnet50,GMP,cifar100,0.9
70,1097638136608.0,0.3185784816741943,89.88,0.6925165057182312,70.46,7,0.003,resnet50,GMP,cifar100,0.9
80,1252216914208.0,0.276324063539505,91.44,0.6564101576805115,70.56,7,0.003,resnet50,GMP,cifar100,0.9
90,1406795691808.0,0.2752738296985626,91.74,0.7638621926307678,70.92,7,0.003,resnet50,GMP,cifar100,0.9
100,1561374469408.0,0.28424933552742,93.06,0.7943394184112549,70.99,7,0.003,resnet50,GMP,cifar100,0.9
101,1561374469408.0,0.3084528744220733,93.28,0.7943394184112549,70.99,7,0.003,resnet50,GMP,cifar100,0.9
-1,128808976.0,2.587955951690674,4.76,2.64585280418396,4.67,8,0.003,resnet50,GMP,cifar100,0.9
0,15585886096.0,1.1046686172485352,31.3,1.109355092048645,30.34,8,0.003,resnet50,GMP,cifar100,0.9
10,170156657296.0,0.4074709713459015,68.7,0.5927447080612183,59.31,8,0.003,resnet50,GMP,cifar100,0.9
20,324727428496.0,0.2919365167617798,76.34,0.5547454953193665,64.3,8,0.003,resnet50,GMP,cifar100,0.9
30,479298199696.0,0.3428228795528412,79.86,0.6724027991294861,66.52,8,0.003,resnet50,GMP,cifar100,0.9
40,633868970896.0,0.3320292830467224,84.2,0.7276521325111389,68.15,8,0.003,resnet50,GMP,cifar100,0.9
50,788439742096.0,0.3575672507286072,85.1,0.7888948917388916,68.78,8,0.003,resnet50,GMP,cifar100,0.9
60,943010513296.0,0.3254865407943725,87.76,0.8160627484321594,69.56,8,0.003,resnet50,GMP,cifar100,0.9
70,1097581284496.0,0.2837531864643097,88.6,0.7977688312530518,69.77,8,0.003,resnet50,GMP,cifar100,0.9
80,1252152055696.0,0.274295836687088,90.56,0.839962363243103,70.32,8,0.003,resnet50,GMP,cifar100,0.9
90,1406722826896.0,0.3765536546707153,91.36,0.8737236261367798,70.34,8,0.003,resnet50,GMP,cifar100,0.9
100,1561293598096.0,0.3106475174427032,92.22,0.8590570092201233,70.55,8,0.003,resnet50,GMP,cifar100,0.9
101,1561293598096.0,0.2990250289440155,92.28,0.8590570092201233,70.55,8,0.003,resnet50,GMP,cifar100,0.9
-1,128819440.0,2.2314627170562744,5.42,2.2363061904907227,5.45,9,0.003,resnet50,GMP,cifar100,0.9
0,15587152240.0,1.1899464130401611,35.4,1.1426407098770142,33.65,9,0.003,resnet50,GMP,cifar100,0.9
10,170170480240.0,0.3787001967430115,70.16,0.5034021139144897,60.07,9,0.003,resnet50,GMP,cifar100,0.9
20,324753808240.0,0.2786628901958465,78.3,0.5461649298667908,64.41,9,0.003,resnet50,GMP,cifar100,0.9
30,479337136240.0,0.3375008106231689,82.4,0.597557008266449,66.72,9,0.003,resnet50,GMP,cifar100,0.9
40,633920464240.0,0.2507947385311126,85.02,0.6740509867668152,67.82,9,0.003,resnet50,GMP,cifar100,0.9
50,788503792240.0,0.2882079184055328,87.6,0.669680655002594,68.81,9,0.003,resnet50,GMP,cifar100,0.9
60,943087120240.0,0.2790393829345703,88.82,0.6981392502784729,69.67,9,0.003,resnet50,GMP,cifar100,0.9
70,1097670448240.0,0.2944316267967224,89.56,0.7249192595481873,69.9,9,0.003,resnet50,GMP,cifar100,0.9
