Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy,individual,sigma,Architecture,Pruner,Dataset,Pruning Rate
60,995681184240.0,0.035958182066679,99.64,0.1685988754034042,93.48,3,0.003,VGG19,GMP,cifar10,0.9
70,1158885312240.0,0.0297159645706415,99.72,0.1644800007343292,93.42,3,0.003,VGG19,GMP,cifar10,0.9
80,1322089440240.0,0.0305873174220323,99.74,0.1778470575809478,93.48,3,0.003,VGG19,GMP,cifar10,0.9
90,1485293568240.0,0.0302956532686948,99.76,0.1686534881591797,93.43,3,0.003,VGG19,GMP,cifar10,0.9
100,1648497696240.0,0.0463382899761199,99.7,0.1577436029911041,93.41,3,0.003,VGG19,GMP,cifar10,0.9
101,1648497696240.0,0.0445302538573741,99.8,0.1577436029911041,93.41,3,0.003,VGG19,GMP,cifar10,0.9
-1,135952284.0,2.1354544162750244,34.16,2.18784499168396,31.34,4,0.003,VGG19,GMP,cifar10,0.9
0,16450226364.0,0.2135941982269287,99.14,0.2154988497495651,92.94,4,0.003,VGG19,GMP,cifar10,0.9
10,179592967164.0,0.047559205442667,99.32,0.1290665864944458,93.51,4,0.003,VGG19,GMP,cifar10,0.9
20,342735707964.0,0.0397838652133941,99.68,0.1301319301128387,93.49,4,0.003,VGG19,GMP,cifar10,0.9
30,505878448764.0,0.0467767976224422,99.48,0.1410280764102935,93.46,4,0.003,VGG19,GMP,cifar10,0.9
40,669021189564.0,0.0445819534361362,99.68,0.1481850147247314,93.45,4,0.003,VGG19,GMP,cifar10,0.9
50,832163930364.0,0.038409698754549,99.6,0.1596895307302475,93.46,4,0.003,VGG19,GMP,cifar10,0.9
60,995306671164.0,0.0376599915325641,99.7,0.1713388711214065,93.46,4,0.003,VGG19,GMP,cifar10,0.9
70,1158449411964.0,0.0329016707837581,99.64,0.1624697744846344,93.5,4,0.003,VGG19,GMP,cifar10,0.9
80,1321592152764.0,0.0408287532627582,99.7,0.1898631602525711,93.45,4,0.003,VGG19,GMP,cifar10,0.9
90,1484734893564.0,0.041239071637392,99.82,0.1891055554151535,93.54,4,0.003,VGG19,GMP,cifar10,0.9
100,1647877634364.0,0.0307830329984426,99.84,0.1959423571825027,93.47,4,0.003,VGG19,GMP,cifar10,0.9
101,1647877634364.0,0.029158079996705,99.74,0.1959423571825027,93.47,4,0.003,VGG19,GMP,cifar10,0.9
-1,135971856.0,2.037843942642212,36.12,2.09766149520874,32.21,5,0.003,VGG19,GMP,cifar10,0.9
0,16452594576.0,0.2044161856174469,99.26,0.195153996348381,93.22,5,0.003,VGG19,GMP,cifar10,0.9
10,179618821776.0,0.0504455678164958,99.48,0.1324819475412368,93.68,5,0.003,VGG19,GMP,cifar10,0.9
20,342785048976.0,0.0400041304528713,99.52,0.1649736315011978,93.67,5,0.003,VGG19,GMP,cifar10,0.9
30,505951276176.0,0.040940772742033,99.58,0.1442060470581054,93.67,5,0.003,VGG19,GMP,cifar10,0.9
40,669117503376.0,0.0324623361229896,99.64,0.1748308837413787,93.66,5,0.003,VGG19,GMP,cifar10,0.9
50,832283730576.0,0.0572892241179943,99.68,0.1655775904655456,93.78,5,0.003,VGG19,GMP,cifar10,0.9
60,995449957776.0,0.0305058099329471,99.7,0.1992795020341873,93.59,5,0.003,VGG19,GMP,cifar10,0.9
70,1158616184976.0,0.0307460278272628,99.7,0.1706112176179886,93.67,5,0.003,VGG19,GMP,cifar10,0.9
80,1321782412176.0,0.0343635492026805,99.74,0.1853828430175781,93.58,5,0.003,VGG19,GMP,cifar10,0.9
90,1484948639376.0,0.044623989611864,99.74,0.2217116802930832,93.52,5,0.003,VGG19,GMP,cifar10,0.9
100,1648114866576.0,0.021987373009324,99.84,0.1914180964231491,93.62,5,0.003,VGG19,GMP,cifar10,0.9
101,1648114866576.0,0.0308010894805192,99.72,0.1914180964231491,93.62,5,0.003,VGG19,GMP,cifar10,0.9
-1,135983340.0,2.166447639465332,34.56,2.204058885574341,31.96,6,0.003,VGG19,GMP,cifar10,0.9
0,16453984140.0,0.2067003101110458,99.04,0.2153448611497879,92.96,6,0.003,VGG19,GMP,cifar10,0.9
10,179633992140.0,0.052456185221672,99.54,0.1556881368160247,93.34,6,0.003,VGG19,GMP,cifar10,0.9
20,342814000140.0,0.0342651642858982,99.58,0.1600563675165176,93.34,6,0.003,VGG19,GMP,cifar10,0.9
30,505994008140.0,0.0428766123950481,99.3,0.1718475818634033,93.28,6,0.003,VGG19,GMP,cifar10,0.9
40,669174016140.0,0.0349819250404834,99.58,0.1751379966735839,93.34,6,0.003,VGG19,GMP,cifar10,0.9
50,832354024140.0,0.0258326269686222,99.6,0.1577742099761963,93.33,6,0.003,VGG19,GMP,cifar10,0.9
60,995534032140.0,0.0377393811941146,99.6,0.1650148183107376,93.35,6,0.003,VGG19,GMP,cifar10,0.9
70,1158714040140.0,0.0271484050899744,99.54,0.1725922375917434,93.32,6,0.003,VGG19,GMP,cifar10,0.9
80,1321894048140.0,0.0303469989448785,99.76,0.1628621071577072,93.37,6,0.003,VGG19,GMP,cifar10,0.9
90,1485074056140.0,0.0257230643182992,99.72,0.1804929375648498,93.28,6,0.003,VGG19,GMP,cifar10,0.9
100,1648254064140.0,0.0229338351637125,99.88,0.2100452929735183,93.33,6,0.003,VGG19,GMP,cifar10,0.9
101,1648254064140.0,0.0401710458099842,99.74,0.2100452929735183,93.33,6,0.003,VGG19,GMP,cifar10,0.9
-1,135977796.0,2.438705444335937,31.08,2.470118761062622,29.34,7,0.003,VGG19,GMP,cifar10,0.9
0,16453313316.0,0.2128171920776367,99.08,0.2132854759693145,93.05,7,0.003,VGG19,GMP,cifar10,0.9
10,179626668516.0,0.0591791160404682,99.52,0.1538297832012176,93.44,7,0.003,VGG19,GMP,cifar10,0.9
20,342800023716.0,0.0328020006418228,99.5,0.1359367817640304,93.4,7,0.003,VGG19,GMP,cifar10,0.9
30,505973378916.0,0.0378875583410263,99.5,0.168873056769371,93.49,7,0.003,VGG19,GMP,cifar10,0.9
40,669146734116.0,0.0324889495968818,99.64,0.1815605014562606,93.45,7,0.003,VGG19,GMP,cifar10,0.9
50,832320089316.0,0.0421254895627498,99.5,0.1973073035478592,93.45,7,0.003,VGG19,GMP,cifar10,0.9
60,995493444516.0,0.0326290987432003,99.76,0.1718732267618179,93.53,7,0.003,VGG19,GMP,cifar10,0.9
70,1158666799716.0,0.0395507141947746,99.8,0.1763472855091095,93.52,7,0.003,VGG19,GMP,cifar10,0.9
80,1321840154916.0,0.0350613370537757,99.66,0.1905369609594345,93.5,7,0.003,VGG19,GMP,cifar10,0.9
90,1485013510116.0,0.0262306425720453,99.72,0.2163888067007064,93.4,7,0.003,VGG19,GMP,cifar10,0.9
100,1648186865316.0,0.0327406860888004,99.88,0.1841311156749725,93.54,7,0.003,VGG19,GMP,cifar10,0.9
101,1648186865316.0,0.0338194258511066,99.76,0.1841311156749725,93.54,7,0.003,VGG19,GMP,cifar10,0.9
-1,135905820.0,2.2402703762054443,32.26,2.2865540981292725,29.32,8,0.003,VGG19,GMP,cifar10,0.9
0,16444604220.0,0.2213041931390762,99.12,0.2175276726484298,93.03,8,0.003,VGG19,GMP,cifar10,0.9
10,179531588220.0,0.0604504235088825,99.36,0.158740758895874,93.47,8,0.003,VGG19,GMP,cifar10,0.9
20,342618572220.0,0.0454147942364215,99.58,0.1588795185089111,93.48,8,0.003,VGG19,GMP,cifar10,0.9
30,505705556220.0,0.0380685031414032,99.5,0.1636239141225814,93.55,8,0.003,VGG19,GMP,cifar10,0.9
40,668792540220.0,0.0538869686424732,99.66,0.1754648685455322,93.55,8,0.003,VGG19,GMP,cifar10,0.9
50,831879524220.0,0.0451727323234081,99.62,0.1846816390752792,93.53,8,0.003,VGG19,GMP,cifar10,0.9
60,994966508220.0,0.0452956669032573,99.5,0.1686207801103592,93.55,8,0.003,VGG19,GMP,cifar10,0.9
70,1158053492220.0,0.0484406314790248,99.64,0.1851658225059509,93.57,8,0.003,VGG19,GMP,cifar10,0.9
80,1321140476220.0,0.0407932884991169,99.72,0.188180610537529,93.5,8,0.003,VGG19,GMP,cifar10,0.9
90,1484227460220.0,0.0279831327497959,99.74,0.1935961991548538,93.54,8,0.003,VGG19,GMP,cifar10,0.9
100,1647314444220.0,0.0348244123160839,99.88,0.1854053288698196,93.64,8,0.003,VGG19,GMP,cifar10,0.9
101,1647314444220.0,0.028639368712902,99.74,0.1854053437709808,93.64,8,0.003,VGG19,GMP,cifar10,0.9
-1,135972984.0,2.151322364807129,34.04,2.187966823577881,31.96,9,0.003,VGG19,GMP,cifar10,0.9
0,16452731064.0,0.2197464704513549,99.04,0.2225126773118972,92.91,9,0.003,VGG19,GMP,cifar10,0.9
10,179620311864.0,0.0462085716426372,99.48,0.137390062212944,93.36,9,0.003,VGG19,GMP,cifar10,0.9
20,342787892664.0,0.0553170666098594,99.64,0.1666748374700546,93.51,9,0.003,VGG19,GMP,cifar10,0.9
30,505955473464.0,0.0492895320057868,99.54,0.1683399230241775,93.31,9,0.003,VGG19,GMP,cifar10,0.9
40,669123054264.0,0.0413475297391414,99.58,0.1758012920618057,93.3,9,0.003,VGG19,GMP,cifar10,0.9
50,832290635064.0,0.0390949063003063,99.58,0.1955809593200683,93.43,9,0.003,VGG19,GMP,cifar10,0.9
60,995458215864.0,0.0402087680995464,99.78,0.1584973782300949,93.31,9,0.003,VGG19,GMP,cifar10,0.9
70,1158625796664.0,0.044254932552576,99.7,0.195589080452919,93.28,9,0.003,VGG19,GMP,cifar10,0.9
80,1321793377464.0,0.0300398003309965,99.66,0.1742583811283111,93.37,9,0.003,VGG19,GMP,cifar10,0.9
