Epoch,sparse_flops,val_set_gradient_magnintude,val_set_Hg_magnitude,val_accuracy,test_set_gradient_magnitude,test_set_Hg_magnitude,test_accuracy,individual,sigma,Architecture,Pruner,Dataset,Pruning Rate
30,122652978784.0,0.4056963920593261,2.8121300488237466e-07,69.7,0.3896704018115997,3.865790176860173e-07,68.15,3,0.001,resnet18,GMP,cifar10,0.9
40,162175957984.0,0.3026362657546997,6.493410751318152e-07,84.72,0.2954093813896179,6.865876684969408e-07,82.56,3,0.001,resnet18,GMP,cifar10,0.9
50,201698937184.0,0.2845084965229034,1.4762736100237817e-06,87.88,0.2836767733097076,1.75247816969204e-06,84.36,3,0.001,resnet18,GMP,cifar10,0.9
60,241221916384.0,0.2816008031368255,1.787586711543554e-06,86.9,0.2830223143100738,2.075449401672813e-06,84.48,3,0.001,resnet18,GMP,cifar10,0.9
70,280744895584.0,0.2781955599784851,2.4212756670749518e-06,87.38,0.2840236723423004,2.7841556402563583e-06,84.38,3,0.001,resnet18,GMP,cifar10,0.9
80,320267874784.0,0.272624522447586,5.793680884380592e-06,86.62,0.290623664855957,7.847531378502026e-06,83.78,3,0.001,resnet18,GMP,cifar10,0.9
90,359790853984.0,0.2360497266054153,1.2756521755363792e-05,86.7,0.2610279619693756,1.556746065034531e-05,83.87,3,0.001,resnet18,GMP,cifar10,0.9
-1,131674576.0,0.5335144996643066,2.545898780681455e-07,34.34,0.5593454241752625,2.7827184112538816e-07,33.09,4,0.001,resnet18,GMP,cifar10,0.9
0,4081911856.0,0.5270176529884338,2.263128635604517e-07,35.14,0.5530929565429688,2.811404158364894e-07,33.87,4,0.001,resnet18,GMP,cifar10,0.9
10,43584284656.0,0.4232844710350036,2.409691148841375e-07,57.18,0.4536934792995453,3.419026768369804e-07,55.36,4,0.001,resnet18,GMP,cifar10,0.9
20,83086657456.0,0.4056022763252258,2.6579681389193865e-07,62.3,0.4368812441825866,3.6004263392896974e-07,59.77,4,0.001,resnet18,GMP,cifar10,0.9
30,122589030256.0,0.3767390847206116,2.3901867507447605e-07,69.14,0.4082574546337127,4.048338553275244e-07,66.96,4,0.001,resnet18,GMP,cifar10,0.9
40,162091403056.0,0.2943911254405975,7.489237532354309e-07,83.18,0.3259838819503784,7.472355605386838e-07,80.53,4,0.001,resnet18,GMP,cifar10,0.9
50,201593775856.0,0.285957783460617,2.054852757282788e-06,86.58,0.3132308423519134,2.001188249778352e-06,83.48,4,0.001,resnet18,GMP,cifar10,0.9
60,241096148656.0,0.2846847772598266,1.8290111256646924e-06,87.4,0.312513917684555,2.405075747446972e-06,83.6,4,0.001,resnet18,GMP,cifar10,0.9
70,280598521456.0,0.286221832036972,2.796949047478847e-06,87.16,0.3113181293010711,3.3383169011358405e-06,83.65,4,0.001,resnet18,GMP,cifar10,0.9
80,320100894256.0,0.2797678709030151,9.330260581918992e-06,85.8,0.2947803139686584,1.0422611921967471e-05,83.46,4,0.001,resnet18,GMP,cifar10,0.9
90,359603267056.0,0.2333984822034835,1.892679210868664e-05,85.86,0.2527655363082886,2.1454163288581185e-05,83.52,4,0.001,resnet18,GMP,cifar10,0.9
-1,131690416.0,0.5848144292831421,2.0997553917823097e-07,31.46,0.5705748200416565,2.653973467658943e-07,32.36,5,0.001,resnet18,GMP,cifar10,0.9
0,4082402896.0,0.5758357048034668,2.6265044539286464e-07,32.62,0.5628136992454529,2.62689496821622e-07,33.16,5,0.001,resnet18,GMP,cifar10,0.9
10,43589527696.0,0.4619878232479095,2.065239357307292e-07,54.8,0.4526593387126922,3.376578945335496e-07,54.92,5,0.001,resnet18,GMP,cifar10,0.9
20,83096652496.0,0.4429926574230194,2.6920162099486333e-07,60.72,0.4346036612987518,3.545129914073186e-07,59.98,5,0.001,resnet18,GMP,cifar10,0.9
30,122603777296.0,0.4116811752319336,3.0628643798991106e-07,68.3,0.4035117626190185,3.970521618157363e-07,67.75,5,0.001,resnet18,GMP,cifar10,0.9
40,162110902096.0,0.3139698207378387,6.034072725924489e-07,83.14,0.3196252584457397,7.469557772310509e-07,81.29,5,0.001,resnet18,GMP,cifar10,0.9
50,201618026896.0,0.2890524268150329,1.951664671651088e-06,87.62,0.3051014244556427,1.9390531633689534e-06,84.41,5,0.001,resnet18,GMP,cifar10,0.9
60,241125151696.0,0.2918239235877991,1.8930334135802696e-06,87.8,0.3032484650611877,2.3331738248089096e-06,84.3,5,0.001,resnet18,GMP,cifar10,0.9
70,280632276496.0,0.2837929129600525,3.007146233358071e-06,87.88,0.299466460943222,3.225789441785309e-06,84.26,5,0.001,resnet18,GMP,cifar10,0.9
80,320139401296.0,0.2741020917892456,9.159414730675051e-06,86.48,0.2984112501144409,9.425060852663592e-06,83.47,5,0.001,resnet18,GMP,cifar10,0.9
90,359646526096.0,0.2282228469848632,1.8777216610033065e-05,85.96,0.2641450464725494,1.9336277546244677e-05,83.78,5,0.001,resnet18,GMP,cifar10,0.9
-1,131604400.0,0.6046274900436401,2.385294521900505e-07,31.18,0.5646318197250366,2.843100048721681e-07,32.53,6,0.001,resnet18,GMP,cifar10,0.9
0,4079736400.0,0.5965648293495178,2.3737418075597819e-07,31.52,0.5570048093795776,2.876466567158787e-07,33.16,6,0.001,resnet18,GMP,cifar10,0.9
10,43561056400.0,0.469569981098175,3.47508091635973e-07,58.0,0.4381081759929657,3.801447405749059e-07,58.28,6,0.001,resnet18,GMP,cifar10,0.9
20,83042376400.0,0.4472676515579223,3.0747474966119626e-07,63.98,0.4173283278942108,4.068251939770562e-07,63.63,6,0.001,resnet18,GMP,cifar10,0.9
30,122523696400.0,0.4082775115966797,3.300403363937221e-07,71.98,0.3818902671337127,4.474530896914075e-07,71.21,6,0.001,resnet18,GMP,cifar10,0.9
40,162005016400.0,0.3046296238899231,5.473648343468085e-07,84.02,0.306297093629837,7.96402559899434e-07,81.87,6,0.001,resnet18,GMP,cifar10,0.9
50,201486336400.0,0.2899636924266815,2.029368943112786e-06,86.36,0.3094936311244964,2.2538997654919517e-06,83.73,6,0.001,resnet18,GMP,cifar10,0.9
60,240967656400.0,0.2839243412017822,2.802001972668222e-06,86.62,0.3080118894577026,2.7474609396449523e-06,83.8,6,0.001,resnet18,GMP,cifar10,0.9
70,280448976400.0,0.2823106050491333,3.053741011171951e-06,87.04,0.3093848526477813,3.73324473912362e-06,83.91,6,0.001,resnet18,GMP,cifar10,0.9
80,319930296400.0,0.2714036405086517,8.56199494592147e-06,85.94,0.3055574893951416,9.838248843152542e-06,83.62,6,0.001,resnet18,GMP,cifar10,0.9
90,359411616400.0,0.2271125316619873,1.706864350126125e-05,86.32,0.2708849012851715,1.8028060367214493e-05,84.13,6,0.001,resnet18,GMP,cifar10,0.9
-1,131699104.0,0.5882039666175842,2.596438832824788e-07,30.96,0.5745375752449036,3.0778949167142855e-07,31.6,7,0.001,resnet18,GMP,cifar10,0.9
0,4082672224.0,0.5810588598251343,3.07332953752848e-07,32.26,0.5671892762184143,3.031442474821233e-07,32.3,7,0.001,resnet18,GMP,cifar10,0.9
10,43592403424.0,0.4655056595802307,2.716375036015961e-07,52.7,0.4573718011379242,3.485132822333981e-07,53.46,7,0.001,resnet18,GMP,cifar10,0.9
20,83102134624.0,0.446312814950943,2.405792827175901e-07,58.26,0.439460813999176,3.61858809583282e-07,58.5,7,0.001,resnet18,GMP,cifar10,0.9
30,122611865824.0,0.4145418703556061,2.5551136673129804e-07,66.68,0.4097703397274017,3.957282217470493e-07,65.96,7,0.001,resnet18,GMP,cifar10,0.9
40,162121597024.0,0.3155853152275085,5.774916758127802e-07,81.98,0.3201803267002105,6.28264558599767e-07,80.08,7,0.001,resnet18,GMP,cifar10,0.9
50,201631328224.0,0.2881614565849304,1.4437771369557597e-06,87.1,0.2978119552135467,1.4800589269725606e-06,83.88,7,0.001,resnet18,GMP,cifar10,0.9
60,241141059424.0,0.2862654328346252,1.3782303085463354e-06,87.38,0.2956069111824035,1.75952027348103e-06,84.14,7,0.001,resnet18,GMP,cifar10,0.9
70,280650790624.0,0.2810111045837402,2.21886443796393e-06,87.9,0.2913347780704498,2.401898882453679e-06,84.34,7,0.001,resnet18,GMP,cifar10,0.9
80,320160521824.0,0.2597555816173553,4.904178240394685e-06,86.3,0.2812452316284179,7.673554136999883e-06,83.93,7,0.001,resnet18,GMP,cifar10,0.9
90,359670253024.0,0.2322932630777359,1.5025960237835534e-05,85.86,0.262687474489212,1.7058924640878104e-05,83.85,7,0.001,resnet18,GMP,cifar10,0.9
-1,131571664.0,0.5651293396949768,2.962021881103283e-07,33.68,0.5620746612548828,2.948546011793951e-07,33.72,8,0.001,resnet18,GMP,cifar10,0.9
0,4078721584.0,0.5572354197502136,2.48371662792124e-07,34.26,0.5551242828369141,2.907428893195174e-07,34.49,8,0.001,resnet18,GMP,cifar10,0.9
10,43550220784.0,0.4534716308116913,3.009120348451688e-07,55.16,0.4524428248405456,3.407888016226935e-07,54.78,8,0.001,resnet18,GMP,cifar10,0.9
20,83021719984.0,0.4366625845432281,2.834451322542009e-07,59.5,0.434956282377243,3.5237175666225085e-07,59.38,8,0.001,resnet18,GMP,cifar10,0.9
30,122493219184.0,0.406724065542221,3.410987687857414e-07,68.3,0.4052363634109497,3.9017615449665765e-07,66.83,8,0.001,resnet18,GMP,cifar10,0.9
40,161964718384.0,0.3086826205253601,6.268444963097863e-07,84.62,0.3009109497070312,6.923490900589968e-07,82.82,8,0.001,resnet18,GMP,cifar10,0.9
50,201436217584.0,0.284595251083374,1.1820394547612525e-06,87.86,0.2784081101417541,1.8379648736299716e-06,84.85,8,0.001,resnet18,GMP,cifar10,0.9
60,240907716784.0,0.2831805050373077,1.6634328403597465e-06,88.02,0.2771207988262176,2.2304320737021044e-06,84.78,8,0.001,resnet18,GMP,cifar10,0.9
70,280379215984.0,0.2829978466033935,2.1664836822310463e-06,87.4,0.277457594871521,2.9732614166277926e-06,84.61,8,0.001,resnet18,GMP,cifar10,0.9
80,319850715184.0,0.2651242613792419,5.729600161430426e-06,86.86,0.2752319872379303,8.185632395907305e-06,83.98,8,0.001,resnet18,GMP,cifar10,0.9
90,359322214384.0,0.2237575948238372,1.3960054275230505e-05,86.3,0.2496047168970108,1.581250035087578e-05,83.98,8,0.001,resnet18,GMP,cifar10,0.9
-1,131693968.0,0.5648287534713745,3.166759370287764e-07,32.54,0.5785319209098816,3.356107356466964e-07,32.11,9,0.001,resnet18,GMP,cifar10,0.9
0,4082513008.0,0.5585576295852661,2.945288883893227e-07,33.16,0.5711182951927185,3.2859713883226505e-07,32.8,9,0.001,resnet18,GMP,cifar10,0.9
10,43590703408.0,0.4490937292575836,2.824976093052101e-07,51.76,0.4674266874790191,3.397487375877972e-07,51.96,9,0.001,resnet18,GMP,cifar10,0.9
20,83098893808.0,0.4316807389259338,2.8879563274131215e-07,56.9,0.4512888789176941,3.520599989315088e-07,56.41,9,0.001,resnet18,GMP,cifar10,0.9
30,122607084208.0,0.4038360118865967,3.147686697957397e-07,65.22,0.4244853556156158,3.917459139302082e-07,63.54,9,0.001,resnet18,GMP,cifar10,0.9
40,162115274608.0,0.313526451587677,4.644438149625785e-07,83.12,0.3324084877967834,5.99509633048001e-07,81.03,9,0.001,resnet18,GMP,cifar10,0.9
50,201623465008.0,0.2874395251274109,1.1543697837623768e-06,87.42,0.3015930354595184,1.3168076975489384e-06,84.55,9,0.001,resnet18,GMP,cifar10,0.9
60,241131655408.0,0.2875063419342041,1.5943819562380668e-06,88.34,0.299648642539978,1.6216976064242772e-06,84.62,9,0.001,resnet18,GMP,cifar10,0.9
70,280639845808.0,0.2841495275497436,2.370904894632986e-06,87.44,0.2967263162136078,2.3186396447272277e-06,84.56,9,0.001,resnet18,GMP,cifar10,0.9
80,320148036208.0,0.2662706077098846,6.90139495418407e-06,86.48,0.2808146774768829,8.425150554103311e-06,84.07,9,0.001,resnet18,GMP,cifar10,0.9
90,359656226608.0,0.2294065058231353,1.9176139176124707e-05,87.28,0.2392229586839676,1.944236828421708e-05,84.33,9,0.001,resnet18,GMP,cifar10,0.9
-1,131833840.0,0.6225562691688538,2.394416185325099e-07,29.82,0.5730840563774109,2.989506242556672e-07,31.52,10,0.001,resnet18,GMP,cifar10,0.9
0,4086849040.0,0.6138771176338196,2.989440872624982e-07,31.02,0.5645847916603088,2.983999252137437e-07,32.47,10,0.001,resnet18,GMP,cifar10,0.9
10,43637001040.0,0.487065851688385,2.446953999424295e-07,52.38,0.4443264603614807,3.615103025822464e-07,54.08,10,0.001,resnet18,GMP,cifar10,0.9
20,83187153040.0,0.4667212963104248,2.771103027043864e-07,58.74,0.4246355891227722,3.734431572866015e-07,59.14,10,0.001,resnet18,GMP,cifar10,0.9
30,122737305040.0,0.4320270419120788,3.6745132092619325e-07,67.64,0.3910664618015289,4.060495371049911e-07,67.14,10,0.001,resnet18,GMP,cifar10,0.9
40,162287457040.0,0.3166905045509338,4.6502682948812446e-07,84.82,0.2895720899105072,6.765652074136597e-07,82.77,10,0.001,resnet18,GMP,cifar10,0.9
50,201837609040.0,0.2835161685943603,1.2423263342498103e-06,87.34,0.2789977788925171,1.63154334131832e-06,84.69,10,0.001,resnet18,GMP,cifar10,0.9
60,241387761040.0,0.2790856063365936,1.366506694466807e-06,87.74,0.279756486415863,1.9588105715229176e-06,84.81,10,0.001,resnet18,GMP,cifar10,0.9
70,280937913040.0,0.2757160663604736,2.489860207788297e-06,87.52,0.2811346650123596,2.643122115841834e-06,84.67,10,0.001,resnet18,GMP,cifar10,0.9
80,320488065040.0,0.2720295488834381,5.125271854922175e-06,86.36,0.2957161366939544,7.670796549064107e-06,84.1,10,0.001,resnet18,GMP,cifar10,0.9
90,360038217040.0,0.2410344034433365,1.351287301076809e-05,86.24,0.2750160694122314,1.583474295330234e-05,84.15,10,0.001,resnet18,GMP,cifar10,0.9
-1,131645248.0,0.6032089591026306,2.588971312889044e-07,31.98,0.576522171497345,2.8855734512944764e-07,32.33,11,0.001,resnet18,GMP,cifar10,0.9
0,4081002688.0,0.5959330797195435,2.837570320934901e-07,32.14,0.5681288242340088,2.8395243134582415e-07,33.08,11,0.001,resnet18,GMP,cifar10,0.9
10,43574577088.0,0.4729419350624084,3.147432607875089e-07,53.84,0.4522973299026489,3.4647354141270625e-07,53.86,11,0.001,resnet18,GMP,cifar10,0.9
20,83068151488.0,0.4525796175003052,2.856514811355737e-07,59.54,0.4331831932067871,3.691617678214243e-07,58.72,11,0.001,resnet18,GMP,cifar10,0.9
30,122561725888.0,0.4180425703525543,3.150002498841787e-07,67.86,0.4004793167114258,4.0727655914452043e-07,66.88,11,0.001,resnet18,GMP,cifar10,0.9
40,162055300288.0,0.3054854273796081,5.70815132050484e-07,83.28,0.3058575093746185,7.233669521156116e-07,81.73,11,0.001,resnet18,GMP,cifar10,0.9
50,201548874688.0,0.28237184882164,1.5741539982627728e-06,87.08,0.2985666990280151,1.7745137483871076e-06,84.12,11,0.001,resnet18,GMP,cifar10,0.9
60,241042449088.0,0.2802734673023224,1.8196016071669876e-06,87.08,0.2989831268787384,2.121073748639901e-06,84.32,11,0.001,resnet18,GMP,cifar10,0.9
70,280536023488.0,0.2784415185451507,2.746761538219289e-06,87.46,0.2979621887207031,2.8681511139438957e-06,84.28,11,0.001,resnet18,GMP,cifar10,0.9
80,320029597888.0,0.2631613612174988,8.546818207832985e-06,86.92,0.2898034453392029,8.40097800391959e-06,83.9,11,0.001,resnet18,GMP,cifar10,0.9
90,359523172288.0,0.2313834279775619,1.9063953004661016e-05,86.7,0.258708119392395,1.8229893612442535e-05,84.17,11,0.001,resnet18,GMP,cifar10,0.9
-1,131677888.0,0.5875859260559082,1.9441695542354867e-07,32.02,0.5660046935081482,2.6523088081376045e-07,32.9,12,0.001,resnet18,GMP,cifar10,0.9
0,4082014528.0,0.5789785385131836,3.011777778283431e-07,32.86,0.5583975315093994,2.666528757799824e-07,33.76,12,0.001,resnet18,GMP,cifar10,0.9
10,43585380928.0,0.4672911465167999,2.374042225028461e-07,55.86,0.4484172761440277,3.3881806871249864e-07,55.88,12,0.001,resnet18,GMP,cifar10,0.9
20,83088747328.0,0.4477832615375519,2.865838268917287e-07,61.44,0.4298767447471618,3.5807741483040445e-07,60.76,12,0.001,resnet18,GMP,cifar10,0.9
30,122592113728.0,0.4180806577205658,2.604753888135747e-07,69.44,0.3993905186653137,4.0302779780176934e-07,68.18,12,0.001,resnet18,GMP,cifar10,0.9
40,162095480128.0,0.3218980431556701,5.729639838136791e-07,84.24,0.3066768646240234,7.794833436491899e-07,81.94,12,0.001,resnet18,GMP,cifar10,0.9
50,201598846528.0,0.2889341711997986,1.958690518222284e-06,87.32,0.2837839722633362,2.191761950598448e-06,84.35,12,0.001,resnet18,GMP,cifar10,0.9
60,241102212928.0,0.2834948003292084,2.208312253060285e-06,87.88,0.282925933599472,2.6695213364291703e-06,84.44,12,0.001,resnet18,GMP,cifar10,0.9
70,280605579328.0,0.2748994529247284,2.7682724521582718e-06,87.44,0.2818171381950378,3.733211769940681e-06,84.25,12,0.001,resnet18,GMP,cifar10,0.9
80,320108945728.0,0.25430828332901,9.876918738882525e-06,86.56,0.27761971950531,1.162212538474705e-05,83.8,12,0.001,resnet18,GMP,cifar10,0.9
90,359612312128.0,0.2206365913152694,1.881806383607909e-05,86.14,0.2498467117547989,2.3838127162889577e-05,83.71,12,0.001,resnet18,GMP,cifar10,0.9
-1,131598976.0,0.5921708941459656,2.950275472812791e-07,32.3,0.5630495548248291,2.9215595986897824e-07,33.58,13,0.001,resnet18,GMP,cifar10,0.9
0,4079568256.0,0.5838903784751892,2.281775550727616e-07,32.92,0.5551600456237793,2.919072699114622e-07,34.52,13,0.001,resnet18,GMP,cifar10,0.9
10,43559261056.0,0.4677816927433014,2.425513798698376e-07,57.1,0.441220223903656,3.810587827501877e-07,57.86,13,0.001,resnet18,GMP,cifar10,0.9
20,83038953856.0,0.4482630491256714,2.811392789681122e-07,62.38,0.422267347574234,4.051028099638643e-07,62.84,13,0.001,resnet18,GMP,cifar10,0.9
30,122518646656.0,0.4168269634246826,3.512893727020128e-07,71.0,0.3899857699871063,4.436061828982929e-07,70.4,13,0.001,resnet18,GMP,cifar10,0.9
40,161998339456.0,0.3154242932796478,9.216575449499942e-07,86.32,0.2932073473930359,8.365769303964044e-07,84.01,13,0.001,resnet18,GMP,cifar10,0.9
50,201478032256.0,0.2886543869972229,2.2051447103876853e-06,87.4,0.2825202941894531,2.433332383589004e-06,84.73,13,0.001,resnet18,GMP,cifar10,0.9
60,240957725056.0,0.2866754829883575,3.223688509024214e-06,86.7,0.2844712734222412,3.0241674267017515e-06,84.46,13,0.001,resnet18,GMP,cifar10,0.9
70,280437417856.0,0.286622941493988,3.9135984479798935e-06,86.34,0.2900019288063049,4.284479473426472e-06,84.18,13,0.001,resnet18,GMP,cifar10,0.9
80,319917110656.0,0.2768815457820892,1.2127088666602504e-05,85.72,0.2855787277221679,1.3099393981974572e-05,83.73,13,0.001,resnet18,GMP,cifar10,0.9
90,359396803456.0,0.2204636484384536,2.218040390289389e-05,86.62,0.2339222878217697,2.547751682868693e-05,83.87,13,0.001,resnet18,GMP,cifar10,0.9
-1,131740816.0,0.5800197720527649,2.0562532654366805e-07,31.08,0.5800475478172302,3.246004780521617e-07,31.1,14,0.001,resnet18,GMP,cifar10,0.9
0,4083965296.0,0.5722551345825195,2.460488701672148e-07,31.7,0.5723736882209778,3.145345317534521e-07,31.84,14,0.001,resnet18,GMP,cifar10,0.9
10,43606210096.0,0.455873966217041,2.552262401422923e-07,52.84,0.4626385569572449,3.479207180134836e-07,52.58,14,0.001,resnet18,GMP,cifar10,0.9
20,83128454896.0,0.437394231557846,2.967228738270933e-07,57.8,0.4447329640388489,3.6615242038351436e-07,57.62,14,0.001,resnet18,GMP,cifar10,0.9
30,122650699696.0,0.4061499536037445,2.9149796887395496e-07,66.96,0.414303570985794,3.9708294252704956e-07,65.57,14,0.001,resnet18,GMP,cifar10,0.9
40,162172944496.0,0.3046213388442993,6.635541467403527e-07,83.4,0.3204587697982788,6.446865086218168e-07,80.53,14,0.001,resnet18,GMP,cifar10,0.9
50,201695189296.0,0.2851895987987518,1.2099391142328386e-06,87.58,0.3078567385673523,1.456727545701142e-06,83.7,14,0.001,resnet18,GMP,cifar10,0.9
60,241217434096.0,0.2845629751682281,1.84726843599492e-06,87.62,0.3079829216003418,1.7372658476233482e-06,84.0,14,0.001,resnet18,GMP,cifar10,0.9
70,280739678896.0,0.2800472676753998,2.4822873001539847e-06,87.68,0.3063967823982239,2.331338009753381e-06,83.97,14,0.001,resnet18,GMP,cifar10,0.9
80,320261923696.0,0.2685337662696838,5.879603577341186e-06,87.34,0.2948079407215118,6.946582743694307e-06,84.02,14,0.001,resnet18,GMP,cifar10,0.9
90,359784168496.0,0.2335376888513565,1.27847406474757e-05,86.78,0.2683562040328979,1.4627856216975488e-05,84.05,14,0.001,resnet18,GMP,cifar10,0.9
-1,131595232.0,0.588799774646759,3.123871579191473e-07,30.5,0.5743503570556641,3.3804263921410893e-07,31.33,15,0.001,resnet18,GMP,cifar10,0.9
0,4079452192.0,0.580893874168396,3.019416112692852e-07,31.42,0.5663045048713684,3.376661652509938e-07,32.22,15,0.001,resnet18,GMP,cifar10,0.9
