Epoch,sparse_flops,val_set_gradient_magnintude,val_set_Hg_magnitude,val_accuracy,test_set_gradient_magnitude,test_set_Hg_magnitude,test_accuracy
-1,0,0.910660445690155,4.005041319032898e-06,77.74,0.8445047736167908,3.455928435869282e-06,77.8
0,4331471520.0,0.5240092277526855,3.457102593529271e-06,89.7,0.4616164267063141,2.607532906040433e-06,86.99
10,47646186720.0,0.11853151768445969,6.921317890373757e-06,96.04,0.14519645273685455,4.637996880774153e-06,91.85
20,90960901920.0,0.11176327615976334,4.84033398606698e-06,96.82,0.1424339860677719,4.9716795729182195e-06,91.98
30,134275617120.0,0.10303568840026855,5.71064219911932e-06,96.58,0.13880151510238647,5.335911737347487e-06,92.13
40,177590332320.0,0.07209257781505585,7.81827202445129e-06,97.1,0.12736807763576508,6.776354439352872e-06,92.44
50,220905047520.0,0.06544870883226395,8.514982255292125e-06,97.76,0.12476322054862976,8.334185622516088e-06,92.68
60,264219762720.0,0.07037068158388138,9.929291081789415e-06,97.58,0.1307409703731537,8.570205864089075e-06,92.64
70,307534477920.0,0.057142432779073715,8.944129149313085e-06,97.22,0.13053041696548462,9.016787771543022e-06,92.68
80,350849193120.0,0.06897196173667908,1.1800903848779853e-05,97.78,0.13483303785324097,1.1130025086458772e-05,92.83
90,394163908320.0,0.06243404000997543,1.556939423608128e-05,97.9,0.13350635766983032,1.2251918633410241e-05,92.89
