Epoch,Prob 0 train accuracy,Prob 1 train accuracy,Prob 2 train accuracy,Prob 3 train accuracy,Prob 4 train accuracy,Prob 5 train accuracy,Prob 6 train accuracy,Prob 7 train accuracy,Prob 8 train accuracy,Prob 9 train accuracy,Prob 10 train accuracy,Prob 11 train accuracy,Prob 12 train accuracy,Prob 13 train accuracy,Prob 14 train accuracy,Prob 15 train accuracy,Prob 0 test accuracy,Prob 1 test accuracy,Prob 2 test accuracy,Prob 3 test accuracy,Prob 4 test accuracy,Prob 5 test accuracy,Prob 6 test accuracy,Prob 7 test accuracy,Prob 8 test accuracy,Prob 9 test accuracy,Prob 10 test accuracy,Prob 11 test accuracy,Prob 12 test accuracy,Prob 13 test accuracy,Prob 14 test accuracy,Prob 15 test accuracy,Final test accuracy
0,19.67999999660916,30.006666662597656,40.259999999321835,51.96888888617622,71.98444444173177,83.346666663954,89.98222221544054,73.38666665988498,59.87555555419922,31.408888886854385,10.655555554877386,10.535555554877387,10.302222221544055,62.29777777099609,94.86666666666666,98.06222222222222,25.09,37.42,47.09,60.6,76.54,84.66,89.02,88.65,74.9,30.11,10.03,10.02,10.01,79.55,90.59,90.92,90.98
1,26.30666666666667,38.78,50.444444440375435,62.5911111050076,80.50888888346354,91.52444443359374,96.59333332519532,94.87777777370877,84.76222221544054,46.76888888888889,13.297777777523464,10.577777777523465,10.688888888634576,90.93777777099609,99.43555554877388,99.48444444308811,26.67,36.0,46.54,61.71,76.95,85.2,88.54,87.61,78.42,37.85,10.96,10.22,10.32,80.94,90.72,90.9,90.98
2,28.65111110873752,39.2777777730306,50.64666666666667,62.302222220187716,80.88666666666667,91.48444443495009,96.21999999864366,93.31555555419922,89.22888888481988,55.084444440375435,21.95999999932183,17.366666663953993,14.015555552842882,92.56888888346354,99.51555554877388,99.53777777777778,29.29,35.91,47.44,61.58,77.22,85.13,88.27,86.78,75.8,44.78,14.29,18.79,17.73,80.94,90.81,90.95,90.98
3,30.364444441053603,39.286666663953994,51.08222222154405,62.4288888821072,81.18444444037543,91.25777776692708,95.99333332519531,92.26222221950955,88.03555555555556,59.42666666191949,29.415555552164715,25.148888887871635,21.808888885498046,94.09555554741753,99.45777777777778,99.46444444444444,30.91,39.25,49.78,61.98,77.35,85.21,88.2,86.21,77.26,51.87,31.87,24.86,27.52,79.65,90.81,90.9,90.98
4,30.61333333163791,39.5377777750651,50.78222222018772,61.41333332519531,80.80444443495008,91.0599999891493,95.95333332926432,93.17999999728733,86.78222222086589,57.891111104329426,36.68222221679687,27.60444444410536,24.471111109754773,92.84222222086589,99.41555555555556,99.44444444444444,31.8,38.19,49.98,63.34,78.01,85.42,87.94,86.9,78.13,61.25,36.34,21.72,28.45,74.55,90.81,90.96,90.98
5,31.513333332655165,39.764444439019094,51.38666666666666,62.33555555352105,80.94666666259765,91.01999999864367,95.85333333062066,91.71777777370876,86.75111111111111,62.0244444390191,38.79555555352105,28.09777777777778,24.493333333333332,92.21111110975477,99.37555555555555,99.45111111111112,30.92,34.71,47.91,60.36,77.6,85.64,88.08,86.11,78.82,71.13,50.94,38.5,28.57,83.7,90.87,90.93,90.98
6,31.57111111111111,39.57111110636393,51.151111105685764,62.137777770996095,81.4088888780382,91.11777776828342,95.9111111070421,92.18222222222222,87.13999999728733,69.83777777370877,45.53777777642144,30.122222219848634,26.41777777540419,95.20222221272786,99.43777777642144,99.49777777642144,31.58,37.8,49.58,62.72,77.53,85.38,87.94,87.38,78.18,64.32,44.41,28.31,28.81,87.41,90.83,90.98,90.98
7,31.784444444444443,40.35333333062066,51.58666666191949,62.1311111050076,80.96888888617622,91.05111110161675,95.89333332655166,93.87111110839844,86.699999995931,66.20888888617621,45.473333333333336,29.128888886854384,26.8866666659885,93.98444443766276,99.45777777099609,99.48222221544054,31.46,36.83,49.21,62.69,78.17,85.52,88.04,86.91,77.6,68.0,47.35,28.17,23.85,89.15,90.8,90.97,90.98
8,31.733333331298827,40.053333333333335,51.18888888346354,62.46444444037543,81.29999999186198,91.02666666124132,95.87777776963976,93.22222221137153,86.31111110297309,66.16222222086589,45.42888888888889,30.02888888821072,25.933333332655163,94.28666665988499,99.44888888888889,99.49111111111111,30.89,36.46,49.55,61.22,77.57,85.09,87.92,85.89,77.53,57.19,48.44,21.41,20.56,89.29,90.86,90.92,90.98
9,32.12222221883138,40.00222221883138,51.397777777777776,62.30444444308811,81.40666666259766,91.21111110568576,95.85555555419921,92.76444444173177,85.79111110432943,62.3977777750651,43.693333333333335,31.46222222137451,29.65111110839844,93.15777777642144,99.49555555555555,99.51777777777778,30.24,35.13,48.08,61.22,77.65,85.42,87.78,83.93,75.64,52.84,32.89,21.5,19.29,89.39,90.85,90.89,90.98
