Epoch,Prob 0 train accuracy,Prob 1 train accuracy,Prob 2 train accuracy,Prob 3 train accuracy,Prob 4 train accuracy,Prob 5 train accuracy,Prob 6 train accuracy,Prob 7 train accuracy,Prob 8 train accuracy,Prob 9 train accuracy,Prob 10 train accuracy,Prob 11 train accuracy,Prob 12 train accuracy,Prob 13 train accuracy,Prob 14 train accuracy,Prob 15 train accuracy,Prob 0 test accuracy,Prob 1 test accuracy,Prob 2 test accuracy,Prob 3 test accuracy,Prob 4 test accuracy,Prob 5 test accuracy,Prob 6 test accuracy,Prob 7 test accuracy,Prob 8 test accuracy,Prob 9 test accuracy,Prob 10 test accuracy,Prob 11 test accuracy,Prob 12 test accuracy,Prob 13 test accuracy,Prob 14 test accuracy,Prob 15 test accuracy,Final test accuracy
0,20.873333333333335,34.33555555013021,52.971111105685765,62.32888888888889,83.63111110026041,84.3711111070421,10.37777777709961,11.833333332994249,10.102222221544054,10.011111110432942,10.484444443766275,10.046666665988498,49.6644444390191,88.25111110975477,92.95777777642144,94.39777776963976,29.34,46.62,62.58,72.6,83.52,84.62,12.04,16.78,11.59,10.07,10.6,10.76,79.37,85.5,85.56,86.06,86.12
1,29.306666664971246,49.15555555555556,63.23777777642144,76.2088888888889,89.766666663954,93.27333332926432,17.477777775743274,31.437777774386937,17.122222221204968,19.206666663275826,27.15999999593099,30.744444439019098,91.79111110161675,95.12222222086588,95.54222221544053,95.82666665852865,30.76,47.98,64.02,73.36,83.64,85.02,29.82,42.11,28.39,39.97,50.32,61.55,85.05,85.41,85.65,86.05,86.12
2,31.40222221883138,49.746666663275825,63.96666666531033,76.18888888210721,89.74888888617622,93.31999999050564,33.275555554877386,42.526666666666664,45.76666666056315,53.98000000135634,64.1555555460612,77.52888888888889,94.22444444173178,95.27999999050564,95.55999999050564,95.89111110839843,32.28,49.24,64.23,72.72,83.72,84.81,43.62,49.41,61.78,62.2,65.08,79.98,85.48,85.52,85.55,86.06,86.12
3,32.29777777438694,50.31333333062066,64.3755555501302,76.23555554606119,89.64888888753255,92.83777777642145,44.5777777730306,48.17111111111111,56.70222221815321,59.6822222140842,66.56666666666666,89.37999999593099,94.17555555148654,94.95777776692708,95.38888888888889,95.72222222222223,31.46,48.17,63.91,71.91,83.53,84.65,46.81,43.74,56.97,59.55,64.1,84.22,85.33,85.39,85.54,86.08,86.12
4,32.584444439019094,49.76666666531033,64.57111110568576,76.1555555501302,89.48222221272786,92.85111110297309,50.24444443834093,43.58222222086589,57.615555546061195,59.499999998643666,64.24888888346354,91.91555555419922,94.19555555419922,95.19999999321831,95.49111111111111,95.7311111111111,31.96,48.47,63.98,71.61,83.38,84.53,50.42,46.12,57.19,59.11,65.04,84.88,85.47,85.42,85.64,86.19,86.12
5,33.13555555352105,49.475555552164714,64.56444444580079,76.02888888481988,89.41999999321831,92.67111110161676,50.408888885498044,44.031111108398434,56.75333332790799,58.66888888888889,63.31999999593099,91.18666666666667,94.22444443495009,95.20444443359375,95.45555555148654,95.79111110161675,31.96,49.12,63.57,70.8,83.54,84.78,45.9,43.51,55.4,55.28,58.45,80.23,84.21,85.32,85.6,86.13,86.12
6,33.46222222018772,49.584444439697265,64.73777777709961,75.85999999457465,89.41999999457465,92.81333332519532,53.408888886854385,51.98666666395399,62.079999998643665,65.34444444308811,69.44666665988498,90.67999999864367,94.39999999593098,95.24444443630642,95.56444443630642,95.89333332519531,31.93,47.48,63.19,70.24,83.52,84.68,47.73,41.33,51.47,56.13,60.6,76.12,83.62,85.41,85.55,86.15,86.12
7,33.41777777676052,49.228888886176215,64.49111110975477,75.96444443359375,89.36888888346354,92.72888887939453,54.66666666463216,46.7777777730306,60.28888888414171,62.15777777642144,65.99333332655165,88.82888888888888,94.30888888753255,95.03333333062066,95.24888888617622,95.69111110839843,33.13,49.17,64.35,72.73,83.37,84.47,50.75,39.02,49.57,53.03,57.94,77.41,85.22,85.36,85.58,86.19,86.12
8,33.433333331298826,49.29777777642144,64.37111111246745,75.94444444037543,89.24222221408421,92.46444443766276,53.4177777730306,45.83333332790799,57.7111111070421,59.47555555148654,62.94222222357856,87.91111110975477,94.25555555148655,95.10666665717231,95.45999999728733,95.75999999186197,32.76,47.48,63.92,70.64,83.38,84.47,48.37,34.64,46.51,49.11,54.12,76.75,84.99,85.36,85.63,86.1,86.12
9,33.57333333163791,48.80666666327583,64.31333332926432,75.88888888210721,89.33777777235242,92.54222221272786,53.079999998643665,43.768888887532555,55.899999993218316,59.11555554877387,63.735555548773874,86.2088888821072,94.11333333062066,95.10222221950954,95.44666666531033,95.84666666531032,32.82,48.55,63.59,70.87,83.38,84.54,45.28,38.16,51.02,53.17,56.88,75.67,84.99,85.42,85.66,86.15,86.12
