;name;train_acc;eval_acc
0;train-classifier;0.9736222222222222;0.8789
1;train-features-0;0.35935555555555554;0.3757
2;train-features-11;0.8696;0.8337
3;train-features-15;0.9584888888888888;0.8698
4;train-features-18;0.9732444444444445;0.8815
5;train-features-21;0.9736666666666667;0.8804
6;train-features-24;0.9735333333333334;0.8779
7;train-features-28;0.9716;0.8771
8;train-features-31;0.9687111111111111;0.8761
9;train-features-34;0.9684;0.8758
10;train-features-37;0.9686666666666667;0.876
11;train-features-4;0.6637555555555555;0.6796
12;train-features-40;0.9698666666666667;0.8771
13;train-features-43;0.9710888888888889;0.8777
14;train-features-46;0.9717777777777777;0.8787
15;train-features-49;0.9731333333333333;0.8783
16;train-features-8;0.7765111111111112;0.7716
