Epoch,sparse_flops,val_set_gradient_magnintude,val_set_Hg_magnitude,val_accuracy,test_set_gradient_magnitude,test_set_Hg_magnitude,test_accuracy
-1,86166736.0,0.619391143321991,7.571112519144663e-07,28.28,0.6103151440620422,9.083804570764187e-07,30.36
0,2671168816.0,0.541029691696167,7.084372555254959e-07,31.8,0.53025883436203,9.441857855563285e-07,34.5
10,28521189616.0,0.22290153801441193,1.0382810842202161e-06,65.94,0.2306639403104782,1.2750850828524563e-06,68.26
20,54371210416.0,0.22212322056293488,1.514992959528172e-06,67.68,0.22944122552871704,1.3808069070364581e-06,69.18
30,80221231216.0,0.22348496317863464,1.2566497389343567e-06,68.68,0.2302456945180893,1.4718528973389766e-06,70.53
40,106071252016.0,0.2129276543855667,2.6350962798460387e-06,71.66,0.23982098698616028,2.3963386865943903e-06,72.52
50,131921272816.0,0.20430342853069305,3.799744035859476e-06,73.16,0.23643182218074799,4.223863015795359e-06,73.68
60,157771293616.0,0.19474643468856812,4.5964575292600784e-06,72.7,0.2325313538312912,4.641874511435162e-06,73.91
70,183621314416.0,0.18798016011714935,4.850930054089986e-06,73.96,0.22351768612861633,5.241362032393226e-06,74.3
80,209471335216.0,0.16963531076908112,8.93108608579496e-06,75.24,0.22042542695999146,8.075247933447827e-06,74.98
90,235321356016.0,0.14600470662117004,9.818172657105606e-06,76.3,0.21478243172168732,1.0588929399091285e-05,75.93
