Epoch,sparse_flops,val_set_gradient_magnintude,val_set_Hg_magnitude,val_accuracy,test_set_gradient_magnitude,test_set_Hg_magnitude,test_accuracy
-1,131598064.0,0.5987027287483215,2.661561211425578e-07,29.74,0.566089391708374,3.0967649422564136e-07,31.38
0,4079539984.0,0.5910928249359131,2.329177277715644e-07,30.54,0.5582352876663208,3.0778022619415424e-07,32.26
10,43558959184.0,0.47146275639533997,2.939320609129936e-07,54.1,0.4434083104133606,3.5491629546413606e-07,55.12
20,83038378384.0,0.4525299668312073,2.752114198756317e-07,60.22,0.4240250587463379,3.737943927717424e-07,60.42
30,122517797584.0,0.4182518422603607,3.3596197113183734e-07,69.54,0.3905195891857147,4.084318447894475e-07,68.89
40,161997216784.0,0.30997589230537415,6.221973194442398e-07,85.18,0.2925047278404236,7.337361012105248e-07,83.26
50,201476635984.0,0.2846924960613251,1.8194217545897118e-06,88.28,0.27669888734817505,1.903705879158224e-06,84.94
60,240956055184.0,0.2827872931957245,2.189823135267943e-06,88.02,0.2755599617958069,2.280478611282888e-06,84.88
70,280435474384.0,0.2756340801715851,1.8381670088274404e-06,88.08,0.27457141876220703,3.0971234536991687e-06,84.85
80,319914893584.0,0.264721155166626,7.451779765688116e-06,85.66,0.274120956659317,8.894097845768556e-06,84.26
90,359394312784.0,0.23274610936641693,1.671633253863547e-05,85.72,0.25058111548423767,1.6864583813003264e-05,84.31
