Epoch,sparse_flops,val_set_gradient_magnintude,val_set_Hg_magnitude,val_accuracy,test_set_gradient_magnitude,test_set_Hg_magnitude,test_accuracy
-1,131709616.0,0.582050621509552,2.0420313262548007e-07,30.46,0.5719605088233948,2.387088215982658e-07,30.83
0,4082998096.0,0.574674665927887,1.9071667622938548e-07,31.56,0.5650761127471924,2.4272515020129504e-07,31.52
10,43595882896.0,0.4707050323486328,3.10982841256191e-07,49.58,0.46202144026756287,3.5328102399034833e-07,50.88
20,83108767696.0,0.4532984495162964,2.469087405643222e-07,54.56,0.44459784030914307,3.686800482682884e-07,55.87
30,122621652496.0,0.4239225387573242,3.651125837222935e-07,64.12,0.41536232829093933,4.0937857193057425e-07,63.99
40,162134537296.0,0.3205934464931488,5.807313527839142e-07,84.2,0.3109642267227173,7.125997854018351e-07,82.54
50,201647422096.0,0.2742592990398407,1.7887740568767185e-06,87.66,0.27946606278419495,1.7154337683678023e-06,84.22
60,241160306896.0,0.2696344256401062,1.472278313485731e-06,87.42,0.2794477641582489,2.063279680442065e-06,84.06
70,280673191696.0,0.2671230733394623,1.9742531094379956e-06,87.12,0.2836433947086334,2.855045522665023e-06,83.88
80,320186076496.0,0.2648652195930481,7.5012985689681955e-06,85.78,0.29283568263053894,8.719993275008164e-06,83.36
90,359698961296.0,0.24020016193389893,1.7436845155316405e-05,85.56,0.27840277552604675,1.7799411580199376e-05,83.41
