Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy
-1,67816716.0,0.6002042293548584,85.84,0.5718925595283508,83.51
0,8205822636.0,0.1241203099489212,95.22,0.1596374809741974,90.73
10,89585881836.0,0.10241648554801941,97.34,0.1850249171257019,91.65
20,170965941036.0,0.09040295332670212,97.74,0.2047160267829895,92.02
30,252346000236.0,0.08920711278915405,98.14,0.1917765885591507,92.28
40,333726059436.0,0.06782404333353043,98.32,0.15805482864379883,92.4
50,415106118636.0,0.07879490405321121,98.62,0.17953035235404968,92.53
60,496486177836.0,0.09248130023479462,98.56,0.24302208423614502,92.46
70,577866237036.0,0.08936728537082672,98.5,0.23415620625019073,92.51
80,659246296236.0,0.07383044064044952,98.92,0.1815171092748642,92.53
90,740626355436.0,0.06446786969900131,99.0,0.1794106662273407,92.58
100,822006414636.0,0.07237274944782257,98.9,0.16338497400283813,92.71
101,822006414636.0,0.060589749366045,98.94,0.16338497400283813,92.71
