Epoch,Prob 0 train accuracy,Prob 1 train accuracy,Prob 2 train accuracy,Prob 3 train accuracy,Prob 4 train accuracy,Prob 5 train accuracy,Prob 6 train accuracy,Prob 0 test accuracy,Prob 1 test accuracy,Prob 2 test accuracy,Prob 3 test accuracy,Prob 4 test accuracy,Prob 5 test accuracy,Prob 6 test accuracy
0,1.446331013589045,1.146327855824197,4.0074106043899125,2.251602648027302,8.157980610573183,4.944262569940151,43.270981800892606,2.359999998474121,2.62,6.2700000045776365,4.03,12.14999997253418,10.089999995422364,53.92
1,2.4147622602337466,2.3389719887572045,6.006379014536019,4.569521783712024,12.054863735678788,9.820103368264343,57.074284988417936,2.590000004577637,3.3599999969482424,6.329999975585937,6.050000001525879,12.559999963378907,12.169999966430664,55.75999996337891
2,2.402130548694934,2.4410783272080474,5.914799102631457,4.9158412192858885,11.78854514091401,12.267497549674493,58.96798913138712,2.4,3.599999999809265,6.809999999237061,4.959999998855591,13.069999966430665,17.019999966430664,56.44000000610352
3,2.464236465225378,3.0642427810813344,5.813745407866476,4.773734459519483,11.495910483960921,12.302234758699461,59.70062842104206,2.4,3.95,6.309999963378906,5.9799999954223635,11.610000003051757,14.859999963378906,57.17000001220703
4,2.451604752890992,2.9221360216411894,5.9379572417906985,5.681112431919193,11.985389320791068,13.191717806100245,60.053263717963134,2.639999998474121,3.169999999809265,6.039999996185303,5.019999999427795,10.789999978637695,12.859999995422363,57.849999951171874
5,2.4389730419369386,2.8537142497391264,5.584269307580983,4.50320529659168,10.927483446160187,11.203275822500418,60.64274360248682,2.5000000007629395,3.89,5.9799999954223635,4.4799999969482425,11.590000003051758,14.469999981689453,57.03999996948242
6,2.5421320223946573,3.1768755457998807,5.929536099652192,4.744260465804272,11.101169484308073,13.260139580035162,60.61432225714809,2.3699999977111816,3.7099999992370605,7.02,6.98999999923706,14.289999984741211,15.55999998474121,57.10999994506836
7,2.4589732523023407,3.1389804102724246,6.06637964525828,5.800061053015746,12.133811935113442,12.196970492970634,60.56484804870312,2.3499999992370606,2.9199999992370604,5.679999981689453,5.299999993896485,11.269999981689454,16.04999999847412,57.44999998779297
8,2.4084464044881826,2.9642417290911958,5.860061684669104,5.047421550982628,12.12118022431499,13.155927957658408,60.653270032534124,2.45,3.9700000030517577,6.539999990844726,6.879999963378906,13.600000012207031,18.779999978637694,57.45999995727539
9,2.4305519006617677,3.0326635018365167,6.049537363686719,5.2474236569003905,11.9569679677024,13.060137476074964,60.63748039609652,2.640000001525879,3.659999999427795,7.21,7.059999981689453,14.029999990844727,16.959999990844725,57.17
10,2.5252897399597605,3.1505594793827325,6.125327635489521,5.487426182821144,12.288550405201457,12.433815092429054,60.75748165754104,2.499999996948242,3.9699999954223633,6.220000001525879,5.52999999923706,11.679999987792968,15.249999987792968,57.25
11,2.494763102347874,3.100032631990203,5.768481772975355,4.580048210632249,11.482226129599582,13.012768555077004,60.83853514143115,2.43,3.58,6.349999998092652,5.21,12.109999984741211,13.150000006103516,57.57999995727539
12,2.4621311802328454,2.715818061473642,5.426372908786966,4.931630858544391,11.239065674435752,11.446436277262697,60.699586314285874,2.599999999809265,3.609999998474121,5.55000000076294,4.559999993133545,11.339999998474122,10.920000001525878,57.55999993896484
13,2.465289108258719,2.940030947646502,6.076906072178505,5.4168991252740275,11.804334782742442,12.406446384569712,60.660638534161535,2.54,3.6299999992370604,6.409999999046326,5.74,12.209999981689453,13.529999990844727,57.3399999206543
14,2.5147633135289267,2.996873650458335,5.888483037009882,5.248476299233526,11.483278772258979,12.152759503213469,60.82906136223489,2.5400000007629395,3.109999997711182,4.870000001525879,4.69999998626709,11.299999987792969,11.569999978637695,57.32999996948242
15,2.4652891085372954,3.0874009198189474,5.925325528055903,5.246371014567255,12.036968809605714,12.364340676888814,60.73958673534293,2.7,4.239999998474121,8.159999995422364,6.609999998092651,12.300000009155273,14.789999975585937,57.55999993896484
16,2.441078326881787,2.8631880332997492,5.7674291309684795,5.20321266455322,11.91170433355917,12.458025873785909,60.5480057639844,2.9,4.37,7.179999998092652,5.6899999992370605,12.059999989318849,14.380000001525879,57.93999998168945
17,2.4842366761516965,3.142138338250614,5.968483879008564,4.996894703637783,11.768544932955407,13.56119538018083,60.59221675439409,2.54,3.659999999809265,7.560000001525879,7.869999998474121,14.349999993896484,14.319999989318848,57.37999998168945
18,2.4442362542752174,3.217928609468657,6.1190117783435465,5.376898704543224,12.028547668752172,13.130664532086145,60.63748038918984,2.439999999809265,3.499999998855591,7.089999999237061,8.129999999809264,14.320000006103516,18.120000001525877,56.97
19,2.4610785378997098,2.9095043098438786,6.0032210874412435,5.427425551024734,11.881177697320087,12.967504918594736,60.82274550587696,2.480000003051758,4.039999987792969,7.13,7.09,13.559999926757813,17.509999926757814,57.530000018310545
20,2.486341961398963,3.1158222721597255,6.014800156137452,5.747428920650762,12.326445542224691,13.89804103186028,60.84274571423711,2.7599999998092652,4.389999998092652,7.259999998092652,6.309999996185303,13.689999990844727,17.03999998474121,57.200000012207035
21,2.541079379735261,2.993715722480146,5.916904388813585,4.78215560198425,11.994863102366523,12.683291403760077,60.54695312522005,2.5,3.0899999996185303,6.400000001525879,6.42,13.769999996948242,16.440000004577637,57.37999997558594
22,2.4126569750780837,2.8421351804857657,5.753744776185512,5.201107379560688,11.865388055471577,13.295929429822197,60.66484910134578,2.4799999980926515,3.939999994659424,6.709999995422363,6.600000006103516,13.170000024414062,16.699999966430664,57.259999981689454
23,2.4916051748590755,2.8263455396361157,5.683217718005952,4.582153496277303,11.128538194988314,10.833798251009839,60.69958631083253,2.499999999809265,3.329999999809265,5.879999999237061,5.299999999046325,12.159999990844726,15.510000006103516,57.3799999206543
24,2.4389730419369386,2.9747681550326392,5.67163864884796,5.083211401708289,11.88117769580423,12.436973019313017,60.663796459128086,2.4699999977111817,3.6199999908447267,6.329999993896484,5.439999996948242,11.47999998474121,12.869999978637695,57.189999993896485
25,2.475815534641869,3.0231897176911344,5.982168233159088,5.081106116178682,11.720123368705764,12.358024821815848,60.540637270990345,2.479999999809265,3.0699999998092653,5.509999990844727,6.1099999946594235,13.849999978637696,14.989999978637695,57.24999995727539
26,2.4389730418892546,2.966347013335839,5.783218770533166,4.915841219401334,11.828545562392703,11.722228653793666,60.790113577813955,2.4899999996185302,3.6999999990463257,5.789999993133545,4.599999997711182,12.05999998474121,10.909999989318848,56.87000000610352
27,2.4389730419369386,2.867398603937335,5.999010516246505,5.592690449182414,11.754860578172439,12.609606416548255,60.799587360463555,2.5899999992370604,3.749999998474121,6.629999998474121,6.449999993896484,13.489999995422364,16.59,57.13999993896484
28,2.4263413298133676,2.9810840116415385,5.614795945145185,5.07900083118615,11.514858051639319,13.335929853700158,60.76800808156508,2.61,3.2899999994277955,7.759999999809265,8.49,15.83999999923706,21.869999990844725,57.60999993896484
29,2.4989736731009056,3.2305603211705995,6.320066526614522,5.932694028282902,12.16328593024914,13.622248654465977,60.7364287991731,2.6399999931335447,3.879999993133545,6.359999995422363,5.580000001525879,11.769999966430664,15.259999963378906,56.73999993286133
30,2.4263413298133676,2.8368719671410996,5.553742669288969,5.347424709658496,11.825387635508742,12.658027980185532,60.35221422977837,2.5599999946594236,3.370000001525879,6.2699999938964845,4.819999981689453,12.199999969482421,17.629999987792967,57.70999995117187
31,2.5042368868195166,2.8821356015428297,5.59374309118929,4.67899662113251,11.912756975987675,12.248549984355208,60.94906262283615,2.3999999994277954,2.449999999809265,5.619999999046326,4.359999999427796,11.209999998474121,15.319999981689453,56.89999993286133
32,2.449499468646349,2.886346172295861,5.741113064157309,5.454794260570592,11.844335203146985,13.06013747453903,60.60169054780526,2.53,3.8499999992370606,5.830000000762939,5.149999998474121,10.859999996948241,12.580000003051758,57.199999945068356
