Epoch,test accuracy,training accuracy
0,24.89,"(20.782, 10391, 50000)"
1,35.96,"(30.364, 15182, 50000)"
2,41.53,"(39.496, 19748, 50000)"
3,44.34,"(46.786, 23393, 50000)"
4,55.29,"(51.492, 25746, 50000)"
5,53.81,"(55.17, 27585, 50000)"
6,57.98,"(57.646, 28823, 50000)"
7,56.8,"(60.328, 30164, 50000)"
8,59.33,"(60.754, 30377, 50000)"
9,60.29,"(62.03, 31015, 50000)"
10,60.22,"(63.31, 31655, 50000)"
11,57.16,"(64.31, 32155, 50000)"
12,63.69,"(67.436, 33718, 50000)"
13,64.61,"(69.038, 34519, 50000)"
14,71.59,"(69.548, 34774, 50000)"
15,65.27,"(70.842, 35421, 50000)"
16,61.84,"(70.444, 35222, 50000)"
17,70.25,"(71.15, 35575, 50000)"
18,59.87,"(71.864, 35932, 50000)"
19,70.76,"(71.792, 35896, 50000)"
20,69.71,"(72.626, 36313, 50000)"
21,72.66,"(72.872, 36436, 50000)"
22,64.44,"(73.128, 36564, 50000)"
23,61.28,"(73.106, 36553, 50000)"
24,69.09,"(73.578, 36789, 50000)"
25,64.28,"(73.744, 36872, 50000)"
26,65.96,"(73.824, 36912, 50000)"
27,66.8,"(74.026, 37013, 50000)"
28,67.86,"(74.114, 37057, 50000)"
29,66.78,"(74.132, 37066, 50000)"
30,71.07,"(74.624, 37312, 50000)"
31,72.02,"(74.358, 37179, 50000)"
32,61.09,"(74.634, 37317, 50000)"
33,72.15,"(74.838, 37419, 50000)"
34,64.76,"(75.142, 37571, 50000)"
35,62.68,"(74.938, 37469, 50000)"
36,64.74,"(75.282, 37641, 50000)"
37,61.78,"(75.24, 37620, 50000)"
38,65.16,"(75.672, 37836, 50000)"
39,60.48,"(75.638, 37819, 50000)"
40,67.31,"(75.696, 37848, 50000)"
41,73.44,"(75.58, 37790, 50000)"
42,67.71,"(75.676, 37838, 50000)"
43,63.92,"(76.108, 38054, 50000)"
44,70.67,"(76.082, 38041, 50000)"
45,62.68,"(76.072, 38036, 50000)"
46,58.84,"(76.146, 38073, 50000)"
47,58.41,"(76.228, 38114, 50000)"
48,65.84,"(76.598, 38299, 50000)"
49,56.27,"(76.29, 38145, 50000)"
50,70.23,"(76.716, 38358, 50000)"
51,71.47,"(76.462, 38231, 50000)"
52,68.75,"(76.49, 38245, 50000)"
53,73.86,"(76.64, 38320, 50000)"
54,54.04,"(76.572, 38286, 50000)"
55,61.47,"(77.272, 38636, 50000)"
56,66.62,"(76.9, 38450, 50000)"
57,64.09,"(77.132, 38566, 50000)"
58,60.01,"(77.01, 38505, 50000)"
59,76.76,"(77.2, 38600, 50000)"
60,62.84,"(77.428, 38714, 50000)"
61,66.93,"(77.656, 38828, 50000)"
62,70.0,"(77.554, 38777, 50000)"
63,69.12,"(77.588, 38794, 50000)"
64,51.88,"(77.654, 38827, 50000)"
65,71.93,"(77.866, 38933, 50000)"
66,48.03,"(78.042, 39021, 50000)"
67,63.31,"(78.024, 39012, 50000)"
68,72.41,"(78.004, 39002, 50000)"
69,73.03,"(77.92, 38960, 50000)"
70,68.36,"(78.28, 39140, 50000)"
