Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy
-1,128748112.0,2.3325581550598145,5.32,2.370187282562256,4.48
0,15578521552.0,1.1648205518722534,32.24,1.15619957447052,31.93
10,170076255952.0,0.34414470195770264,68.52,0.5388175249099731,59.87
20,324573990352.0,0.2846461236476898,76.4,0.5953422784805298,64.64
30,479071724752.0,0.27135398983955383,80.9,0.649584174156189,66.82
40,633569459152.0,0.2962716221809387,84.14,0.709995687007904,67.95
50,788067193552.0,0.2818417549133301,86.9,0.7558454275131226,68.89
60,942564927952.0,0.30185526609420776,88.3,0.7677773833274841,69.51
70,1097062662352.0,0.3181765675544739,89.64,0.716212272644043,69.98
80,1251560396752.0,0.3718379735946655,90.5,0.8563658595085144,70.18
90,1406058131152.0,0.31631702184677124,92.26,0.851396918296814,70.69
100,1560555865552.0,0.3542228043079376,92.62,0.9326454401016235,70.74
101,1560555865552.0,0.3406432867050171,92.58,0.9326454401016235,70.74
