Name,Dense Accuracy,Pruned Accuracy
resnet50_softpool_normal_cifar10_1784693448.2460418_rf_level_4_recording_diverse_pooling_100_no_ffcv_test_acc_89.41.pth,89.41,88.75
resnet50_softpool_normal_cifar10_1784693143.032153_rf_level_4_recording_diverse_pooling_100_no_ffcv_test_acc_89.8.pth,89.8,89.47
resnet50_softpool_normal_cifar10_1784692654.5222259_rf_level_4_recording_diverse_pooling_100_no_ffcv_test_acc_89.22.pth,89.22,89.01
