Epoch,test accuracy,training accuracy
0,58.26,"(44.112, 22056, 50000)"
1,67.37,"(62.514, 31257, 50000)"
2,73.34,"(70.742, 35371, 50000)"
3,76.59,"(75.272, 37636, 50000)"
4,77.52,"(77.744, 38872, 50000)"
5,80.01,"(79.906, 39953, 50000)"
6,82.62,"(81.884, 40942, 50000)"
7,82.18,"(82.922, 41461, 50000)"
8,81.9,"(84.294, 42147, 50000)"
9,82.48,"(85.176, 42588, 50000)"
10,83.88,"(86.14, 43070, 50000)"
11,84.74,"(86.93, 43465, 50000)"
12,86.33,"(87.706, 43853, 50000)"
13,85.67,"(88.28, 44140, 50000)"
14,83.46,"(88.5, 44250, 50000)"
15,85.35,"(89.17, 44585, 50000)"
16,85.67,"(89.632, 44816, 50000)"
17,85.87,"(90.132, 45066, 50000)"
18,87.09,"(90.608, 45304, 50000)"
19,86.55,"(90.782, 45391, 50000)"
20,85.69,"(91.316, 45658, 50000)"
21,88.28,"(91.46, 45730, 50000)"
22,86.79,"(91.742, 45871, 50000)"
23,87.83,"(92.084, 46042, 50000)"
24,87.99,"(92.164, 46082, 50000)"
25,88.44,"(92.664, 46332, 50000)"
26,87.54,"(92.802, 46401, 50000)"
27,86.91,"(93.02, 46510, 50000)"
28,87.42,"(93.264, 46632, 50000)"
29,88.03,"(93.596, 46798, 50000)"
30,88.09,"(93.518, 46759, 50000)"
31,89.05,"(93.894, 46947, 50000)"
32,88.29,"(94.404, 47202, 50000)"
33,88.89,"(94.032, 47016, 50000)"
34,88.47,"(94.42, 47210, 50000)"
35,89.06,"(94.51, 47255, 50000)"
36,88.42,"(94.678, 47339, 50000)"
37,89.17,"(94.9, 47450, 50000)"
38,89.2,"(95.34, 47670, 50000)"
39,88.96,"(95.272, 47636, 50000)"
40,88.29,"(95.376, 47688, 50000)"
41,88.96,"(95.624, 47812, 50000)"
42,88.35,"(95.604, 47802, 50000)"
43,89.3,"(95.828, 47914, 50000)"
44,89.3,"(96.064, 48032, 50000)"
45,88.87,"(96.248, 48124, 50000)"
46,88.19,"(96.284, 48142, 50000)"
47,88.94,"(96.574, 48287, 50000)"
48,88.02,"(96.628, 48314, 50000)"
49,88.44,"(97.002, 48501, 50000)"
50,89.94,"(96.926, 48463, 50000)"
51,89.7,"(97.15, 48575, 50000)"
52,90.0,"(97.308, 48654, 50000)"
53,90.13,"(97.212, 48606, 50000)"
54,90.52,"(97.574, 48787, 50000)"
55,90.36,"(97.56, 48780, 50000)"
56,89.89,"(97.73, 48865, 50000)"
57,90.27,"(97.848, 48924, 50000)"
58,90.05,"(97.904, 48952, 50000)"
59,90.47,"(98.088, 49044, 50000)"
60,90.43,"(98.216, 49108, 50000)"
61,90.73,"(98.402, 49201, 50000)"
62,90.76,"(98.506, 49253, 50000)"
63,90.89,"(98.566, 49283, 50000)"
64,90.8,"(98.672, 49336, 50000)"
65,91.14,"(98.766, 49383, 50000)"
66,91.19,"(98.89, 49445, 50000)"
67,90.88,"(99.192, 49596, 50000)"
68,91.54,"(99.11, 49555, 50000)"
69,91.62,"(99.278, 49639, 50000)"
70,91.56,"(99.24, 49620, 50000)"
71,91.93,"(99.344, 49672, 50000)"
72,91.9,"(99.5, 49750, 50000)"
73,92.03,"(99.532, 49766, 50000)"
74,91.87,"(99.606, 49803, 50000)"
75,92.1,"(99.596, 49798, 50000)"
76,92.0,"(99.682, 49841, 50000)"
77,92.3,"(99.76, 49880, 50000)"
78,92.43,"(99.808, 49904, 50000)"
79,92.23,"(99.844, 49922, 50000)"
80,92.47,"(99.8, 49900, 50000)"
81,92.45,"(99.824, 49912, 50000)"
82,92.52,"(99.896, 49948, 50000)"
83,92.56,"(99.876, 49938, 50000)"
84,92.58,"(99.92, 49960, 50000)"
85,92.74,"(99.896, 49948, 50000)"
86,92.79,"(99.944, 49972, 50000)"
87,92.78,"(99.93, 49965, 50000)"
88,92.64,"(99.918, 49959, 50000)"
89,92.88,"(99.926, 49963, 50000)"
90,92.84,"(99.94, 49970, 50000)"
91,92.89,"(99.942, 49971, 50000)"
92,92.83,"(99.966, 49983, 50000)"
93,92.81,"(99.938, 49969, 50000)"
94,92.83,"(99.968, 49984, 50000)"
95,92.83,"(99.962, 49981, 50000)"
96,92.85,"(99.966, 49983, 50000)"
97,92.75,"(99.964, 49982, 50000)"
98,92.85,"(99.966, 49983, 50000)"
99,92.83,"(99.956, 49978, 50000)"
